"provider","operation_id","candidate_id","candidate","representative_mechanism","portfolio_relation","semantic_fidelity","selected_identity","host_independence","callbacks_handles","project_authority","lifecycle_isolation","incremental_backpressure","output_ownership","stability_coupling","performance_copies","distribution_security","testability_observability","effect_reuse","complexity","decision","falsifier"
"bun","BUN-BUILD-DISK-ASSETS","B","provider-host sidecars","runtime-hosted-sidecar","single representative family for this candidate","GATE-FAIL: cannot preserve synchronous caller-thread blocking or the frozen compile operation's selected-command/project/publication law, and arbitrary plugins/watch do not cross faithfully","not-applicable-after-semantic-gate","not-applicable-after-semantic-gate; explicit Bun child calling public Bun API","not-applicable-after-semantic-gate; faithful only for serializable source/options/bytes; plugin closures require selected provider-side code and cannot be JSON values","not-applicable-after-semantic-gate; effect-build selects binary/digest/protocol; provider process owns Bun engine/cwd/env","unproven/non-fit; one-shot or persistent process; request IDs, queue bounds, handshake, kill, restart and stale handles are adapter-owned","unproven/non-fit; one-shot or persistent process; request IDs, queue bounds, handshake, kill, restart and stale handles are adapter-owned","unproven/non-fit; structured bytes may cross with copies; direct files mutate sidecar namespace; publication remains effect-build-owned","effect-build-owned prototype over documented public Bun API; not an upstream protocol; compatibility: exact version/capability/digest handshake required","not evaluated after semantic gate; effect-build-owned length-framed pipe/socket protocol","not evaluated after semantic gate; requires Bun binary on every provider host and protocol server source","bounded negative backed by Bun bundler docs:155-173,295-335 @ cf6cdbb; Bundle.ts:366-463","none until semantic gate passes","invalid/non-fit; adds protocol/session/crash/copy states; removes host-runtime coupling for serializable operations","reject for operation","Reopen only if upstream or a bounded probe supplies a supported faithful runtime-hosted-sidecar surface for direct multi-entry JS/CSS/HTML/assets build."
"bun","BUN-BUILD-DISK-ASSETS","C","persistent provider sessions","persistent-session","single representative family for this candidate","GATE-FAIL: cannot preserve synchronous caller-thread blocking; Bun.build exposes no reusable context and executable compile has no session value","not-applicable-after-semantic-gate","not-applicable-after-semantic-gate; persistent Bun sidecar; native transpiler calls inside it","not-applicable-after-semantic-gate; serializable source/options/results; no closure transfer","not-applicable-after-semantic-gate; selected sidecar owns engine; caller owns handle lifecycle","unproven/non-fit; explicit handshake/create/use/close/shutdown; crash invalidates every generation handle","unproven/non-fit; explicit handshake/create/use/close/shutdown; crash invalidates every generation handle","unproven/non-fit; in-memory copied results","effect-build prototype only; no upstream Bun session protocol; compatibility: protocol and Bun capabilities negotiated","not evaluated after semantic gate; framed RPC with generation-bound IDs","not evaluated after semantic gate; Bun plus owned server on each platform","bounded negative backed by Bun bundler docs:155-173,295-335 @ cf6cdbb; Bundle.ts:366-463","none until semantic gate passes","invalid/non-fit; queue/backpressure/stale-handle/idle-memory/restart states added","reject for operation","Reopen only if upstream or a bounded probe supplies a supported faithful persistent-session surface for direct multi-entry JS/CSS/HTML/assets build."
"bun","BUN-BUILD-DISK-ASSETS","D","embedded/native/WASM engines","official-language-library","single representative family for this candidate","GATE-FAIL: no Bun operation has an official Go/Rust/C library boundary","not-applicable-after-semantic-gate","not-applicable-after-semantic-gate; not available as a supported provider surface","not-applicable-after-semantic-gate; no supported faithful request/result boundary","not-applicable-after-semantic-gate; would require effect-build to own an unsupported engine/ABI or substitute semantics","unproven/non-fit; unproven","unproven/non-fit; unproven","unproven/non-fit; unproven","no supported non-JavaScript Bun compiler library found at bun-v1.3.9 after public docs/declarations/source-tree search; compatibility: unsupported coupling","not evaluated after semantic gate; none","not evaluated after semantic gate; would require new native/source distribution","bounded negative backed by Bun bundler docs:155-173,295-335 @ cf6cdbb; Bundle.ts:366-463","none until semantic gate passes","invalid/non-fit; a new language library would be upstream work or a fork","reject for operation","Reopen only if upstream or a bounded probe supplies a supported faithful official-language-library surface for direct multi-entry JS/CSS/HTML/assets build."
"bun","BUN-BUILD-DISK-ASSETS","E","inverted/declarative integration","inverted-plugin","single representative family for this candidate","GATE-FAIL: a callback is an adjunct, not the build/compile/transpiler caller surface; loading code is not serializing a callback","not-applicable-after-semantic-gate","not-applicable-after-semantic-gate; Bun owns bundle threads and calls JS/native hooks","not-applicable-after-semantic-gate; preserves virtual modules and callbacks only when code runs inside Bun","not-applicable-after-semantic-gate; provider process controls schedule; caller/plugin controls hook code and mutable closure state","unproven/non-fit; plugin callback/reentrancy lifetime tied to build; no general cancellation","unproven/non-fit; plugin callback/reentrancy lifetime tied to build; no general cancellation","unproven/non-fit; plugin may alter module/output graph; direct writes remain provider mutation","documented public plugin API; native onBeforeParse is narrow and platform-restricted; compatibility: Bun plugin API plus module/native ABI","not evaluated after semantic gate; direct callbacks inside Bun or explicitly selected provider-side module","not evaluated after semantic gate; plugin code/native addon must be installed and trusted in provider host","bounded negative backed by Bun bundler docs:155-173,295-335 @ cf6cdbb; Bundle.ts:366-463","none until semantic gate passes","invalid/non-fit; adds code-mobility/trust/reentrancy identity","reject for operation","Reopen only if upstream or a bounded probe supplies a supported faithful inverted-plugin surface for direct multi-entry JS/CSS/HTML/assets build."
"bun","BUN-BUILD-DISK-ASSETS","F","operation-specific portfolio","direct-host-api+selected-command","alternative routes selected by output/project authority","direct-host-api:faithful in declared domain: highest fidelity for Bun-native host operations and callbacks; operation status: v0.3 borrowed single-main wrapper exists; broader operation not frozen | selected-command:faithful in declared domain: best for compile and process/project-authority operations; operation status: v0.3 borrowed single-main wrapper exists; broader operation not frozen","direct-host-api:ambient Bun host selects runtime/engine; request selects config/targets; host cwd/env apply | selected-command:explicit/PATH selected binary; CLI owns project/config/env/target and possible runtime acquisition","direct-host-api:Bun isolate -> Zig binding -> caller thread for sync transpile/scan or singleton native bundle thread/work pool for Bun.build; distribution: requires Bun host and exact supported host/platform binary | selected-command:selected local Bun child; distribution: release binary per host; cross-target compile may acquire target runtime","direct-host-api:retains closures, plugin objects, virtual files, blobs, structured logs and BuildArtifact bytes; Transpiler is caller-owned; Bun.build is one-shot over hidden shared threads and exposes no cancel/context | selected-command:preserves native project/config/flags; loses arbitrary JS closures and structured result objects; one-shot child or raw watch process; Scope can kill process but does not invent provider cancellation","direct-host-api:ambient Bun host selects runtime/engine; request selects config/targets; host cwd/env apply | selected-command:explicit/PATH selected binary; CLI owns project/config/env/target and possible runtime acquisition","direct-host-api:Transpiler is caller-owned; Bun.build is one-shot over hidden shared threads and exposes no cancel/context | selected-command:one-shot child or raw watch process; Scope can kill process but does not invent provider cancellation","direct-host-api:Transpiler is caller-owned; Bun.build is one-shot over hidden shared threads and exposes no cancel/context; state cost: few adapter concepts; ambient identity and non-cancellable native work remain | selected-command:one-shot child or raw watch process; Scope can kill process but does not invent provider cancellation; state cost: reuses Effect process/lifecycle and adds no owned protocol","direct-host-api:borrowed/in-memory blobs or provider-direct files; compile may mutate an outfile | selected-command:provider-direct files; effect-build compile wraps one file in private staging/atomic rename","direct-host-api:documented public Bun 1.3.9 API, host-restricted, MIT plus bundled component licenses; compatibility: public Bun API/version; no independent engine handshake; support verdict: viable now for host-API operations | selected-command:documented public Bun 1.3.9 CLI, MIT plus bundled component licenses; compatibility: probe exact version/path/capability; terminal diagnostics are not typed machine events; support verdict: viable now","direct-host-api:direct JS/native binding; few adapter concepts; ambient identity and non-cancellable native work remain | selected-command:argv, terminal byte streams, filesystem; reuses Effect process/lifecycle and adds no owned protocol","direct-host-api:requires Bun host and exact supported host/platform binary | selected-command:release binary per host; cross-target compile may acquire target runtime","direct-host-api:public Bun API/version; no independent engine handshake; evidence: Bun bundler docs:155-173,295-335 @ cf6cdbb; Bundle.ts:366-463 | selected-command:probe exact version/path/capability; terminal diagnostics are not typed machine events; evidence: Bun bundler docs:155-173,295-335 @ cf6cdbb; Bundle.ts:366-463","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","direct-host-api:few adapter concepts; ambient identity and non-cancellable native work remain | selected-command:reuses Effect process/lifecycle and adds no owned protocol","direct-host-api or selected-command according to authority; never claim multi-output transactionality","Reject this portfolio if any selected route cannot preserve direct multi-entry JS/CSS/HTML/assets build under its authority/lifetime record, or if one supported route preserves all required semantics with fewer total states."
"bun","BUN-PLUGINS-VIRTUAL","A","current operation-specific hybrid","direct-host-api","single representative family for this candidate","faithful in declared domain: highest fidelity for Bun-native host operations and callbacks; operation status: upstream operation; not frozen for 0.4","ambient Bun host selects runtime/engine; request selects config/targets; host cwd/env apply","Bun isolate -> Zig binding -> caller thread for sync transpile/scan or singleton native bundle thread/work pool for Bun.build; distribution: requires Bun host and exact supported host/platform binary","retains closures, plugin objects, virtual files, blobs, structured logs and BuildArtifact bytes; Transpiler is caller-owned; Bun.build is one-shot over hidden shared threads and exposes no cancel/context","ambient Bun host selects runtime/engine; request selects config/targets; host cwd/env apply","Transpiler is caller-owned; Bun.build is one-shot over hidden shared threads and exposes no cancel/context","Transpiler is caller-owned; Bun.build is one-shot over hidden shared threads and exposes no cancel/context; state cost: few adapter concepts; ambient identity and non-cancellable native work remain","borrowed/in-memory blobs or provider-direct files; compile may mutate an outfile","documented public Bun 1.3.9 API, host-restricted, MIT plus bundled component licenses; compatibility: public Bun API/version; no independent engine handshake; support verdict: viable now for host-API operations","direct JS/native binding; few adapter concepts; ambient identity and non-cancellable native work remain","requires Bun host and exact supported host/platform binary","public Bun API/version; no independent engine handshake; evidence: Bun plugin docs:314-336 and bundle_v2.zig:2340-2354 @ cf6cdbb","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","few adapter concepts; ambient identity and non-cancellable native work remain","viable now for host-API operations","Reject if the mechanism cannot preserve plugins, macros, virtual inputs, native onBeforeParse under the authority/lifetime stated in MECHANISM-COVERAGE.csv."
"bun","BUN-PLUGINS-VIRTUAL","B","provider-host sidecars","runtime-hosted-sidecar","single representative family for this candidate","GATE-FAIL: cannot preserve synchronous caller-thread blocking or the frozen compile operation's selected-command/project/publication law, and arbitrary plugins/watch do not cross faithfully","not-applicable-after-semantic-gate","not-applicable-after-semantic-gate; explicit Bun child calling public Bun API","not-applicable-after-semantic-gate; faithful only for serializable source/options/bytes; plugin closures require selected provider-side code and cannot be JSON values","not-applicable-after-semantic-gate; effect-build selects binary/digest/protocol; provider process owns Bun engine/cwd/env","unproven/non-fit; one-shot or persistent process; request IDs, queue bounds, handshake, kill, restart and stale handles are adapter-owned","unproven/non-fit; one-shot or persistent process; request IDs, queue bounds, handshake, kill, restart and stale handles are adapter-owned","unproven/non-fit; structured bytes may cross with copies; direct files mutate sidecar namespace; publication remains effect-build-owned","effect-build-owned prototype over documented public Bun API; not an upstream protocol; compatibility: exact version/capability/digest handshake required","not evaluated after semantic gate; effect-build-owned length-framed pipe/socket protocol","not evaluated after semantic gate; requires Bun binary on every provider host and protocol server source","bounded negative backed by Bun plugin docs:314-336 and bundle_v2.zig:2340-2354 @ cf6cdbb","none until semantic gate passes","invalid/non-fit; adds protocol/session/crash/copy states; removes host-runtime coupling for serializable operations","reject for operation","Reopen only if upstream or a bounded probe supplies a supported faithful runtime-hosted-sidecar surface for plugins, macros, virtual inputs, native onBeforeParse."
"bun","BUN-PLUGINS-VIRTUAL","C","persistent provider sessions","persistent-session","single representative family for this candidate","GATE-FAIL: cannot preserve synchronous caller-thread blocking; Bun.build exposes no reusable context and executable compile has no session value","not-applicable-after-semantic-gate","not-applicable-after-semantic-gate; persistent Bun sidecar; native transpiler calls inside it","not-applicable-after-semantic-gate; serializable source/options/results; no closure transfer","not-applicable-after-semantic-gate; selected sidecar owns engine; caller owns handle lifecycle","unproven/non-fit; explicit handshake/create/use/close/shutdown; crash invalidates every generation handle","unproven/non-fit; explicit handshake/create/use/close/shutdown; crash invalidates every generation handle","unproven/non-fit; in-memory copied results","effect-build prototype only; no upstream Bun session protocol; compatibility: protocol and Bun capabilities negotiated","not evaluated after semantic gate; framed RPC with generation-bound IDs","not evaluated after semantic gate; Bun plus owned server on each platform","bounded negative backed by Bun plugin docs:314-336 and bundle_v2.zig:2340-2354 @ cf6cdbb","none until semantic gate passes","invalid/non-fit; queue/backpressure/stale-handle/idle-memory/restart states added","reject for operation","Reopen only if upstream or a bounded probe supplies a supported faithful persistent-session surface for plugins, macros, virtual inputs, native onBeforeParse."
"bun","BUN-PLUGINS-VIRTUAL","D","embedded/native/WASM engines","official-language-library","single representative family for this candidate","GATE-FAIL: no Bun operation has an official Go/Rust/C library boundary","not-applicable-after-semantic-gate","not-applicable-after-semantic-gate; not available as a supported provider surface","not-applicable-after-semantic-gate; no supported faithful request/result boundary","not-applicable-after-semantic-gate; would require effect-build to own an unsupported engine/ABI or substitute semantics","unproven/non-fit; unproven","unproven/non-fit; unproven","unproven/non-fit; unproven","no supported non-JavaScript Bun compiler library found at bun-v1.3.9 after public docs/declarations/source-tree search; compatibility: unsupported coupling","not evaluated after semantic gate; none","not evaluated after semantic gate; would require new native/source distribution","bounded negative backed by Bun plugin docs:314-336 and bundle_v2.zig:2340-2354 @ cf6cdbb","none until semantic gate passes","invalid/non-fit; a new language library would be upstream work or a fork","reject for operation","Reopen only if upstream or a bounded probe supplies a supported faithful official-language-library surface for plugins, macros, virtual inputs, native onBeforeParse."
"bun","BUN-PLUGINS-VIRTUAL","E","inverted/declarative integration","inverted-plugin","single representative family for this candidate","faithful in declared domain: truthful for the exact plugin/virtual-input operation; operation status: upstream operation; not frozen for 0.4","provider process controls schedule; caller/plugin controls hook code and mutable closure state","Bun owns bundle threads and calls JS/native hooks; distribution: plugin code/native addon must be installed and trusted in provider host","preserves virtual modules and callbacks only when code runs inside Bun; plugin callback/reentrancy lifetime tied to build; no general cancellation","provider process controls schedule; caller/plugin controls hook code and mutable closure state","plugin callback/reentrancy lifetime tied to build; no general cancellation","plugin callback/reentrancy lifetime tied to build; no general cancellation; state cost: adds code-mobility/trust/reentrancy identity","plugin may alter module/output graph; direct writes remain provider mutation","documented public plugin API; native onBeforeParse is narrow and platform-restricted; compatibility: Bun plugin API plus module/native ABI; support verdict: viable now only as provider-native direct integration","direct callbacks inside Bun or explicitly selected provider-side module; adds code-mobility/trust/reentrancy identity","plugin code/native addon must be installed and trusted in provider host","Bun plugin API plus module/native ABI; evidence: Bun plugin docs:314-336 and bundle_v2.zig:2340-2354 @ cf6cdbb","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","adds code-mobility/trust/reentrancy identity","viable now only as provider-native direct integration","Reject if the mechanism cannot preserve plugins, macros, virtual inputs, native onBeforeParse under the authority/lifetime stated in MECHANISM-COVERAGE.csv."
"bun","BUN-PLUGINS-VIRTUAL","F","operation-specific portfolio","direct-host-api","single selected route","faithful in declared domain: highest fidelity for Bun-native host operations and callbacks; operation status: upstream operation; not frozen for 0.4","ambient Bun host selects runtime/engine; request selects config/targets; host cwd/env apply","Bun isolate -> Zig binding -> caller thread for sync transpile/scan or singleton native bundle thread/work pool for Bun.build; distribution: requires Bun host and exact supported host/platform binary","retains closures, plugin objects, virtual files, blobs, structured logs and BuildArtifact bytes; Transpiler is caller-owned; Bun.build is one-shot over hidden shared threads and exposes no cancel/context","ambient Bun host selects runtime/engine; request selects config/targets; host cwd/env apply","Transpiler is caller-owned; Bun.build is one-shot over hidden shared threads and exposes no cancel/context","Transpiler is caller-owned; Bun.build is one-shot over hidden shared threads and exposes no cancel/context; state cost: few adapter concepts; ambient identity and non-cancellable native work remain","borrowed/in-memory blobs or provider-direct files; compile may mutate an outfile","documented public Bun 1.3.9 API, host-restricted, MIT plus bundled component licenses; compatibility: public Bun API/version; no independent engine handshake; support verdict: viable now for host-API operations","direct JS/native binding; few adapter concepts; ambient identity and non-cancellable native work remain","requires Bun host and exact supported host/platform binary","public Bun API/version; no independent engine handshake; evidence: Bun plugin docs:314-336 and bundle_v2.zig:2340-2354 @ cf6cdbb","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","few adapter concepts; ambient identity and non-cancellable native work remain","direct-host-api; provider-side selected module only as an explicit trust contract","Reject this portfolio if any selected route cannot preserve plugins, macros, virtual inputs, native onBeforeParse under its authority/lifetime record, or if one supported route preserves all required semantics with fewer total states."
"bun","BUN-COMPILE-SCALAR","A","current operation-specific hybrid","selected-command","single representative family for this candidate","faithful in declared domain: best for compile and process/project-authority operations; operation status: CAN-BUN-012 frozen for 0.4","explicit/PATH selected binary; CLI owns project/config/env/target and possible runtime acquisition","selected local Bun child; distribution: release binary per host; cross-target compile may acquire target runtime","preserves native project/config/flags; loses arbitrary JS closures and structured result objects; one-shot child or raw watch process; Scope can kill process but does not invent provider cancellation","explicit/PATH selected binary; CLI owns project/config/env/target and possible runtime acquisition","one-shot child or raw watch process; Scope can kill process but does not invent provider cancellation; required operation law: one owned invocation and one private candidate must remain scoped until validation or cleanup","one-shot child or raw watch process; Scope can kill process but does not invent provider cancellation; state cost: reuses Effect process/lifecycle and adds no owned protocol","provider-direct files; effect-build compile wraps one file in private staging/atomic rename; required operation ownership: one validated atomic-published executable","documented public Bun 1.3.9 CLI, MIT plus bundled component licenses; compatibility: probe exact version/path/capability; terminal diagnostics are not typed machine events; support verdict: viable now","argv, terminal byte streams, filesystem; reuses Effect process/lifecycle and adds no owned protocol","release binary per host; cross-target compile may acquire target runtime","probe exact version/path/capability; terminal diagnostics are not typed machine events; evidence: Adapter.ts:74-114; CompilerEngine.ts:386-457; SURFACE.json","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","reuses Effect process/lifecycle and adds no owned protocol","viable now","Reject if the mechanism cannot preserve compile one executable under the authority/lifetime stated in MECHANISM-COVERAGE.csv."
"bun","BUN-COMPILE-SCALAR","B","provider-host sidecars","runtime-hosted-sidecar","single representative family for this candidate","GATE-FAIL: cannot preserve synchronous caller-thread blocking or the frozen compile operation's selected-command/project/publication law, and arbitrary plugins/watch do not cross faithfully","not-applicable-after-semantic-gate","not-applicable-after-semantic-gate; explicit Bun child calling public Bun API","not-applicable-after-semantic-gate; faithful only for serializable source/options/bytes; plugin closures require selected provider-side code and cannot be JSON values","not-applicable-after-semantic-gate; effect-build selects binary/digest/protocol; provider process owns Bun engine/cwd/env","unproven/non-fit; one-shot or persistent process; request IDs, queue bounds, handshake, kill, restart and stale handles are adapter-owned; required operation law: one owned invocation and one private candidate must remain scoped until validation or cleanup","unproven/non-fit; one-shot or persistent process; request IDs, queue bounds, handshake, kill, restart and stale handles are adapter-owned","unproven/non-fit; structured bytes may cross with copies; direct files mutate sidecar namespace; publication remains effect-build-owned; required operation ownership: one validated atomic-published executable","effect-build-owned prototype over documented public Bun API; not an upstream protocol; compatibility: exact version/capability/digest handshake required","not evaluated after semantic gate; effect-build-owned length-framed pipe/socket protocol","not evaluated after semantic gate; requires Bun binary on every provider host and protocol server source","bounded negative backed by Adapter.ts:74-114; CompilerEngine.ts:386-457; SURFACE.json","none until semantic gate passes","invalid/non-fit; adds protocol/session/crash/copy states; removes host-runtime coupling for serializable operations","reject for operation","Reopen only if upstream or a bounded probe supplies a supported faithful runtime-hosted-sidecar surface for compile one executable."
"bun","BUN-COMPILE-SCALAR","C","persistent provider sessions","persistent-session","single representative family for this candidate","GATE-FAIL: cannot preserve synchronous caller-thread blocking; Bun.build exposes no reusable context and executable compile has no session value","not-applicable-after-semantic-gate","not-applicable-after-semantic-gate; persistent Bun sidecar; native transpiler calls inside it","not-applicable-after-semantic-gate; serializable source/options/results; no closure transfer","not-applicable-after-semantic-gate; selected sidecar owns engine; caller owns handle lifecycle","unproven/non-fit; explicit handshake/create/use/close/shutdown; crash invalidates every generation handle; required operation law: one owned invocation and one private candidate must remain scoped until validation or cleanup","unproven/non-fit; explicit handshake/create/use/close/shutdown; crash invalidates every generation handle","unproven/non-fit; in-memory copied results; required operation ownership: one validated atomic-published executable","effect-build prototype only; no upstream Bun session protocol; compatibility: protocol and Bun capabilities negotiated","not evaluated after semantic gate; framed RPC with generation-bound IDs","not evaluated after semantic gate; Bun plus owned server on each platform","bounded negative backed by Adapter.ts:74-114; CompilerEngine.ts:386-457; SURFACE.json","none until semantic gate passes","invalid/non-fit; queue/backpressure/stale-handle/idle-memory/restart states added","reject for operation","Reopen only if upstream or a bounded probe supplies a supported faithful persistent-session surface for compile one executable."
"bun","BUN-COMPILE-SCALAR","D","embedded/native/WASM engines","official-language-library","single representative family for this candidate","GATE-FAIL: no Bun operation has an official Go/Rust/C library boundary","not-applicable-after-semantic-gate","not-applicable-after-semantic-gate; not available as a supported provider surface","not-applicable-after-semantic-gate; no supported faithful request/result boundary","not-applicable-after-semantic-gate; would require effect-build to own an unsupported engine/ABI or substitute semantics","unproven/non-fit; unproven; required operation law: one owned invocation and one private candidate must remain scoped until validation or cleanup","unproven/non-fit; unproven","unproven/non-fit; unproven; required operation ownership: one validated atomic-published executable","no supported non-JavaScript Bun compiler library found at bun-v1.3.9 after public docs/declarations/source-tree search; compatibility: unsupported coupling","not evaluated after semantic gate; none","not evaluated after semantic gate; would require new native/source distribution","bounded negative backed by Adapter.ts:74-114; CompilerEngine.ts:386-457; SURFACE.json","none until semantic gate passes","invalid/non-fit; a new language library would be upstream work or a fork","reject for operation","Reopen only if upstream or a bounded probe supplies a supported faithful official-language-library surface for compile one executable."
"bun","BUN-COMPILE-SCALAR","E","inverted/declarative integration","inverted-plugin","single representative family for this candidate","GATE-FAIL: a callback is an adjunct, not the build/compile/transpiler caller surface; loading code is not serializing a callback","not-applicable-after-semantic-gate","not-applicable-after-semantic-gate; Bun owns bundle threads and calls JS/native hooks","not-applicable-after-semantic-gate; preserves virtual modules and callbacks only when code runs inside Bun","not-applicable-after-semantic-gate; provider process controls schedule; caller/plugin controls hook code and mutable closure state","unproven/non-fit; plugin callback/reentrancy lifetime tied to build; no general cancellation; required operation law: one owned invocation and one private candidate must remain scoped until validation or cleanup","unproven/non-fit; plugin callback/reentrancy lifetime tied to build; no general cancellation","unproven/non-fit; plugin may alter module/output graph; direct writes remain provider mutation; required operation ownership: one validated atomic-published executable","documented public plugin API; native onBeforeParse is narrow and platform-restricted; compatibility: Bun plugin API plus module/native ABI","not evaluated after semantic gate; direct callbacks inside Bun or explicitly selected provider-side module","not evaluated after semantic gate; plugin code/native addon must be installed and trusted in provider host","bounded negative backed by Adapter.ts:74-114; CompilerEngine.ts:386-457; SURFACE.json","none until semantic gate passes","invalid/non-fit; adds code-mobility/trust/reentrancy identity","reject for operation","Reopen only if upstream or a bounded probe supplies a supported faithful inverted-plugin surface for compile one executable."
"bun","BUN-COMPILE-SCALAR","F","operation-specific portfolio","selected-command","single selected route","faithful in declared domain: best for compile and process/project-authority operations; operation status: CAN-BUN-012 frozen for 0.4","explicit/PATH selected binary; CLI owns project/config/env/target and possible runtime acquisition","selected local Bun child; distribution: release binary per host; cross-target compile may acquire target runtime","preserves native project/config/flags; loses arbitrary JS closures and structured result objects; one-shot child or raw watch process; Scope can kill process but does not invent provider cancellation","explicit/PATH selected binary; CLI owns project/config/env/target and possible runtime acquisition","one-shot child or raw watch process; Scope can kill process but does not invent provider cancellation; required operation law: one owned invocation and one private candidate must remain scoped until validation or cleanup","one-shot child or raw watch process; Scope can kill process but does not invent provider cancellation; state cost: reuses Effect process/lifecycle and adds no owned protocol","provider-direct files; effect-build compile wraps one file in private staging/atomic rename; required operation ownership: one validated atomic-published executable","documented public Bun 1.3.9 CLI, MIT plus bundled component licenses; compatibility: probe exact version/path/capability; terminal diagnostics are not typed machine events; support verdict: viable now","argv, terminal byte streams, filesystem; reuses Effect process/lifecycle and adds no owned protocol","release binary per host; cross-target compile may acquire target runtime","probe exact version/path/capability; terminal diagnostics are not typed machine events; evidence: Adapter.ts:74-114; CompilerEngine.ts:386-457; SURFACE.json","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","reuses Effect process/lifecycle and adds no owned protocol","selected-command with Effect staging/publication","Reject this portfolio if any selected route cannot preserve compile one executable under its authority/lifetime record, or if one supported route preserves all required semantics with fewer total states."
"bun","BUN-COMPILE-MATRIX","A","current operation-specific hybrid","selected-command","single representative family for this candidate","faithful in declared domain: best for compile and process/project-authority operations; operation status: derived operation frozen for 0.4","explicit/PATH selected binary; CLI owns project/config/env/target and possible runtime acquisition","selected local Bun child; distribution: release binary per host; cross-target compile may acquire target runtime","preserves native project/config/flags; loses arbitrary JS closures and structured result objects; one-shot child or raw watch process; Scope can kill process but does not invent provider cancellation","explicit/PATH selected binary; CLI owns project/config/env/target and possible runtime acquisition","one-shot child or raw watch process; Scope can kill process but does not invent provider cancellation; required operation law: independent scalar cells; interruption closes active cells but does not roll back completed cells","one-shot child or raw watch process; Scope can kill process but does not invent provider cancellation; state cost: reuses Effect process/lifecycle and adds no owned protocol","provider-direct files; effect-build compile wraps one file in private staging/atomic rename; required operation ownership: partial-success report; successful atomic publications survive failures in other cells","documented public Bun 1.3.9 CLI, MIT plus bundled component licenses; compatibility: probe exact version/path/capability; terminal diagnostics are not typed machine events; support verdict: viable now","argv, terminal byte streams, filesystem; reuses Effect process/lifecycle and adds no owned protocol","release binary per host; cross-target compile may acquire target runtime","probe exact version/path/capability; terminal diagnostics are not typed machine events; evidence: CompilerEngine.ts:459-501; SURFACE.json derivedOperations","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","reuses Effect process/lifecycle and adds no owned protocol","viable now","Reject if the mechanism cannot preserve compile a homogeneous-provider executable matrix under the authority/lifetime stated in MECHANISM-COVERAGE.csv."
"bun","BUN-COMPILE-MATRIX","B","provider-host sidecars","runtime-hosted-sidecar","single representative family for this candidate","GATE-FAIL: cannot preserve synchronous caller-thread blocking or the frozen compile operation's selected-command/project/publication law, and arbitrary plugins/watch do not cross faithfully","not-applicable-after-semantic-gate","not-applicable-after-semantic-gate; explicit Bun child calling public Bun API","not-applicable-after-semantic-gate; faithful only for serializable source/options/bytes; plugin closures require selected provider-side code and cannot be JSON values","not-applicable-after-semantic-gate; effect-build selects binary/digest/protocol; provider process owns Bun engine/cwd/env","unproven/non-fit; one-shot or persistent process; request IDs, queue bounds, handshake, kill, restart and stale handles are adapter-owned; required operation law: independent scalar cells; interruption closes active cells but does not roll back completed cells","unproven/non-fit; one-shot or persistent process; request IDs, queue bounds, handshake, kill, restart and stale handles are adapter-owned","unproven/non-fit; structured bytes may cross with copies; direct files mutate sidecar namespace; publication remains effect-build-owned; required operation ownership: partial-success report; successful atomic publications survive failures in other cells","effect-build-owned prototype over documented public Bun API; not an upstream protocol; compatibility: exact version/capability/digest handshake required","not evaluated after semantic gate; effect-build-owned length-framed pipe/socket protocol","not evaluated after semantic gate; requires Bun binary on every provider host and protocol server source","bounded negative backed by CompilerEngine.ts:459-501; SURFACE.json derivedOperations","none until semantic gate passes","invalid/non-fit; adds protocol/session/crash/copy states; removes host-runtime coupling for serializable operations","reject for operation","Reopen only if upstream or a bounded probe supplies a supported faithful runtime-hosted-sidecar surface for compile a homogeneous-provider executable matrix."
