"provider","operation_id","operation","mechanism_family","mechanism","availability","authority","inputs_results","lifetime","outputs","host_distribution","compatibility","operations_fit","complexity_ledger","effect_mapping","verdict","confidence","evidence"
"bun","BUN-TRANSPILE-SYNC","transpile source synchronously","isolated-worker","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: local/remote isolated worker used specifically for host or fault isolation","provider pin/license: Bun 1.3.9 @ cf6cdbbbadd50604bc17f21ed5d0612c920a5d9a; MIT; evidence class/support promise: a Bun Worker or remote worker can be built but no operation requires it beyond the sidecar case; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven; operation invariant: the native host form blocks its caller and exposes no cancellation handle; alternate boundaries must state any different isolation law","unproven; operation invariant: caller-owned transformed source value","would require new native/source distribution","unsupported coupling","same-host worker keeps Bun dependence; remote execution is explicitly out of scope","duplicates sidecar authority and adds trust/transport/workspace state","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Bun bun.d.ts:2350-2411 and JSTranspiler.zig:815-918 @ cf6cdbb"
"bun","BUN-TRANSPILE-SYNC","transpile source synchronously","upstream-contribution","future supported handle/protocol/library; chosen by Bun; future versioned ABI/protocol/events; effect-build calls provider. Family: missing supported protocol/library/cancellation/event surface proposed upstream","provider pin/license: Bun 1.3.9 @ cf6cdbbbadd50604bc17f21ed5d0612c920a5d9a; MIT; evidence class/support promise: hypothetical and unproven; issue 5866 covers build watch API need; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","must expose exact engine/capability identity","should preserve structured results/plugins or explicitly exclude them","needs AbortSignal/cancel and context/rebuild/dispose laws; operation invariant: the native host form blocks its caller and exposes no cancellation handle; alternate boundaries must state any different isolation law","must distinguish bytes, direct mutation, and publication; operation invariant: caller-owned transformed source value","upstream-owned releases","documented version/capability contract","would change current negatives if shipped and supported","moves compatibility burden upstream but still needs adapter certification","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","upstream-dependent","high","Bun bun.d.ts:2350-2411 and JSTranspiler.zig:815-918 @ cf6cdbb"
"bun","BUN-TRANSPILE-ASYNC","transpile source asynchronously","direct-host-api","function/value/plugin callback; Bun isolate -> Zig binding -> caller thread for sync transpile/scan or singleton native bundle thread/work pool for Bun.build; direct JS/native binding; effect-build calls provider. Family: official function, callback, or scoped handle in the provider's supported host","provider pin/license: Bun 1.3.9 @ cf6cdbbbadd50604bc17f21ed5d0612c920a5d9a; MIT; evidence class/support promise: documented public Bun 1.3.9 API, host-restricted, MIT plus bundled component licenses; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","ambient Bun host selects runtime/engine; request selects config/targets; host cwd/env apply","retains closures, plugin objects, virtual files, blobs, structured logs and BuildArtifact bytes","Transpiler is caller-owned; Bun.build is one-shot over hidden shared threads and exposes no cancel/context; operation invariant: one invocation with no provider-owned per-call cancellation handle; an isolating boundary must state its kill and outcome law","borrowed/in-memory blobs or provider-direct files; compile may mutate an outfile; operation invariant: caller-owned transformed source value","requires Bun host and exact supported host/platform binary","public Bun API/version; no independent engine handshake","highest fidelity for Bun-native host operations and callbacks","few adapter concepts; ambient identity and non-cancellable native work remain","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","viable now for host-API operations","high","Bun transpiler.mdx:71-93 and bun.d.ts:2350-2411 @ cf6cdbb"
"bun","BUN-TRANSPILE-ASYNC","transpile source asynchronously","selected-command","command/config; selected local Bun child; argv, terminal byte streams, filesystem; effect-build calls provider. Family: one-shot or scoped provider command with native argv/project/process semantics","provider pin/license: Bun 1.3.9 @ cf6cdbbbadd50604bc17f21ed5d0612c920a5d9a; MIT; evidence class/support promise: documented public Bun 1.3.9 CLI, MIT plus bundled component licenses; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","explicit/PATH selected binary; CLI owns project/config/env/target and possible runtime acquisition","preserves native project/config/flags; loses arbitrary JS closures and structured result objects","one-shot child or raw watch process; Scope can kill process but does not invent provider cancellation; operation invariant: one invocation with no provider-owned per-call cancellation handle; an isolating boundary must state its kill and outcome law","provider-direct files; effect-build compile wraps one file in private staging/atomic rename; operation invariant: caller-owned transformed source value","release binary per host; cross-target compile may acquire target runtime","probe exact version/path/capability; terminal diagnostics are not typed machine events","not equivalent to structured memory/virtual/plugin APIs","reuses Effect process/lifecycle and adds no owned protocol","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Bun transpiler.mdx:71-93 and bun.d.ts:2350-2411 @ cf6cdbb"
"bun","BUN-TRANSPILE-ASYNC","transpile source asynchronously","official-language-library","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: official Go or Rust library API outside the TypeScript host","provider pin/license: Bun 1.3.9 @ cf6cdbbbadd50604bc17f21ed5d0612c920a5d9a; MIT; evidence class/support promise: no supported non-JavaScript Bun compiler library found at bun-v1.3.9 after public docs/declarations/source-tree search; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven; operation invariant: one invocation with no provider-owned per-call cancellation handle; an isolating boundary must state its kill and outcome law","unproven; operation invariant: caller-owned transformed source value","would require new native/source distribution","unsupported coupling","no Bun operation has an official Go/Rust/C library boundary","a new language library would be upstream work or a fork","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Bun transpiler.mdx:71-93 and bun.d.ts:2350-2411 @ cf6cdbb"
"bun","BUN-TRANSPILE-ASYNC","transpile source asynchronously","native-bridge","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: supported or owned C/C++/N-API/FFI bridge","provider pin/license: Bun 1.3.9 @ cf6cdbbbadd50604bc17f21ed5d0612c920a5d9a; MIT; evidence class/support promise: no supported outward Bun compiler C ABI/N-API/FFI surface found at bun-v1.3.9; native onBeforeParse is a narrow plugin hook; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven; operation invariant: one invocation with no provider-owned per-call cancellation handle; an isolating boundary must state its kill and outcome law","unproven; operation invariant: caller-owned transformed source value","would require new native/source distribution","unsupported coupling","FFI and Node-API load user code into Bun and do not expose Bun's compiler to another host","per-platform ABI/safety/certification; not a small general bridge","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Bun transpiler.mdx:71-93 and bun.d.ts:2350-2411 @ cf6cdbb"
"bun","BUN-TRANSPILE-ASYNC","transpile source asynchronously","embedded-engine","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: linked or vendored upstream compiler/runtime core","provider pin/license: Bun 1.3.9 @ cf6cdbbbadd50604bc17f21ed5d0612c920a5d9a; MIT; evidence class/support promise: Bun compiler internals are source-visible but unsupported for embedding at cf6cdbb; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven; operation invariant: one invocation with no provider-owned per-call cancellation handle; an isolating boundary must state its kill and outcome law","unproven; operation invariant: caller-owned transformed source value","would require new native/source distribution","unsupported coupling","would couple to Bun/JSC/Zig internals instead of a supported operation","12k+ blobs, Zig/JSC toolchain, large build/distribution and LGPL component obligations","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Bun transpiler.mdx:71-93 and bun.d.ts:2350-2411 @ cf6cdbb"
"bun","BUN-TRANSPILE-ASYNC","transpile source asynchronously","runtime-hosted-sidecar","framed request/result; explicit Bun child calling public Bun API; effect-build-owned length-framed pipe/socket protocol; effect-build calls provider. Family: provider-native public API behind an effect-build-owned framed protocol","provider pin/license: Bun 1.3.9 @ cf6cdbbbadd50604bc17f21ed5d0612c920a5d9a; MIT; evidence class/support promise: effect-build-owned prototype over documented public Bun API; not an upstream protocol; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","effect-build selects binary/digest/protocol; provider process owns Bun engine/cwd/env","faithful only for serializable source/options/bytes; plugin closures require selected provider-side code and cannot be JSON values","one-shot or persistent process; request IDs, queue bounds, handshake, kill, restart and stale handles are adapter-owned; operation invariant: one invocation with no provider-owned per-call cancellation handle; an isolating boundary must state its kill and outcome law","structured bytes may cross with copies; direct files mutate sidecar namespace; publication remains effect-build-owned; operation invariant: caller-owned transformed source value","requires Bun binary on every provider host and protocol server source","exact version/capability/digest handshake required","useful only when host independence exposes structured Bun semantics unavailable to a Node orchestrator","adds protocol/session/crash/copy states; removes host-runtime coupling for serializable operations","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","viable with bounded package-private adapter","medium-high","Bun transpiler.mdx:71-93 and bun.d.ts:2350-2411 @ cf6cdbb"
"bun","BUN-TRANSPILE-ASYNC","transpile source asynchronously","persistent-session","session plus reusable transpiler handle; persistent Bun sidecar; native transpiler calls inside it; framed RPC with generation-bound IDs; effect-build calls provider. Family: versioned daemon/service session with lifetime-bound handles","provider pin/license: Bun 1.3.9 @ cf6cdbbbadd50604bc17f21ed5d0612c920a5d9a; MIT; evidence class/support promise: effect-build prototype only; no upstream Bun session protocol; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","selected sidecar owns engine; caller owns handle lifecycle","serializable source/options/results; no closure transfer","explicit handshake/create/use/close/shutdown; crash invalidates every generation handle; operation invariant: one invocation with no provider-owned per-call cancellation handle; an isolating boundary must state its kill and outcome law","in-memory copied results; operation invariant: caller-owned transformed source value","Bun plus owned server on each platform","protocol and Bun capabilities negotiated","batching can reuse configured Transpiler and amortize startup","queue/backpressure/stale-handle/idle-memory/restart states added","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","research-only unless batching demand is concrete","medium","Bun transpiler.mdx:71-93 and bun.d.ts:2350-2411 @ cf6cdbb"
"bun","BUN-TRANSPILE-ASYNC","transpile source asynchronously","wasm-worker","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: supported WebAssembly, WASI, or provider worker boundary","provider pin/license: Bun 1.3.9 @ cf6cdbbbadd50604bc17f21ed5d0612c920a5d9a; MIT; evidence class/support promise: no supported Bun compiler WASM/WASI build or executable WASM target found at bun-v1.3.9; Bun Worker is experimental and still Bun-hosted; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven; operation invariant: one invocation with no provider-owned per-call cancellation handle; an isolating boundary must state its kill and outcome law","unproven; operation invariant: caller-owned transformed source value","would require new native/source distribution","unsupported coupling","does not improve host independence or preserve build/watch semantics","worker termination/structured-clone states without a supported portable engine","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Bun transpiler.mdx:71-93 and bun.d.ts:2350-2411 @ cf6cdbb"
"bun","BUN-TRANSPILE-ASYNC","transpile source asynchronously","inverted-plugin","provider-loaded plugin/module; Bun owns bundle threads and calls JS/native hooks; direct callbacks inside Bun or explicitly selected provider-side module; effect-build calls provider. Family: provider owns execution and calls effect-build-controlled hooks/modules","provider pin/license: Bun 1.3.9 @ cf6cdbbbadd50604bc17f21ed5d0612c920a5d9a; MIT; evidence class/support promise: documented public plugin API; native onBeforeParse is narrow and platform-restricted; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","provider process controls schedule; caller/plugin controls hook code and mutable closure state","preserves virtual modules and callbacks only when code runs inside Bun","plugin callback/reentrancy lifetime tied to build; no general cancellation; operation invariant: one invocation with no provider-owned per-call cancellation handle; an isolating boundary must state its kill and outcome law","plugin may alter module/output graph; direct writes remain provider mutation; operation invariant: caller-owned transformed source value","plugin code/native addon must be installed and trusted in provider host","Bun plugin API plus module/native ABI","a callback is an adjunct, not the build/compile/transpiler caller surface; loading code is not serializing a callback","adds code-mobility/trust/reentrancy identity","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Bun transpiler.mdx:71-93 and bun.d.ts:2350-2411 @ cf6cdbb"
"bun","BUN-TRANSPILE-ASYNC","transpile source asynchronously","declarative-artifact","project/config files plus command/API request; Bun host/child consumes native files; filesystem artifact handoff; effect-build calls provider. Family: stable config, manifest, project, or intermediate artifact handoff","provider pin/license: Bun 1.3.9 @ cf6cdbbbadd50604bc17f21ed5d0612c920a5d9a; MIT; evidence class/support promise: documented bunfig/tsconfig/package inputs, but no standalone stable build manifest or compiler IR; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","project retains native configuration authority","configuration survives; virtual bytes/callbacks/handles/diagnostics do not","one-shot adjunct to API/command; operation invariant: one invocation with no provider-owned per-call cancellation handle; an isolating boundary must state its kill and outcome law","not an independent build result protocol; operation invariant: caller-owned transformed source value","ordinary project files","provider config version","config does not execute or produce any inventoried operation; a file containing argv is still CLI semantics","low as adjunct; invalid if promoted as independent engine protocol","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Bun transpiler.mdx:71-93 and bun.d.ts:2350-2411 @ cf6cdbb"
"bun","BUN-TRANSPILE-ASYNC","transpile source asynchronously","isolated-worker","none supported; not available as a supported provider surface; none; effect-build calls provider. Family: local/remote isolated worker used specifically for host or fault isolation","provider pin/license: Bun 1.3.9 @ cf6cdbbbadd50604bc17f21ed5d0612c920a5d9a; MIT; evidence class/support promise: a Bun Worker or remote worker can be built but no operation requires it beyond the sidecar case; effect-build-owned adapter/prototype license: MIT where applicable, otherwise not applicable","would require effect-build to own an unsupported engine/ABI or substitute semantics","no supported faithful request/result boundary","unproven; operation invariant: one invocation with no provider-owned per-call cancellation handle; an isolating boundary must state its kill and outcome law","unproven; operation invariant: caller-owned transformed source value","would require new native/source distribution","unsupported coupling","same-host worker keeps Bun dependence; remote execution is explicitly out of scope","duplicates sidecar authority and adds trust/transport/workspace state","Reuse Effect Scope for owned handles/children, ChildProcess for selected processes, FileSystem/Path for explicit mutation, Stream only for a real typed event source, Layer for selection and dependency provision, and preserve Cause interruption.","bounded negative / reject for this operation","high","Bun transpiler.mdx:71-93 and bun.d.ts:2350-2411 @ cf6cdbb"
