"operation_id","provider","operation","status","versions","evidence","recommended_boundary"
"ESB-BUILD-MEMORY","esbuild","build with structured in-memory outputs","CAN-ESB-001 frozen for 0.4","0.28.2","esbuild API docs; common.ts protocol; SURFACE.json","official JavaScript API over package-owned native service child"
"ESB-BUILD-DIRECT","esbuild","provider-direct output writes","upstream operation; explicit mutation mode","0.28.2","esbuild API write option and service.go @ 609683d","JavaScript API or CLI; keep distinct from atomic publication"
"ESB-PLUGINS-VIRTUAL","esbuild","plugins, virtual inputs, reverse callbacks","upstream operation; not separately frozen","0.28.2","esbuild common.ts:1169-1240 @ 609683d","official JavaScript API; callback RPC sidecars rejected absent a concrete need"
"ESB-CONTEXT-REBUILD","esbuild","create a context and rebuild","CAN-ESB-011 frozen for 0.4","0.28.2","esbuild API docs and pkg/api/api.go:529-560; SURFACE.json","official JavaScript context scoped by Effect; package-module-global child is not scoped"
"ESB-WATCH","esbuild","start context watch","method of CAN-ESB-011; not an independent frozen root","0.28.2","esbuild API docs and service.go @ 609683d; SURFACE.json","official JavaScript context for acknowledgement and plugin onEnd results; CLI only for raw process semantics"
"ESB-SERVE","esbuild","start context serve","method of CAN-ESB-011; not an independent frozen root","0.28.2","esbuild API docs and service.go @ 609683d; SURFACE.json","official JavaScript context; network authority ends at context disposal"
"ESB-CANCEL","esbuild","cancel an active context build","method of CAN-ESB-011","0.28.2","esbuild API docs, common.ts, service.go @ 609683d; SURFACE.json","official JavaScript context cancel; does not dispose the context"
"ESB-DISPOSE","esbuild","dispose a context","hidden Scope-owned release of CAN-ESB-011","0.28.2","esbuild API docs, common.ts, service.go @ 609683d; SURFACE.json","official JavaScript context dispose owned by an uninterruptible Scope finalizer"
"NODE-DIRECT-SEA","node-sea","direct SEA generation","CAN-NODE-001 frozen for 0.4","Node 26.7.0","Node SEA docs:21-137 and node_sea_bin.cc:380-480 @ b4f23d3; NodeSea.ts:671-728","selected exact Node --build-sea with private candidate and atomic publication"
"NODE-LEGACY-BLOB","node-sea","legacy preparation-blob generation","documented verification flow; not frozen","Node 26.7.0","Node SEA docs:495-625 @ b4f23d3","selected exact Node command; blob remains exact-version private artifact"
"NODE-LEGACY-INJECT","node-sea","inject a legacy preparation blob","not frozen","Node 26.7.0; postject 1.0.0-alpha.6","nodejs/postject api.js:1-163 @ 3c4f208 and Node SEA docs","pinned postject programmatic adapter only if legacy injection becomes required"
"NODE-CANDIDATE-REPAIR","node-sea","repair platform metadata after SEA mutation","platform operation; not frozen","Node 26.7.0","Node SEA docs and node_sea_bin.cc @ b4f23d3","explicit selected-command platform capability on a private candidate; never a hidden fallback"
"NODE-SIGN","node-sea","sign a mutated SEA candidate","distribution operation; not frozen","Node 26.7.0 plus platform signer","Node SEA docs signing guidance @ b4f23d3","explicit selected-command platform signer after mutation and before publication"
"NODE-MAIN-ASSETS","node-sea","main/assets ingestion","main/assets subset used by v0.3/freeze","Node 26.7.0","Node SEA docs and node_sea.cc:723-792 @ b4f23d3","official SEA config consumed by selected command"
"NODE-SNAPSHOT-CACHE-ARGS","node-sea","code cache, snapshot, exec arguments","upstream fields; cache/snapshot intentionally disabled by freeze","Node 26.7.0","Node SEA docs:21-137 and node_sea.cc @ b4f23d3","selected command/config; keep cross-target constraints explicit"
"NODE-RUNTIME-SEA","node-sea","runtime node:sea asset/identity API","artifact-runtime operation, not build lane","Node 26.7.0","Node SEA docs:294-493 @ b4f23d3","runtime-api inside produced executable"
"NODE-EMBEDDER-SNAPSHOT","node-sea","C++ embedder and generic snapshot products","distinct product; not SEA","Node 26.7.0","Node embedding docs and node.h:460-484,946-994 @ b4f23d3","reject as SEA alternative"
"ROLL-BUILD-MEMORY","rolldown","generate in-memory output","R6 package deferred","1.2.4","rolldown-build.ts:23-147 and classic_bundler.rs:1-48 @ 483c648","direct JavaScript/N-API only after package admission gates"
"ROLL-WRITE","rolldown","provider-direct multi-output write","R6 package deferred","1.2.4","binding_bundler.rs and CLI bundle.ts @ 483c648","direct JavaScript/N-API or selected CLI after admission; no transactionality claim"
"ROLL-PLUGINS","rolldown","plugins and virtual inputs","R6 package deferred","1.2.4","plugin API and bindingify-plugin.ts @ 483c648","direct JavaScript/N-API; JSON sidecar is not faithful"
"ROLL-LIFECYCLE","rolldown","generate/write/close and native external-memory ownership","R6 package deferred; in-flight close law fails","1.2.4","external-memory-handle.ts and freeze R6 verdict","no admission until wrapper joins in-flight work and materializes/releases native outputs"
"ROLL-WATCH-DEV","rolldown","watch/dev/incremental engine","experimental and R6 deferred","1.2.4","packages/rolldown/src/api/dev/dev-engine.ts:21-129,151-178 @ 483c648","upstream-dependent plus package gates; do not infer incrementality from RolldownBuild"
