claim_id,source_row,claim,classification,semantic_key,lane,lifecycle,resource_result,output_publication,host_applicability,provenance,semantic_disposition,product_priority,compatibility_commitment,implementation_status,certification_status,evidence_ids,limitation
CLM-011,E03 split,"context acquisition with write:false yields one scoped state owner returning no durable output.",operation,esbuild / context-memory / in-process-api / scoped-context / {long-lived-handle; none},in-process-api,scoped-context,long-lived-handle,none,node; bun; deno; browser-wasm (watch and serve unavailable),UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003; EV-ESB-021; EV-ESB-022,"Only context/rebuild/rebuild/cancel/dispose was ever executed, on ubuntu-24.04."
CLM-012,E03 split,"context acquisition with write:true yields one scoped state owner whose every rebuild republishes provider-direct durable files.",operation,esbuild / context-direct-write / in-process-api / scoped-context / {long-lived-handle; provider-direct-durable},in-process-api,scoped-context,long-lived-handle,provider-direct-durable,node; bun; deno,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003,No execution of the direct-write context mode exists at any coordinate.
CLM-013,E12 (reclassified),"stop() is a public host operation that terminates the process-global shared native child; it is not a per-context release.",operation,esbuild / stop-shared-service / in-process-api / one-shot / {none; none},in-process-api,one-shot,none,none,node; deno; browser,UPSTREAM-DIRECT,established,none,not-committed,not-started,not-certified,EV-ESB-002; EV-ESB-003; EV-ESB-012,"E12 recorded the native child as a private implementation detail but did not record that its termination is a public exported function."
CLM-014,none (missing from the imported inventory),"initialize() is a public host operation guarded by a process-global once-only latch.",operation,esbuild / initialize-shared-service / in-process-api / one-shot / {none; none},in-process-api,one-shot,none,none,browser (mandatory); node and deno (near no-op),UPSTREAM-DIRECT,established,none,not-committed,not-started,not-certified,EV-ESB-002; EV-ESB-003,Absent from rows E01-E12.
CLM-015,E11 split,"An explicitly selected esbuild executable run as a scoped child, fed on stdin and read from stdout, is a one-shot operation with no publication.",operation,esbuild / build-stdout / selected-command / one-shot / {caller-owned-value; none},selected-command,one-shot,caller-owned-value,none,any host that can spawn a process,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-006; EV-ESB-016,No CLI execution beyond --version and --help was performed.
CLM-016,E11 split,"An explicitly selected esbuild executable run with --outfile or --outdir is a one-shot operation with provider-direct-durable publication.",operation,esbuild / build-direct-write / selected-command / one-shot / {caller-owned-value; provider-direct-durable},selected-command,one-shot,caller-owned-value,provider-direct-durable,any host that can spawn a process,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-006; EV-ESB-016,As CLM-015.
CLM-017,E11 split,"An explicitly selected esbuild executable run with --watch is a scoped-process operation exposing only bytes, exit status and durable files.",operation,esbuild / build-watch / selected-command / scoped-process / {long-lived-handle; provider-direct-durable},selected-command,scoped-process,long-lived-handle,provider-direct-durable,any host that can spawn a process,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-006; EV-ESB-016,As CLM-015.
CLM-018,E11 split,"An explicitly selected esbuild executable run with --serve is a scoped-process operation owning a network listener.",operation,esbuild / serve / selected-command / scoped-process / {long-lived-handle; none},selected-command,scoped-process,long-lived-handle,none,any host that can spawn a process,UPSTREAM-DIRECT,established,low,uncommitted,not-started,not-certified,EV-ESB-006; EV-ESB-016; EV-ESB-019,No serve behavior has been executed at any coordinate in this programme.
CLM-019,none (missing from the imported inventory),"build with write:true and no destination emits the bundled bytes onto the host process stdout through console.log and returns no output value.",operation,esbuild / build-host-stdout / in-process-api / one-shot / {none; none},in-process-api,one-shot,none,none,node; bun; deno,UPSTREAM-DIRECT,established,none,not-committed,not-started,not-certified,EV-ESB-003,"Absent from rows E01-E12 and from RECONCILIATION section 3; the exact option combinations that reach this path were read from source, not executed."
CLM-020,E04,"context.rebuild is a method of the context state owner, not a separate operation: it reuses the captured options and the same buildKey and has no independent acquisition or release.",sub-operation,,in-process-api,scoped-context,,,as its owning context,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003; EV-ESB-022,Executed only in the sequence context/rebuild/rebuild/cancel/dispose on ubuntu-24.04.
CLM-021,E05,"context.watch is a method of the context state owner; it accepts only a delay and resolves once the watch request is acknowledged.",sub-operation,,in-process-api,scoped-context,,,as its owning context; throws on browser-wasm,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003; EV-ESB-013,Never executed at any coordinate.
CLM-022,E06,"context.serve is a method of the context state owner; it returns {port, hosts} and has no stop member, so the server is released only by dispose.",sub-operation,,in-process-api,scoped-context,,,as its owning context; throws on browser-wasm,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003; EV-ESB-013,"Never executed. This is the strongest candidate for promotion to a separate operation, but nothing at 0.28.2 gives it independent acquisition or release."
CLM-023,E07,"context.cancel is a method of the context state owner; it resolves on any response, never rejects, and silently resolves after dispose.",sub-operation,,in-process-api,scoped-context,,,as its owning context,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003; EV-ESB-022,Executed once in one sequence; no race schedule was ever exercised.
CLM-024,E08,"context.dispose is the terminal method of the context state owner; it is idempotent through a didDispose flag.",sub-operation,,in-process-api,scoped-context,,,as its owning context,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003; EV-ESB-022,Idempotence is read from source and was not executed.
CLM-025,E09,"PluginBuild.resolve is a sub-operation issued against the owning build's key; it requires an explicit kind and fails before plugin setup completes.",sub-operation,,in-process-api,"one-shot or scoped-context, per owner",,,node; bun; deno; browser-wasm,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003,Never executed.
CLM-026,E09,"PluginBuild.onStart registers a per-build callback that may contribute errors and warnings.",sub-operation,,in-process-api,"one-shot or scoped-context, per owner",,,node; bun; deno; browser-wasm,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003,Never executed.
CLM-027,E09,"PluginBuild.onEnd registers a per-build callback receiving the full BuildResult; it is the only channel through which a watch-triggered rebuild result is observable.",sub-operation,,in-process-api,"one-shot or scoped-context, per owner",,,node; bun; deno; browser-wasm,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003,"Never executed. This is exactly D7 route 2 and it is the only in-process rebuild-result channel esbuild offers."
CLM-028,E09,"PluginBuild.onResolve registers a filter/namespace-scoped resolution callback.",sub-operation,,in-process-api,"one-shot or scoped-context, per owner",,,node; bun; deno; browser-wasm,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003,Never executed.
CLM-029,E09,"PluginBuild.onLoad registers a filter/namespace-scoped load callback.",sub-operation,,in-process-api,"one-shot or scoped-context, per owner",,,node; bun; deno; browser-wasm,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003,Never executed.
CLM-030,E09,"PluginBuild.onDispose registers a cleanup callback that is scheduled with setTimeout after the owning dispose promise has already resolved.",sub-operation,,in-process-api,"one-shot or scoped-context, per owner",,,node; bun; deno; browser-wasm,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-003,"Never executed. The ordering is read from the shipped implementation and is the basis of LAW-ESB-05."
CLM-031,E06,"ServeOptions.onRequest registers a per-request observation callback, and the JS layer installs it only after the serve response has already returned.",sub-operation,,in-process-api,scoped-context,,,node; bun; deno,UPSTREAM-DIRECT,established,low,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003,"Never executed; whether requests arriving in that window are dropped is unproven."
CLM-032,E01,"entryPoints accepts an array of strings, an array of {in, out} pairs, or a record - three distinct request shapes with different output-naming authority.",request-mode,,in-process-api; selected-command,,,,all hosts,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002,None.
CLM-033,E01,"stdin supplies one synthetic input unit with contents, resolveDir, sourcefile and loader, and is an alternative to entryPoints rather than a modifier of them.",request-mode,,in-process-api; selected-command,,,,all hosts,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-016,None.
CLM-034,E01,"write is the request mode that selects between the memory and direct-write operations; it defaults to true on any host with a filesystem.",request-mode,,in-process-api,,,,"node/deno default true; browser default false",UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-003,"The default is derived from streamIn.hasFS in the shipped implementation, not stated in the declarations."
CLM-035,E01,"outfile and outdir are the destination request modes; outdir is required for multiple entry points and enables the outbase-relative layout.",request-mode,,in-process-api; selected-command,,,,all filesystem hosts,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-016,None.
CLM-036,E01/E08,"splitting, chunkNames, entryNames, assetNames, outExtension, outbase and publicPath are output-topology request modes; they change what files exist, not whether they are published.",request-mode,,in-process-api; selected-command,,,,all hosts,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-016,None.
CLM-037,E01,"external, packages, alias, conditions, mainFields, resolveExtensions, preserveSymlinks and nodePaths form the resolution-authority request-mode family; effect-build must forward them without reinterpretation.",request-mode,,in-process-api; selected-command,,,,all hosts,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-016,None.
CLM-038,E09,"The loader map is a per-extension request mode on build; transform instead takes a single loader value for its one source unit.",request-mode,,in-process-api; selected-command,,,,all hosts,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002,None.
CLM-039,E01,"tsconfig and tsconfigRaw are mutually exclusive project-authority request modes; tsconfigRaw overrides all discovered tsconfig.json files.",request-mode,,in-process-api; selected-command,,,,all hosts,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-016,None.
CLM-040,E09,"plugins is a request mode carrying arbitrary host callbacks; it has no serialisable form and therefore no selected-command peer at all.",request-mode,,in-process-api only,,,,node; bun; deno; browser-wasm,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003,"This is a hard lane asymmetry, not a missing feature."
CLM-041,E09,"OnResolveResult and OnLoadResult may return watchFiles and watchDirs, so a plugin is a first-class contributor to the watch set of an owning context.",request-mode,,in-process-api only,,,,node; bun; deno,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-002,"Never executed; relevant to D7 route 1's requirement that a product-owned watch loop must not guess a provider's source graph."
CLM-042,E09,"namespace, filter, suffix, pluginData and import attributes (with) are the plugin addressing request modes; pluginData is opaque caller data round-tripped through a process boundary by an object stash.",request-mode,,in-process-api only,,,,node; bun; deno; browser-wasm,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003,None.
CLM-043,E01,"absWorkingDir is a per-request resolution root; it does not change the native child's own working directory.",request-mode,,in-process-api,,,,node; bun; deno,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-003,"Derived from source: the child's cwd is defaultWD, captured at module load."
CLM-044,E01/E08,"metafile:true is a request mode on the in-process lanes that adds a result field; --metafile=PATH is instead a modifier that writes a JSON file.",request-mode,,in-process-api; selected-command,,,,all filesystem hosts,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-016,"The two lanes differ in publication, so they must never share a policy or a name."
CLM-045,E01,"mangleCache is both a request mode (seed) and a result field (updated decisions) on the in-process lanes; --mangle-cache=PATH is a file-writing modifier on the command lane.",request-mode,,in-process-api; selected-command,,,,all hosts,UPSTREAM-DIRECT,established,low,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-016,None.
CLM-046,E11,"--watch and --serve are argv modifiers on an ordinary build invocation rather than subcommands, so they compose with each other and with --outdir.",request-mode,,selected-command,,,,all process hosts,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-016,"Because they change lifetime and publication, RECONCILIATION section 1 still promotes them into separate semantic identities."
CLM-047,E06,"ServeOptions port, host, servedir, fallback, keyfile, certfile and cors are network request modes with no in-process default beyond an ephemeral port.",request-mode,,in-process-api,,,,node; bun; deno,UPSTREAM-DIRECT,established,low,uncommitted,not-started,not-certified,EV-ESB-002,None.
CLM-048,E05,"WatchOptions carries exactly one member, delay; there is no callback, no filter and no event option.",request-mode,,in-process-api,,,,node; bun; deno,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002,"This alone falsifies any claim that context.watch carries a typed event protocol."
CLM-049,E01,"bundle is a request mode, and without it esbuild processes each entry point independently rather than producing a graph.",request-mode,,in-process-api; selected-command,,,,all hosts,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-016,None.
CLM-050,E01,"target accepts a string or an array of engine strings, and supported carries per-feature booleans; at 0.28.2 duplicate engines resolve to the minimum version.",modifier,,in-process-api; selected-command,,,,all hosts,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-014,"The duplicate-collision rule is a 0.28.2 behavior change; earlier versions took the last value."
CLM-051,E01,"platform selects browser, node or neutral and changes the defaults of format, mainFields and conditions; it is a syntax and resolution-environment axis, not a runtime or architecture target.",modifier,,in-process-api; selected-command,,,,all hosts,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-016,"Confirms the imported information-loss ledger: esbuild target is not Bun's OS/arch/libc target and not Node SEA's base-executable coupling."
CLM-052,E01,"format selects iife, cjs or esm with no default when not bundling.",modifier,,in-process-api; selected-command,,,,all hosts,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-016,None.
CLM-053,E01,"minify and its four component flags, lineLimit, charset, treeShaking, ignoreAnnotations, drop, dropLabels, pure and keepNames are output-shaping modifiers with no lifecycle or publication effect.",modifier,,in-process-api; selected-command,,,,all hosts,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-016,None.
CLM-054,E01,"mangleProps, reserveProps and mangleQuoted are RegExp-valued modifiers translated into Go regular expressions by prefixing JS flags, which is a semantic translation effect-build must not re-describe.",modifier,,in-process-api,,,,all hosts,UPSTREAM-DIRECT,established,low,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003,None.
CLM-055,E01,"sourcemap accepts boolean, linked, inline, external or both, and sourceRoot, sourcesContent and legalComments are its companions; legalComments:'external' adds a result field to transform.",modifier,,in-process-api; selected-command,,,,all hosts,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-002,None.
CLM-056,E01,"jsx, jsxFactory, jsxFragment, jsxImportSource, jsxDev and jsxSideEffects are the JSX modifier family.",modifier,,in-process-api; selected-command,,,,all hosts,UPSTREAM-DIRECT,established,low,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-016,None.
CLM-057,E01,"define, inject, banner and footer inject caller-authored text or modules; banner and footer are per-type records on build and plain strings on transform.",modifier,,in-process-api; selected-command,,,,all hosts,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-002,None.
CLM-058,E01,"logLevel, logLimit, logOverride, logStyle, color and absPaths are diagnostics-presentation modifiers; logStyle:'visualstudio' exists only from 0.28.2.",modifier,,in-process-api; selected-command,,,,all hosts,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-014,None.
CLM-059,E01,"allowOverwrite authorises esbuild to write over its own input files; without it, 0.28.2 protects inputs by writing no files at all when a build error is encountered.",modifier,,in-process-api; selected-command,,,,all filesystem hosts,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-014,"The protection is stated for build errors only; the changelog says nothing about interruption."
CLM-060,E11,"--analyze and --analyze=verbose are CLI modifiers that add a report to stdout; there is no in-process modifier peer, because the in-process lane exposes analyzeMetafile as an operation instead.",modifier,,selected-command,,,,all process hosts,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-016,"A mixed row would classify 'analyze' once; it is a modifier in one lane and an operation in the other."
CLM-061,E11,"--watch-delay is the command-lane peer of WatchOptions.delay.",modifier,,selected-command,,,,all process hosts,UPSTREAM-DIRECT,established,low,uncommitted,not-started,not-certified,EV-ESB-016,None.
CLM-062,E11,"--watch=forever is a modifier that detaches the watch lifetime from stdin closure.",modifier,,selected-command,,,,all process hosts,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-016,"Never executed; the stdin-closure default is stated by the binary's own help text."
CLM-063,E11,"--cors-origin is the command-lane peer of the in-process cors object and accepts no structured form.",modifier,,selected-command,,,,all process hosts,UPSTREAM-DIRECT,established,low,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-016,None.
CLM-064,E01,"BuildResult.errors and BuildResult.warnings are Message arrays; a failed build instead rejects with a BuildFailure Error carrying the same two arrays.",result-field,,in-process-api,,,,all hosts,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002,None.
CLM-065,E01,"Message carries id, pluginName, text, location, notes and an unmodified caller-supplied detail; Location carries file, namespace, 1-based line, 0-based byte column, byte length, lineText and suggestion.",result-field,,in-process-api,,,,all hosts,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002,"Column and length are byte offsets, not code-point offsets; any effect-build rendering that assumes characters is wrong."
CLM-066,E01,"BuildResult.outputFiles is present only when write is false, and its type makes that conditionality explicit at the type level.",result-field,,in-process-api,,,,all hosts,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002,None.
CLM-067,E01,"OutputFile carries path, contents as a Uint8Array, hash as a string, and a lazily decoded readonly text getter that re-decodes when contents is replaced.",result-field,,in-process-api,,,,all hosts,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003,"The hash's algorithm is not declared anywhere in the declarations, so it cannot serve as a D12 algorithm-qualified digest as-is."
CLM-068,E08/E10,"Metafile.inputs records per-input bytes, imports with kind and optional external/original/with, and optional format; Metafile.outputs records bytes, per-input byte attribution, imports (including the synthetic file-loader kind), exports, entryPoint and cssBundle.",result-field,,in-process-api,,,,all hosts,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-002,"This schema must be preserved verbatim; normalising it away is the exact information loss the imported ledger warns about."
CLM-069,E02,"TransformResult carries code, map, warnings, conditional mangleCache and conditional legalComments; it has no output-file, metafile or errors field.",result-field,,in-process-api,,,,all hosts,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-002,None.
CLM-070,E06,"ServeResult carries exactly port and hosts.",result-field,,in-process-api,,,,node; bun; deno,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-002,"There is no stop member, so the result is an observation and not a handle."
CLM-071,E06,"ServeOnRequestArgs carries remoteAddress, method, path, status and timeInMS, where timeInMS is time to generate the response rather than to send it.",result-field,,in-process-api,,,,node; bun; deno,UPSTREAM-DIRECT,established,low,uncommitted,not-started,not-certified,EV-ESB-002,None.
CLM-072,E09,"ResolveResult carries errors, warnings, path, external, sideEffects, namespace, suffix and pluginData.",result-field,,in-process-api,,,,all hosts,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-002,None.
CLM-073,E10,"analyzeMetafile returns one plain string with no declared machine contract.",result-field,,in-process-api,,,,all hosts,UPSTREAM-DIRECT,established,low,uncommitted,not-started,not-certified,EV-ESB-002,None.
CLM-074,E11,"On the command lane the only machine-observable results are exit status, stdout bytes and stderr bytes; there is no BuildResult, no Message array and no metafile object.",result-field,,selected-command,,,,all process hosts,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-006; EV-ESB-016,"REC-006 remains falsified: no typed event or diagnostic may be derived from these bytes."
CLM-075,E12,"esbuild@0.28.2 publishes sha256 digests for its platform binaries under the esbuild.binaryHashes key, and the @esbuild/linux-x64 binary's computed digest matches its published entry exactly.",relation,,,,,,linux-x64 verified; 22 other hashed cells unverified,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-004; EV-ESB-008,Verified at exactly one platform cell in this pass.
CLM-076,E12,"Three of the 26 platform packages - @esbuild/android-arm, @esbuild/android-x64 and @esbuild/openharmony-arm64 - have no entry in esbuild.binaryHashes, and they are exactly the WebAssembly-fallback platforms.",relation,,,,,,android-arm; android-x64; openharmony-arm64,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-004; EV-ESB-006,"The coherence relation therefore has a hole on exactly the platforms where the 'native binary' is a WebAssembly module executed by node."
CLM-077,E12,"esbuild's binary integrity check runs only on the two install-time fallback acquisition paths; a binary resolved normally through require.resolve is never hashed, and the whole postinstall step is skipped under --ignore-scripts.",relation,,,,,,node,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-005,"A published hash existing is not the same as it having been checked in any given install."
CLM-078,E12,"The JavaScript API refuses to start when the first packet from the child does not carry the host package's exact version string, raising 'Cannot start service: Host version ... does not match binary version ...'.",relation,,,,,,node; bun; deno; browser,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-003,"This is the runtime half of package/API/native-binary coherence. It fires at first use, not at layer acquisition, and it throws inside a stdout data handler rather than rejecting the pending request."
CLM-079,E11/E12,"The installed form of node_modules/.bin/esbuild is decided at install time: on non-Windows, non-yarn, non-WASM installs, install.js hardlinks the native binary over the node shim, so the same path is sometimes a Node process wrapping a child and sometimes the native executable itself.",relation,,,,,,node,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-005; EV-ESB-006,"Signal delivery, process-tree shape and exit reporting differ between the two forms. Any selected-command operation must record which form it selected."
CLM-080,E12,"When ESBUILD_BINARY_PATH is set at install time, install.js rewrites both bin/esbuild and lib/main.js in place, so the installed library bytes differ from the published tarball bytes.",relation,,,,,,node,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-005,"A digest of the published tarball therefore does not authenticate an installed tree."
CLM-081,E12,"The JavaScript API refuses to run when its own file has been bundled, detected by checking that __filename ends in main.js and __dirname ends in lib.",relation,,,,,,node,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-003; EV-ESB-011,"Any effect-build package that bundles its dependencies must mark esbuild external."
CLM-082,E11,"The CLI loader enumeration accepted by the native binary includes global-css and omits default, while the TypeScript Loader union includes default and omits global-css; the JavaScript layer validates loader values only as strings, so the declarations are narrower than the binary in one direction and wider in the other.",relation,,,,,,all hosts,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-002; EV-ESB-003; EV-ESB-016,"Two official artifacts of the same version disagree. Which one is authoritative for a given call was not executed."
CLM-083,E11/E06,"GHSA-g7r4-m6w7-qqqr is an operation-, lane- and host-specific hole: esbuild's development server allowed path traversal through backslashes on Windows, first patched in 0.28.1.",relation,,,,,,windows only; serve only,UPSTREAM-DIRECT,established,high,uncommitted,not-started,not-certified,EV-ESB-014; EV-ESB-019,"The advisory page names 0.27.3 while the imported compatibility matrix records >=0.27.3 <0.28.1; the lower bound is unresolved."
CLM-084,none (missing from the imported inventory),"GHSA-gv7w-rqvm-qjhr is a host-specific hole affecting only esbuild's Deno module, which downloaded and wrote executable binaries without integrity verification from >=0.17.0 until 0.28.1, honouring NPM_CONFIG_REGISTRY.",relation,,,,,,deno host only,UPSTREAM-DIRECT,established,medium,uncommitted,not-started,not-certified,EV-ESB-014; EV-ESB-020,"Not applicable to the node or bun hosts effect-build composes; recorded so a future Deno-hosted esbuild composition is not admitted by inheritance."
