evidence_id,provider_implementation_identity,host,requested_target,option_mode,evaluation_phase,evidence_class,artifact,coordinate,retrieval_date,digest_algorithm,digest,establishes,does_not_establish
EV-ESB-011,esbuild source tag v0.28.2,node,n/a,n/a,layer-acquisition,UPSTREAM-DIRECT,lib/npm/node.ts,https://raw.githubusercontent.com/evanw/esbuild/v0.28.2/lib/npm/node.ts,2026-08-19,sha256,fd56ce5ffbbfdc37a7ac58802ce1c634a16ef43ef5ab78cc5a0351f760aeb1a0,"Unminified source for the node host paths bundled into lib/main.js; ESBUILD_WORKER_THREADS and ESBUILD_MAX_BUFFER env inputs; the 'esbuild JavaScript API cannot be bundled' guard keyed on __filename/__dirname","Deno or browser host behavior"
EV-ESB-012,esbuild source tag v0.28.2,deno,n/a,n/a,layer-acquisition,UPSTREAM-DIRECT,lib/deno/mod.ts,https://raw.githubusercontent.com/evanw/esbuild/v0.28.2/lib/deno/mod.ts,2026-08-19,sha256,69219304c2b1cd296e14a456894ed0e263e3e9ab3b4b147c7bdd68ca52591b9e,"Deno host exports build/context/transform/formatMessages/analyzeMetafile/stop/initialize and version; all four *Sync members throw 'The \"buildSync\" API does not work in Deno' (and peers); stop() is async and awaits stopService; the child is spawned with --service=<version> and no --ping","Node or browser host behavior; whether effect-build would ever compose a Deno host for esbuild"
EV-ESB-013,esbuild source tag v0.28.2,browser,n/a,n/a,layer-acquisition,UPSTREAM-DIRECT,lib/npm/browser.ts,https://raw.githubusercontent.com/evanw/esbuild/v0.28.2/lib/npm/browser.ts,2026-08-19,sha256,c5926457487098b3be58733edebbe7c52d2d026434765c70a5a353b42017f583,"Browser host sets hasFS:false, which makes write/watch/serve throw; all four *Sync members throw 'only works in node'; initialize is the mandatory precondition","Node or Deno host behavior"
EV-ESB-014,esbuild source tag v0.28.2,n/a,n/a,n/a,release-CI,UPSTREAM-DIRECT,CHANGELOG.md,https://raw.githubusercontent.com/evanw/esbuild/v0.28.2/CHANGELOG.md,2026-08-19,sha256,6dfdfe3482a97903237174ec90479c4b54bf9930809a24defe4146f0ee972d76,"0.28.2 restored refusal to overwrite input files without --allow-overwrite by not writing any files when a build error is encountered, and states the behavior had regressed since 0.17.0; 0.28.2 fixed a reference-count deadlock in the long-lived child (#4503/#4506) and states the child stays open while stdin is open or requests are in flight; 0.28.2 added --log-style=visualstudio, also reachable through formatMessages; 0.28.1 fixed GHSA-g7r4-m6w7-qqqr and GHSA-gv7w-rqvm-qjhr; 0.28.0 introduced esbuild.binaryHashes as a breaking change and moved the Go toolchain from 1.25.7 to 1.26.1","Behavior at interruption rather than build error; behavior of partially written files"
EV-ESB-015,@esbuild/linux-x64 0.28.2 native binary sha256 e1698a3d...,linux x64 (this research container),n/a,--version,launch-boundary,RECORDED-EXECUTION,stdout of ./bin/esbuild --version,scratchpad execution 2026-08-19,2026-08-19,n/a,n/a,"The binary at digest e1698a3d5c6c0798fee4fd3b5cc816651f460c63d390a7a26ea4beb0b1884100 reports exactly 0.28.2, closing the version half of the package/binary coherence relation at this cell","Any build, transform, context, watch or serve behavior"
EV-ESB-016,@esbuild/linux-x64 0.28.2 native binary sha256 e1698a3d...,linux x64 (this research container),n/a,--help,launch-boundary,RECORDED-EXECUTION,stdout of ./bin/esbuild --help,scratchpad execution 2026-08-19,2026-08-19,n/a,n/a,"Authoritative CLI surface of the native binary: --watch stops when stdin is closed unless --watch=forever; --watch-delay; --serve=host:port is a flag on an ordinary build invocation, not a subcommand; --servedir, --serve-fallback, --cors-origin, --keyfile, --certfile; --analyze and --analyze=verbose print a report; --metafile=PATH and --mangle-cache=PATH write files; --allow-overwrite; the CLI loader enumeration includes global-css and omits default","Runtime behavior of any of those flags; whether an undocumented flag exists"
EV-ESB-017,esbuild npm registry document,n/a,n/a,n/a,installation-graph,UPSTREAM-DIRECT,registry metadata,https://registry.npmjs.org/esbuild,2026-08-19,n/a,n/a,"dist-tags.latest = 0.28.2 at retrieval; 482 published versions; 0.28.2 dist carries npm provenance attestations (SLSA v1 predicate) and two registry signatures","That 0.28.2 is the version any consumer resolves; effect-build pins exactly 0.28.2 in package.json and bun.lock"
EV-ESB-018,@esbuild/linux-x64 npm registry document,n/a,linux-x64,n/a,installation-graph,UPSTREAM-DIRECT,registry metadata,https://registry.npmjs.org/@esbuild/linux-x64,2026-08-19,n/a,n/a,"Platform package declares os/cpu constraints and no dependencies or scripts","Behavior of other platform packages"
EV-ESB-019,esbuild serve (development server),windows,n/a,servedir,operation-preflight,UPSTREAM-DIRECT,GHSA-g7r4-m6w7-qqqr,https://github.com/evanw/esbuild/security/advisories/GHSA-g7r4-m6w7-qqqr,2026-08-19,n/a,n/a,"Path traversal through backslash in HTTP request paths on Windows when servedir is configured; first patched version 0.28.1; low severity CVSS 3.1 score 2.5 vector AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:L/A:N; no CVE assigned","The exact lower bound of the affected range - the advisory page names 0.27.3 while the imported compatibility matrix records >=0.27.3 <0.28.1; treat the lower bound as unresolved"
EV-ESB-020,esbuild Deno module,deno,n/a,NPM_CONFIG_REGISTRY,layer-acquisition,UPSTREAM-DIRECT,GHSA-gv7w-rqvm-qjhr,https://github.com/evanw/esbuild/security/advisories/GHSA-gv7w-rqvm-qjhr,2026-08-19,n/a,n/a,"The Deno module downloaded and wrote executable native binaries with no integrity verification; affected >=0.17.0; first patched 0.28.1; high severity CVSS 3.1 score 8.1 vector AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H; scoped to lib/deno/mod.ts, not the npm node path","Any exposure on the node host, which has hash verification on its fallback download paths from 0.28.0"
EV-ESB-021,esbuild 0.28.1 and 0.28.2 as resolved by the run,ubuntu-24.04,n/a,default,operation-execution,RECORDED-EXECUTION,version-boundaries.json,research/post-0.3/corpus/recovery/evidence/receipts/run-31971767617/version-boundaries.json (sourceSha 9b0d2f59567a7684b62df932c67b7a96050b605f),2026-08-19,n/a,n/a,"At 0.28.1 and 0.28.2 on ubuntu-24.04, build, context, cancel and dispose were present and exercised","watch, serve, transform, analyzeMetafile, formatMessages, any sync variant, any CLI lane, any race, any remnant, any host other than ubuntu-24.04"
EV-ESB-022,esbuild as resolved by the run,ubuntu-24.04,n/a,context memory,operation-execution,RECORDED-EXECUTION,external-provider-research.json,research/post-0.3/corpus/recovery/evidence/receipts/run-31971767617/external-provider-research.json (sourceSha 9b0d2f59567a7684b62df932c67b7a96050b605f),2026-08-19,n/a,n/a,"One lifecycle context -> rebuild -> rebuild -> cancel -> dispose completed and the second rebuild reflected mutated source (firstContainsV1, secondContainsV2)","Post-dispose rejection - unlike the Rolldown row in the same receipt, the esbuild evidence carries no afterCloseRejected assertion, so post-dispose behavior is unobserved"
EV-ESB-023,corpus breadth inventory,n/a,n/a,n/a,n/a,ARCHIVE,provider-operation-inventory.csv rows E01-E12,research/post-0.3/corpus/lanes/provider-native-breadth/provider-operation-inventory.csv,2026-08-19,n/a,n/a,"The 12 imported mixed esbuild rows this supplement decomposes, all recorded as source-established and not executed","Any behavior; the rows carry evidence_status 'not executed in this research'"
EV-ESB-024,corpus compatibility matrix,various,n/a,n/a,n/a,ARCHIVE,operation-version-matrix.csv esbuild rows,research/post-0.3/corpus/lanes/compatibility-dx/operation-version-matrix.csv,2026-08-19,n/a,n/a,"Prior recorded support points and the CLI/context lane-mismatch row","New coordinates; the matrix predates this retrieval"
EV-ESB-025,esbuild documentation site,n/a,n/a,n/a,n/a,UNAVAILABLE,https://esbuild.github.io/api/,egress-blocked at retrieval,2026-08-19,n/a,n/a,"Nothing - the host is blocked by this environment's network egress proxy, so the moving documentation cited throughout the imported corpus could not be re-verified in this pass","Every claim in this supplement is instead grounded in tagged declarations, tagged source, published package metadata, or the native binary itself, which the corpus evidence rule ranks above moving documentation"
