"source_set","source_id","atom_id","provider","source_label","classification","canonical_operation_ids","evidence_coordinate_refs","freeze_recommendation","note"
"original-54","B09","B09.1","bun","host compile executable","operation","CAN-BUN-011","E-BUN-015;E-BUN-016","ship",""
"original-54","B09","B09.2","bun","command compile executable with atomic public contract","operation","CAN-BUN-012","E-BUN-017;E-EB-001","ship",""
"original-54","B10","B10.1","bun","full-stack HTML executable","request-mode","CAN-BUN-011;CAN-BUN-012","E-BUN-015;E-BUN-017","ship","provider-native compile request mode"
"original-54","D01","D01.1","deno","Deno.bundle memory","operation","CAN-DENO-001","DENO-EV-001","defer",""
"original-54","D02","D02.1","deno","Deno.bundle write","operation","CAN-DENO-002","DENO-EV-001","defer",""
"original-54","D03","D03.1","deno","deno bundle stdout","operation","CAN-DENO-003","DENO-EV-002","defer",""
"original-54","D04","D04.1","deno","deno bundle direct write","operation","CAN-DENO-004","DENO-EV-002","defer",""
"original-54","D05","D05.1","deno","deno bundle --watch","operation","CAN-DENO-005","DENO-EV-002","defer",""
"original-54","D06","D06.1","deno","bundle --check","sub-operation","CAN-DENO-003;CAN-DENO-004;CAN-DENO-005;CAN-DENO-006","DENO-EV-002","defer",""
"original-54","D06","D06.2","deno","bundle declaration roll-up","operation","CAN-DENO-006","DENO-EV-002","defer",""
"original-54","D07","D07.1","deno","deno compile","operation","CAN-DENO-010","DENO-EV-004;DENO-EV-005;DENO-EV-006;DENO-EV-007;DENO-EV-008;DENO-EV-009;DENO-EV-010","ship",""
"original-54","D08","D08.1","deno","denort runtime acquisition","sub-operation","CAN-DENO-010;CAN-DENO-011","DENO-EV-004;DENO-EV-013","defer","no hidden fallback"
"original-54","D09","D09.1","deno","compiled runtime Deno.bundle","runtime-capability","","DENO-EV-011","reject","unavailable at current exact source and historical coordinate"
"original-54","D10","D10.1","deno","bundle permission authority","relation","CAN-DENO-001;CAN-DENO-002","DENO-EV-001;DENO-EV-012","defer",""
"original-54","E01","E01.1","esbuild","build memory","operation","CAN-ESB-001","EV-ESB-002;EV-ESB-003","ship",""
"original-54","E01","E01.2","esbuild","build direct write","operation","CAN-ESB-002","EV-ESB-002;EV-ESB-003","ship",""
"original-54","E01","E01.3","esbuild","build host stdout","operation","CAN-ESB-019","EV-ESB-003","reject",""
"original-54","E02","E02.1","esbuild","transform","operation","CAN-ESB-003","EV-ESB-002;EV-ESB-003","ship",""
"original-54","E03","E03.1","esbuild","context memory","operation","CAN-ESB-011","EV-ESB-002;EV-ESB-003","ship",""
"original-54","E03","E03.2","esbuild","context direct write","operation","CAN-ESB-012","EV-ESB-002;EV-ESB-003","ship",""
"original-54","E04","E04.1","esbuild","context.rebuild","sub-operation","CAN-ESB-011;CAN-ESB-012","EV-ESB-003;EV-ESB-021","ship",""
"original-54","E05","E05.1","esbuild","context.watch","sub-operation","CAN-ESB-011;CAN-ESB-012","EV-ESB-002;EV-ESB-003","ship",""
"original-54","E06","E06.1","esbuild","context.serve","sub-operation","CAN-ESB-011;CAN-ESB-012","EV-ESB-002;EV-ESB-003","ship",""
"original-54","E07","E07.1","esbuild","context.cancel","sub-operation","CAN-ESB-011;CAN-ESB-012","EV-ESB-002;EV-ESB-003","ship",""
"original-54","E08","E08.1","esbuild","context.dispose","sub-operation","CAN-ESB-011;CAN-ESB-012","EV-ESB-002;EV-ESB-003","ship",""
"original-54","E09","E09.1","esbuild","loaders and plugin request authority","modifier","CAN-ESB-001;CAN-ESB-002;CAN-ESB-011;CAN-ESB-012","EV-ESB-002;EV-ESB-003","ship",""
"original-54","E09","E09.2","esbuild","plugin hooks","sub-operation","CAN-ESB-001;CAN-ESB-002;CAN-ESB-011;CAN-ESB-012","EV-ESB-003;EV-ESB-009","ship",""
"original-54","E10","E10.1","esbuild","metafile","result-field","CAN-ESB-001;CAN-ESB-002","EV-ESB-002","ship",""
"original-54","E10","E10.2","esbuild","analyze metafile","operation","CAN-ESB-004","EV-ESB-002;EV-ESB-003","ship",""
"original-54","E11","E11.1","esbuild","CLI build stdout","operation","CAN-ESB-015","EV-ESB-006;EV-ESB-016","ship",""
"original-54","E11","E11.2","esbuild","CLI build direct write","operation","CAN-ESB-016","EV-ESB-006;EV-ESB-016","ship",""
"original-54","E11","E11.3","esbuild","CLI watch","operation","CAN-ESB-017","EV-ESB-006;EV-ESB-016","ship",""
"original-54","E11","E11.4","esbuild","CLI serve","operation","CAN-ESB-018","EV-ESB-006;EV-ESB-016;EV-ESB-019","defer",""
"original-54","E12","E12.1","esbuild","shared native child identity","runtime-capability","CAN-ESB-001;CAN-ESB-002;CAN-ESB-003;CAN-ESB-004;CAN-ESB-005;CAN-ESB-011;CAN-ESB-012","EV-ESB-003;EV-ESB-013","defer",""
"original-54","E12","E12.2","esbuild","process-global child ownership","architecture-law","CAN-ESB-013;CAN-ESB-014","EV-ESB-003;EV-ESB-013","reject",""
"original-54","S01","S01.1","node-sea","direct --build-sea","operation","CAN-NODE-001","E-NODE-DIRECT;E-NODE-26-DOC-CONFIG","ship",""
"original-54","S02","S02.1","node-sea","CommonJS main","request-mode","CAN-NODE-001;CAN-NODE-002;CAN-NODE-003","E-NODE-24-DOC;E-NODE-22-DOC;E-NODE-26-DOC-CONFIG","ship",""
"original-54","S03","S03.1","node-sea","ESM main","request-mode","CAN-NODE-001;CAN-NODE-002;CAN-NODE-003","E-NODE-ESM;E-NODE-ESM-CACHE","defer",""
"original-54","S04","S04.1","node-sea","asset embedding","request-mode","CAN-NODE-001;CAN-NODE-002;CAN-NODE-003","E-NODE-ASSETS;E-NODE-26-DOC-CONFIG","ship",""
"original-54","S04","S04.2","node-sea","node:sea asset lookup APIs","runtime-capability","","E-NODE-ASSETS;E-NODE-ASSET-KEYS","defer","copied values and raw borrowed view remain distinct"
"original-54","S05","S05.1","node-sea","code cache","modifier","CAN-NODE-001;CAN-NODE-002;CAN-NODE-003","E-NODE-CACHE;E-NODE-ESM-CACHE","defer",""
"original-54","S06","S06.1","node-sea","startup snapshot","modifier","CAN-NODE-001;CAN-NODE-002;CAN-NODE-003","E-NODE-SNAPSHOT","defer",""
"original-54","S07","S07.1","node-sea","execArgv policy","request-mode","CAN-NODE-001;CAN-NODE-002;CAN-NODE-003","E-NODE-ARGV;E-NODE-ARGVEXT","defer",""
"original-54","S08","S08.1","node-sea","generate preparation blob","operation","CAN-NODE-002","E-NODE-BLOB-JSON","ship",""
"original-54","S08","S08.2","node-sea","inject preparation blob","operation","CAN-NODE-003","E-NODE-26-DOC-LEGACY","ship",""
"original-54","S09","S09.1","node-sea","candidate correctness repair","post-production-mutation","CAN-NODE-001;CAN-NODE-003","E-CORPUS-APPLE","ship","inside assembler; no distribution trust claim"
"original-54","S09","S09.2","apple","distribution signing and verification","external-platform-primitive","","E-CORPUS-APPLE","defer","R9 family; not Node SEA"
"original-54","S10","S10.1","node-sea","builder/base identity","relation","CAN-NODE-001;CAN-NODE-002;CAN-NODE-003","E-NODE-26-DOC-CONFIG;E-CORPUS-ADMISS","defer","equality wherever participants are separate"
"original-54","F01","F01.1","effect","ChildProcess command","external-platform-primitive","","","ship","use official Effect primitive directly; no effect-build wrapper operation"
"original-54","F02","F02.1","effect","Scope","external-platform-primitive","","","ship","use official Effect primitive directly; no effect-build wrapper operation"
"original-54","F03","F03.1","effect","Stream/Sink","external-platform-primitive","","","ship","use official Effect primitive directly; no effect-build wrapper operation"
"original-54","F04","F04.1","effect","FileSystem/Path","external-platform-primitive","","","ship","use official Effect primitive directly; no effect-build wrapper operation"
"original-54","F05","F05.1","effect","Context/Layer","external-platform-primitive","","","ship","use official Effect primitive directly; no effect-build wrapper operation"
"original-54","F06","F06.1","effect","Cause/interruption","external-platform-primitive","","","ship","use official Effect primitive directly; no effect-build wrapper operation"
"original-54","F07","F07.1","effect","logging/tracing","external-platform-primitive","","","ship","use official Effect primitive directly; no effect-build wrapper operation"
"original-54","R01","R01.1","cross-provider","Node sealed-main producer role","portable-role","","","defer","R5 ship-if-pass; not a provider operation"
"original-54","R02","R02.1","cross-provider","BrowserModulePayload","portable-role","","","defer","R5 ship-if-pass; narrower successor to imported graph application"
"original-54","R03","R03.1","cross-provider","RuntimeExecutable","portable-role","","","reject","runtime-neutral executable erases provider/runtime identity"
"original-54","R04","R04.1","cross-provider","CLI-derived TypedWatchEvents","portable-role","","","reject","current text-derived role falsified; future product-owned protocol is distinct"
"original-54","R05","R05.1","cross-provider","operation-owned surface boundary","architecture-law","","","ship","adopted canonicalization law"
"r2-bun","OP-BUN-001","OP-BUN-001.operation","bun","new Bun.Transpiler(options)","operation","CAN-BUN-001","E-BUN-001;E-BUN-002","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-bun","OP-BUN-002","OP-BUN-002.operation","bun","Bun.Transpiler.transform","operation","CAN-BUN-002","E-BUN-003","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-bun","OP-BUN-003","OP-BUN-003.operation","bun","Bun.Transpiler.transformSync","operation","CAN-BUN-003","E-BUN-004","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-bun","OP-BUN-004","OP-BUN-004.operation","bun","Bun.Transpiler.scan","operation","CAN-BUN-004","E-BUN-005","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-bun","OP-BUN-005","OP-BUN-005.operation","bun","Bun.Transpiler.scanImports","operation","CAN-BUN-005","E-BUN-006","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-bun","OP-BUN-006","OP-BUN-006.operation","bun","Bun.build without direct output","operation","CAN-BUN-006","E-BUN-007;E-BUN-008;E-BUN-009;E-BUN-010","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-bun","OP-BUN-007","OP-BUN-007.operation","bun","Bun.build with outdir/direct output","operation","CAN-BUN-007","E-BUN-011;E-BUN-021;E-BUN-022","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-bun","OP-BUN-008","OP-BUN-008.operation","bun","selected bun build stdout","operation","CAN-BUN-008","E-BUN-012","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-bun","OP-BUN-009","OP-BUN-009.operation","bun","selected bun build with outfile/outdir","operation","CAN-BUN-009","E-BUN-013;E-BUN-023;E-BUN-024;E-BUN-025","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-bun","OP-BUN-010","OP-BUN-010.operation","bun","selected bun build --watch","operation","CAN-BUN-010","E-BUN-014;E-BUN-026","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-bun","OP-BUN-011","OP-BUN-011.operation","bun","Bun.build({compile})","operation","CAN-BUN-011","E-BUN-015;E-BUN-016;E-BUN-021","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-bun","OP-BUN-012","OP-BUN-012.operation","bun","effect-build compileExecutable over selected bun build --compile","operation","CAN-BUN-012","E-BUN-017;E-BUN-027;E-EB-001","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-bun","OP-BUN-013","OP-BUN-013.operation","bun","effect-build compileExecutable over selected bun build --compile","operation","CAN-BUN-012","E-BUN-017;E-BUN-027;E-EB-001","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-bun","OP-BUN-014","OP-BUN-014.operation","bun","Bun.plugin","operation","CAN-BUN-014","E-BUN-018","reject","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-bun","OP-BUN-015","OP-BUN-015.operation","bun","Bun.plugin.clearAll","operation","CAN-BUN-015","E-BUN-019","reject","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-deno","DENO-OP-001","DENO-OP-001.operation","deno","Deno.bundle write:false","operation","CAN-DENO-001","DENO-EV-001;DENO-EV-012","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-deno","DENO-OP-002","DENO-OP-002.operation","deno","Deno.bundle direct write","operation","CAN-DENO-002","DENO-EV-001;DENO-EV-012","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-deno","DENO-OP-003","DENO-OP-003.operation","deno","selected deno bundle stdout","operation","CAN-DENO-003","DENO-EV-002","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-deno","DENO-OP-004","DENO-OP-004.operation","deno","selected deno bundle output","operation","CAN-DENO-004","DENO-EV-002","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-deno","DENO-OP-005","DENO-OP-005.operation","deno","selected deno bundle --watch","operation","CAN-DENO-005","DENO-EV-002","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-deno","DENO-OP-006","DENO-OP-006.operation","deno","selected deno bundle --declaration","operation","CAN-DENO-006","DENO-EV-002","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-deno","DENO-OP-007","DENO-OP-007.operation","deno","selected deno transpile stdout","operation","CAN-DENO-007","DENO-EV-003","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-deno","DENO-OP-008","DENO-OP-008.operation","deno","selected deno transpile output","operation","CAN-DENO-008","DENO-EV-003","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-deno","DENO-OP-009","DENO-OP-009.operation","deno","selected deno transpile --declaration","operation","CAN-DENO-009","DENO-EV-003","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-deno","DENO-OP-010","DENO-OP-010.operation","deno","effect-build deno compile executable operation","operation","CAN-DENO-010","DENO-EV-004;DENO-EV-005;DENO-EV-006;DENO-EV-007;DENO-EV-008;DENO-EV-009;DENO-EV-010;DENO-EV-013","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-deno","DENO-OP-011","DENO-OP-011.operation","deno","selected deno compile --watch","operation","CAN-DENO-011","DENO-EV-004","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-esbuild","ESB-OP-01","ESB-OP-01.operation","esbuild","esbuild.build write:false","operation","CAN-ESB-001","EV-ESB-002;EV-ESB-003;EV-ESB-009;EV-ESB-021;EV-ESB-023","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-esbuild","ESB-OP-02","ESB-OP-02.operation","esbuild","esbuild.build write:true with destination","operation","CAN-ESB-002","EV-ESB-002;EV-ESB-003;EV-ESB-014;EV-ESB-023","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-esbuild","ESB-OP-03","ESB-OP-03.operation","esbuild","esbuild.transform","operation","CAN-ESB-003","EV-ESB-002;EV-ESB-003;EV-ESB-009;EV-ESB-023","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-esbuild","ESB-OP-04","ESB-OP-04.operation","esbuild","esbuild.analyzeMetafile","operation","CAN-ESB-004","EV-ESB-002;EV-ESB-003;EV-ESB-016;EV-ESB-023","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-esbuild","ESB-OP-05","ESB-OP-05.operation","esbuild","esbuild.formatMessages","operation","CAN-ESB-005","EV-ESB-002;EV-ESB-003;EV-ESB-014","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-esbuild","ESB-OP-06","ESB-OP-06.operation","esbuild","esbuild.buildSync write:false","operation","CAN-ESB-006","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","reject","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-esbuild","ESB-OP-07","ESB-OP-07.operation","esbuild","esbuild.buildSync write:true","operation","CAN-ESB-007","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","reject","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-esbuild","ESB-OP-08","ESB-OP-08.operation","esbuild","esbuild.transformSync","operation","CAN-ESB-008","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","reject","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-esbuild","ESB-OP-09","ESB-OP-09.operation","esbuild","esbuild.analyzeMetafileSync","operation","CAN-ESB-009","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","reject","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-esbuild","ESB-OP-10","ESB-OP-10.operation","esbuild","esbuild.formatMessagesSync","operation","CAN-ESB-010","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","reject","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-esbuild","ESB-OP-11","ESB-OP-11.operation","esbuild","esbuild.context write:false","operation","CAN-ESB-011","EV-ESB-002;EV-ESB-003;EV-ESB-009;EV-ESB-013;EV-ESB-021;EV-ESB-022;EV-ESB-023","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-esbuild","ESB-OP-12","ESB-OP-12.operation","esbuild","esbuild.context write:true","operation","CAN-ESB-012","EV-ESB-002;EV-ESB-003;EV-ESB-023","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-esbuild","ESB-OP-13","ESB-OP-13.operation","esbuild","esbuild.stop","operation","CAN-ESB-013","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","reject","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-esbuild","ESB-OP-14","ESB-OP-14.operation","esbuild","esbuild.initialize","operation","CAN-ESB-014","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","reject","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-esbuild","ESB-OP-15","ESB-OP-15.operation","esbuild","selected esbuild stdout","operation","CAN-ESB-015","EV-ESB-006;EV-ESB-016;EV-ESB-023;EV-ESB-024","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-esbuild","ESB-OP-16","ESB-OP-16.operation","esbuild","selected esbuild with outfile/outdir","operation","CAN-ESB-016","EV-ESB-006;EV-ESB-016;EV-ESB-023;EV-ESB-024","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-esbuild","ESB-OP-17","ESB-OP-17.operation","esbuild","selected esbuild --watch","operation","CAN-ESB-017","EV-ESB-006;EV-ESB-016;EV-ESB-023","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-esbuild","ESB-OP-18","ESB-OP-18.operation","esbuild","selected esbuild --serve","operation","CAN-ESB-018","EV-ESB-006;EV-ESB-016;EV-ESB-019;EV-ESB-023","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-esbuild","ESB-OP-19","ESB-OP-19.operation","esbuild","esbuild.build write:true without destination","operation","CAN-ESB-019","EV-ESB-003","reject","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-node-sea","NODE-SEA-DIRECT","NODE-SEA-DIRECT.operation","node-sea","node --build-sea","operation","CAN-NODE-001","E-NODE-DIRECT;E-NODE-26-DOC-CONFIG;E-NODE-26-SRC-BIN;E-NODE-26-SRC-SEA;E-CORPUS-PREFLIGHT;E-CORPUS-APPLE","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-node-sea","NODE-SEA-LEGACY-BLOB","NODE-SEA-LEGACY-BLOB.operation","node-sea","node --experimental-sea-config","operation","CAN-NODE-002","E-NODE-BLOB-JSON;E-NODE-26-DOC-LEGACY;E-NODE-24-DOC;E-NODE-22-DOC;E-CORPUS-OWNERSHIP;E-CORPUS-PREFLIGHT","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-node-sea","NODE-SEA-LEGACY-INJECT","NODE-SEA-LEGACY-INJECT.operation","node-sea","selected exact SEA injector","operation","CAN-NODE-003","E-NODE-26-DOC-LEGACY;E-NODE-26-DOC-PLATFORMS;E-NODE-26-DOC-LOADER;E-CORPUS-ADMISS;E-CORPUS-PREFLIGHT;E-CORPUS-APPLE","ship","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-rolldown","OP-ROL-001","OP-ROL-001.operation","rolldown","rolldown(input)","operation","CAN-ROL-001","E-ROL-ACQUIRE;E-ROL-HANDLE;E-ROL-INPUT;E-EB-GATES","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-rolldown","OP-ROL-002","OP-ROL-002.operation","rolldown","RolldownBuild.generate","operation","CAN-ROL-002","E-ROL-HANDLE;E-ROL-OUTPUT-TYPES;E-ROL-OUTPUT-IMPL;E-ROL-EXTMEM;E-EB-RECEIPT","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-rolldown","OP-ROL-003","OP-ROL-003.operation","rolldown","RolldownBuild.write","operation","CAN-ROL-003","E-ROL-HANDLE;E-ROL-OUTPUT-OPTIONS;E-ROL-OUTPUT-TYPES;E-ROL-PLUGIN;E-EB-LIFE","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-rolldown","OP-ROL-005","OP-ROL-005.operation","rolldown","experimental build generate","operation","CAN-ROL-005","E-ROL-BUILD;E-ROL-HANDLE;E-ROL-OUTPUT-IMPL","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-rolldown","OP-ROL-006","OP-ROL-006.operation","rolldown","experimental build write","operation","CAN-ROL-006","E-ROL-BUILD;E-ROL-HANDLE;E-ROL-OUTPUT-OPTIONS;E-EB-LIFE","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-rolldown","OP-ROL-007","OP-ROL-007.operation","rolldown","rolldown watch","operation","CAN-ROL-007","E-ROL-WATCH-API;E-ROL-WATCH-EVENT;E-ROL-WATCH-IMPL;E-ROL-INPUT","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-rolldown","OP-ROL-008","OP-ROL-008.operation","rolldown","rolldown watch skipWrite","operation","CAN-ROL-008","E-ROL-WATCH-API;E-ROL-WATCH-EVENT;E-ROL-WATCH-IMPL;E-ROL-HANDLE","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-rolldown","OP-ROL-010","OP-ROL-010.operation","rolldown","selected rolldown stdout","operation","CAN-ROL-010","E-ROL-PKG;E-ROL-CLI-BUNDLE;E-ROL-CLI-ARGS;E-ROL-CONFIG","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-rolldown","OP-ROL-011","OP-ROL-011.operation","rolldown","selected rolldown output","operation","CAN-ROL-011","E-ROL-CLI-BUNDLE;E-ROL-CLI-ARGS;E-ROL-CONFIG;E-EB-LIFE","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-rolldown","OP-ROL-012","OP-ROL-012.operation","rolldown","selected rolldown --watch","operation","CAN-ROL-012","E-ROL-CLI-BUNDLE;E-ROL-WATCH-API;E-ROL-WATCH-IMPL","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-rolldown","OP-ROL-013","OP-ROL-013.operation","rolldown","rolldown experimental transform","operation","CAN-ROL-013","E-ROL-UTILS;E-ROL-TRANSFORM;E-ROL-BINDING-DTS","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-rolldown","OP-ROL-014","OP-ROL-014.operation","rolldown","rolldown parse","operation","CAN-ROL-014","E-ROL-UTILS;E-ROL-PARSE;E-ROL-PARSE-AST;E-ROL-BINDING-DTS","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-rolldown","OP-ROL-015","OP-ROL-015.operation","rolldown","rolldown experimental minify","operation","CAN-ROL-015","E-ROL-UTILS;E-ROL-MINIFY;E-ROL-BINDING-DTS","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-rolldown","OP-ROL-016","OP-ROL-016.operation","rolldown","rolldown experimental ResolverFactory","operation","CAN-ROL-016","E-ROL-EXPERIMENTAL;E-ROL-BINDING-DTS","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-rolldown","OP-ROL-017","OP-ROL-017.operation","rolldown","rolldown experimental scan","operation","CAN-ROL-017","E-ROL-SCAN;E-ROL-EXPERIMENTAL;E-ROL-HANDLE","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-rolldown","OP-ROL-018","OP-ROL-018.operation","rolldown","rolldown experimental DevEngine without writes","operation","CAN-ROL-018A;CAN-ROL-018B","E-ROL-DEV;E-ROL-DEV-OPTIONS;E-ROL-EXPERIMENTAL","defer","split because memory/callback and durable-write publication laws differ"
"r2-rolldown","OP-ROL-020","OP-ROL-020.operation","rolldown","rolldown experimental isolated declaration","operation","CAN-ROL-020","E-ROL-EXPERIMENTAL;E-ROL-BINDING-DTS;E-EB-RECON","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-rolldown","OP-ROL-021","OP-ROL-021.operation","rolldown","deprecated Vite module-runner transform","operation","CAN-ROL-021","E-ROL-EXPERIMENTAL;E-ROL-BINDING-DTS","reject","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-rolldown","OP-ROL-022","OP-ROL-022.operation","rolldown","rolldown loadConfig","operation","CAN-ROL-022","E-ROL-CONFIG;E-ROL-CLI-BUNDLE;E-ROL-PKG","defer","normalized to c4 lane/lifecycle/ownership vocabulary"
"r2-rolldown","OP-ROL-004","OP-ROL-004.release","rolldown","RolldownBuild.close","sub-operation","CAN-ROL-001","E-ROL-HANDLE;E-EB-RECEIPT;E-EB-PROBE;E-EB-LIFE","defer","release is the lifecycle boundary of the reusable-build owner"
"r2-rolldown","OP-ROL-009","OP-ROL-009.release","rolldown","RolldownWatcher.close","sub-operation","CAN-ROL-007;CAN-ROL-008","E-ROL-WATCH-IMPL;E-ROL-WATCH-EVENT;E-EB-LIFE","defer","release is the lifecycle boundary of both watcher publication modes"
"r2-rolldown","OP-ROL-019","OP-ROL-019.release","rolldown","DevEngine.close","sub-operation","CAN-ROL-018A;CAN-ROL-018B","E-ROL-DEV;E-ROL-EXPERIMENTAL","defer","release is the lifecycle boundary of both DevEngine publication modes"
