"operation_id","semantic_identity","provider_publication","published_contract","identity_owner","semantic_disposition","product_priority","freeze_recommendation","surface_selection_status","pre_freeze_gate","freeze_gate_status","evidence_gate_basis","gate_failure_action","compatibility_commitment","implementation_status","certification_status","unresolved_evidence","surface_kind","proposed_package","proposed_subpath","proposed_export","proposed_root_export","proposed_root_export_kind","surface_rationale"
"CAN-BUN-011","bun / compile-executable / host-api / one-shot / {caller-owned-value, provider-direct-durable}","provider-direct-durable","provider-direct-durable","provider-native","established","ship","ship","selected-candidate-not-frozen","target matrix; acquisition; interruption remnants","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","source-exact-bun-1.3.14","not-started","receipt-bounded-not-certified","target matrix; acquisition; interruption remnants","public-operation-export","effect-build-bun","./CompileExecutableApi","compileExecutableDirect","CompileExecutableApi","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-BUN-012","bun / compile-executable / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","provider-direct-durable","atomic-published-durable","product-wrapper-over-provider-command","established","ship","ship","selected-candidate-not-frozen","target matrix; acquisition; interruption and publication certification","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","current-package-bun-1.3.9-only","implemented-0.3-predecessor","not-certified","target matrix; acquisition; interruption and publication certification","public-operation-export","effect-build-bun","./CompileExecutable","compileExecutable","CompileExecutable","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-BUN-014","bun / plugin-register-global / host-api / one-shot / {caller-owned-value, none}","none","none","provider-native","established","reject","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected","rejection-supported-by-evidence-or-architecture-law","none-rejected-by-evidence-or-architecture-law","source-exact-bun-1.3.14","not-started","source-only-not-certified","none; rejection is architectural","no-export-rejected","effect-build-bun","none","none","none","none-not-selected","semantic identity retained for negative surface tests; operation is rejected"
"CAN-BUN-015","bun / plugin-clear-global / host-api / one-shot / {none, none}","none","none","provider-native","established","reject","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected","rejection-supported-by-evidence-or-architecture-law","none-rejected-by-evidence-or-architecture-law","source-exact-bun-1.3.14","not-started","source-only-not-certified","none; rejection is architectural","no-export-rejected","effect-build-bun","none","none","none","none-not-selected","semantic identity retained for negative surface tests; operation is rejected"
"CAN-DENO-001","deno / bundle-memory / host-api / one-shot / {caller-owned-value, none}","none","none","provider-native","established","ship-experimental-after-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-identity-unadmitted-pending-execution","not-started","not-certified","permission and interruption execution","no-export-deferred","effect-build-deno","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-DENO-002","deno / bundle-direct-write / host-api / one-shot / {caller-owned-value, provider-direct-durable}","provider-direct-durable","provider-direct-durable","provider-native","established","ship-experimental-after-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-identity-unadmitted-pending-execution","not-started","not-certified","permission matrix; partial writes; remnants","no-export-deferred","effect-build-deno","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-DENO-003","deno / bundle-stdout / selected-command / one-shot / {caller-owned-value, none}","none","none","provider-native","established","ship-experimental-after-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-identity-unadmitted-pending-execution","not-started","not-certified","framing; stderr; bounds; interruption","no-export-deferred","effect-build-deno","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-DENO-004","deno / bundle-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","provider-direct-durable","provider-direct-durable","provider-native","established","ship-experimental-after-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-identity-unadmitted-pending-execution","not-started","not-certified","partial writes and project precedence execution","no-export-deferred","effect-build-deno","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-DENO-005","deno / bundle-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}","provider-direct-durable","provider-direct-durable","provider-native","established","ship-experimental-after-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-identity-unadmitted-pending-execution","not-started","not-certified","rebuild recovery; termination; reaping; remnants","no-export-deferred","effect-build-deno","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-DENO-006","deno / bundle-declarations-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","provider-direct-durable","provider-direct-durable","provider-native","established","ship-experimental-after-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-identity-unadmitted-pending-execution","not-started","not-certified","closure and output topology","no-export-deferred","effect-build-deno","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-DENO-007","deno / transpile-stdout / selected-command / one-shot / {caller-owned-value, none}","none","none","provider-native","established","ship","ship","selected-candidate-not-frozen","collection bounds and diagnostics execution","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","support-cells-pending-execution","not-started","not-certified","collection bounds and diagnostics execution","public-operation-export","effect-build-deno","./TranspileCommand","transpile","TranspileCommand","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-DENO-008","deno / transpile-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","provider-direct-durable","provider-direct-durable","provider-native","established","ship","ship","selected-candidate-not-frozen","interruption and map remnants","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","support-cells-pending-execution","not-started","not-certified","interruption and map remnants","public-operation-export","effect-build-deno","./TranspileCommandToDirectory","transpileToDirectory","TranspileCommandToDirectory","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-DENO-009","deno / transpile-declarations-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","provider-direct-durable","provider-direct-durable","provider-native","established","ship","ship","selected-candidate-not-frozen","declaration failure and topology","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","support-cells-pending-execution","not-started","not-certified","declaration failure and topology","public-operation-export","effect-build-deno","./TranspileDeclarationsCommand","emitDeclarations","TranspileDeclarationsCommand","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-DENO-010","deno / compile-executable / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","provider-direct-durable","atomic-published-durable","product-wrapper-over-provider-command","established","ship","ship","selected-candidate-not-frozen","host-target; cache/offline; denort relation; runtime","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","support-cells-pending-execution","released-predecessor-0.4-not-started","not-certified","host-target; cache/offline; denort relation; runtime","public-operation-export","effect-build-deno","./CompileExecutable","compileExecutable","CompileExecutable","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-DENO-011","deno / compile-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}","provider-direct-durable","provider-direct-durable","provider-native","established","defer","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-identity-unadmitted-pending-execution","not-started","not-certified","coalescing; termination; reaping; remnants","no-export-deferred","effect-build-deno","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-ESB-001","esbuild / build-memory / in-process-api / one-shot / {caller-owned-value, none}","none","none","provider-native","established","ship","ship","selected-candidate-not-frozen","one-shot provider continuation after interruption","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","uncommitted-pending-d9-exact-identity","not-started","not-certified","one-shot provider continuation after interruption","public-operation-export","effect-build-esbuild","./Build","build","Build","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-ESB-002","esbuild / build-direct-write / in-process-api / one-shot / {caller-owned-value, provider-direct-durable}","provider-direct-durable","provider-direct-durable","provider-native","established","ship","ship","selected-candidate-not-frozen","partial writes and interruption remnants","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","uncommitted-pending-d9-exact-identity","not-started","not-certified","partial writes and interruption remnants","public-operation-export","effect-build-esbuild","./BuildToDirectory","buildToDirectory","BuildToDirectory","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-ESB-003","esbuild / transform / in-process-api / one-shot / {caller-owned-value, none}","none","none","provider-native","established","ship","ship","selected-candidate-not-frozen","large-input temporary-file cleanup","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","uncommitted-pending-d9-exact-identity","not-started","not-certified","large-input temporary-file cleanup","public-operation-export","effect-build-esbuild","./Transform","transform","Transform","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-ESB-004","esbuild / analyze-metafile / in-process-api / one-shot / {caller-owned-value, none}","none","none","provider-native","established","ship","ship","selected-candidate-not-frozen","runtime rendering receipt","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","uncommitted-pending-d9-exact-identity","not-started","not-certified","runtime rendering receipt","public-operation-export","effect-build-esbuild","./AnalyzeMetafile","analyzeMetafile","AnalyzeMetafile","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-ESB-005","esbuild / format-messages / in-process-api / one-shot / {caller-owned-value, none}","none","none","provider-native","established","ship","ship","selected-candidate-not-frozen","runtime rendering receipt","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","uncommitted-pending-d9-exact-identity","not-started","not-certified","runtime rendering receipt","public-operation-export","effect-build-esbuild","./FormatMessages","formatMessages","FormatMessages","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-ESB-006","esbuild / build-memory-sync / in-process-api / one-shot / {caller-owned-value, none}","none","none","provider-native","established","reject","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected","rejection-supported-by-evidence-or-architecture-law","none-rejected-by-evidence-or-architecture-law","not-committed","not-started","not-certified","none; rejection is architectural","no-export-rejected","effect-build-esbuild","none","none","none","none-not-selected","semantic identity retained for negative surface tests; operation is rejected"
"CAN-ESB-007","esbuild / build-direct-write-sync / in-process-api / one-shot / {caller-owned-value, provider-direct-durable}","provider-direct-durable","provider-direct-durable","provider-native","established","reject","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected","rejection-supported-by-evidence-or-architecture-law","none-rejected-by-evidence-or-architecture-law","not-committed","not-started","not-certified","none; rejection is architectural","no-export-rejected","effect-build-esbuild","none","none","none","none-not-selected","semantic identity retained for negative surface tests; operation is rejected"
"CAN-ESB-008","esbuild / transform-sync / in-process-api / one-shot / {caller-owned-value, none}","none","none","provider-native","established","reject","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected","rejection-supported-by-evidence-or-architecture-law","none-rejected-by-evidence-or-architecture-law","not-committed","not-started","not-certified","none; rejection is architectural","no-export-rejected","effect-build-esbuild","none","none","none","none-not-selected","semantic identity retained for negative surface tests; operation is rejected"
"CAN-ESB-009","esbuild / analyze-metafile-sync / in-process-api / one-shot / {caller-owned-value, none}","none","none","provider-native","established","reject","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected","rejection-supported-by-evidence-or-architecture-law","none-rejected-by-evidence-or-architecture-law","not-committed","not-started","not-certified","none; rejection is architectural","no-export-rejected","effect-build-esbuild","none","none","none","none-not-selected","semantic identity retained for negative surface tests; operation is rejected"
"CAN-ESB-010","esbuild / format-messages-sync / in-process-api / one-shot / {caller-owned-value, none}","none","none","provider-native","established","reject","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected","rejection-supported-by-evidence-or-architecture-law","none-rejected-by-evidence-or-architecture-law","not-committed","not-started","not-certified","none; rejection is architectural","no-export-rejected","effect-build-esbuild","none","none","none","none-not-selected","semantic identity retained for negative surface tests; operation is rejected"
"CAN-ESB-011","esbuild / context-memory / in-process-api / scoped-context / {long-lived-handle, none}","none","none","provider-native","established","ship","ship","selected-candidate-not-frozen","race matrix; post-dispose; delayed plugin cleanup","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","uncommitted-pending-d9-exact-identity","not-started","not-certified","race matrix; post-dispose; delayed plugin cleanup","public-operation-export","effect-build-esbuild","./Context","make","Context","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-ESB-012","esbuild / context-direct-write / in-process-api / scoped-context / {long-lived-handle, provider-direct-durable}","provider-direct-durable","provider-direct-durable","provider-native","established","ship","ship","selected-candidate-not-frozen","context races and mixed-generation remnants","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","uncommitted-pending-d9-exact-identity","not-started","not-certified","context races and mixed-generation remnants","public-operation-export","effect-build-esbuild","./ContextToDirectory","make","ContextToDirectory","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-ESB-013","esbuild / stop-shared-service / in-process-api / one-shot / {none, none}","none","none","provider-native","established","reject","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected","rejection-supported-by-evidence-or-architecture-law","none-rejected-by-evidence-or-architecture-law","not-committed","not-started","not-certified","none; rejection is ownership law","no-export-rejected","effect-build-esbuild","none","none","none","none-not-selected","semantic identity retained for negative surface tests; operation is rejected"
"CAN-ESB-014","esbuild / initialize-shared-service / in-process-api / one-shot / {none, none}","none","none","provider-native","established","reject","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected","rejection-supported-by-evidence-or-architecture-law","none-rejected-by-evidence-or-architecture-law","not-committed","not-started","not-certified","none; rejection is ownership law","no-export-rejected","effect-build-esbuild","none","none","none","none-not-selected","semantic identity retained for negative surface tests; operation is rejected"
"CAN-ESB-015","esbuild / build-stdout / selected-command / one-shot / {caller-owned-value, none}","none","none","provider-native","established","ship","ship","selected-candidate-not-frozen","bounds; bin form; signal and reaping","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","uncommitted-pending-d9-exact-identity","not-started","not-certified","bounds; bin form; signal and reaping","public-operation-export","effect-build-esbuild","./BuildCommand","build","BuildCommand","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-ESB-016","esbuild / build-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","provider-direct-durable","provider-direct-durable","provider-native","established","ship","ship","selected-candidate-not-frozen","partial writes; bin form; signal and reaping","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","uncommitted-pending-d9-exact-identity","not-started","not-certified","partial writes; bin form; signal and reaping","public-operation-export","effect-build-esbuild","./BuildCommandToDirectory","buildToDirectory","BuildCommandToDirectory","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-ESB-017","esbuild / build-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}","provider-direct-durable","provider-direct-durable","provider-native","established","ship","ship","selected-candidate-not-frozen","termination choice; descendants; remnants","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","uncommitted-pending-d9-exact-identity","not-started","not-certified","termination choice; descendants; remnants","public-operation-export","effect-build-esbuild","./BuildWatchCommand","watch","BuildWatchCommand","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-ESB-018","esbuild / serve / selected-command / scoped-process / {long-lived-handle, none}","none","none","provider-native","established","defer","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","uncommitted-pending-d9-exact-identity","not-started","not-certified","machine-readable address or fixed-port decision; lifecycle","no-export-deferred","effect-build-esbuild","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-ESB-019","esbuild / build-host-stdout / in-process-api / one-shot / {none, none}","none","none","provider-native","established","reject","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected","rejection-supported-by-evidence-or-architecture-law","none-rejected-by-evidence-or-architecture-law","not-committed","not-started","not-certified","exact typed preflight set","no-export-rejected","effect-build-esbuild","none","none","none","none-not-selected","semantic identity retained for negative surface tests; operation is rejected"
"CAN-NODE-001","node-sea / assemble-direct / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","provider-direct-durable","atomic-published-durable","product-wrapper-over-provider-command","advertised-shape-established","required","ship","selected-candidate-not-frozen","exact binary capability; host-target and runtime matrix","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","operation-identity-ships-support-cells-unadmitted","not-implemented","runtime-proof-pending","exact binary capability; host-target and runtime matrix","public-operation-export","effect-build-node-sea","./AssembleDirect","assembleDirect","AssembleDirect","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-NODE-002","node-sea / generate-preparation-blob / selected-command / one-shot / {scope-borrowed-value, none}","none","none","product-wrapper-over-provider-command","advertised-shape-established","required","ship","selected-candidate-not-frozen","generator/base relations; cleanup and interruption","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","operation-identity-ships-support-cells-unadmitted","not-implemented","runtime-proof-pending","generator/base relations; cleanup and interruption","internal-stage-no-public-export","effect-build-node-sea","none","none","none","none-internal-stage","preparation blob is a scope-borrowed intermediate of AssembleLegacy; independent public export would permit invalid lifetime and relation states"
"CAN-NODE-003","node-sea / inject-preparation-blob / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","provider-direct-durable","atomic-published-durable","product-wrapper-over-provider-command","advertised-shape-established","required","ship","selected-candidate-not-frozen","injector candidate; target matrix; lifecycle","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","operation-identity-ships-support-cells-unadmitted","not-implemented","runtime-proof-pending","injector candidate; target matrix; lifecycle","public-operation-export","effect-build-node-sea","./AssembleLegacy","assembleLegacy","AssembleLegacy","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-ROL-001","rolldown / acquire-reusable-build / in-process-api / scoped-context / {long-lived-handle, none}","none","none","provider-native","established","provider-package-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-v1.2.4-unadmitted","not-started","source-only-not-certified","concurrency and release law","no-export-deferred","effect-build-rolldown","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-ROL-002","rolldown / generate / in-process-api / scoped-context / {caller-owned-value, none}","none","none","provider-native","established","provider-package-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-v1.2.4-unadmitted","not-started","narrow-receipt-not-certified","repeatability; concurrent use; external memory","no-export-deferred","effect-build-rolldown","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-ROL-003","rolldown / write / in-process-api / scoped-context / {caller-owned-value, provider-direct-durable}","provider-direct-durable","provider-direct-durable","provider-native","established","provider-package-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-v1.2.4-unadmitted","not-started","source-only-not-certified","collisions; interruption; remnants","no-export-deferred","effect-build-rolldown","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
