"package","root_surface_status","root_namespace_key","operation_subpath","root_export_form","member_exports","canonical_operation_ids","surface_selection_status","freeze_gate_status","empty_root_reason"
"effect-build-esbuild","selected-candidate-namespaces-not-frozen","AnalyzeMetafile","./AnalyzeMetafile","export * as AnalyzeMetafile from ""./AnalyzeMetafile""","analyzeMetafile","CAN-ESB-004","selected-candidate-not-frozen","blocked-pending-member-executable-proof","none"
"effect-build-esbuild","selected-candidate-namespaces-not-frozen","Build","./Build","export * as Build from ""./Build""","build","CAN-ESB-001","selected-candidate-not-frozen","blocked-pending-member-executable-proof","none"
"effect-build-esbuild","selected-candidate-namespaces-not-frozen","BuildCommand","./BuildCommand","export * as BuildCommand from ""./BuildCommand""","build","CAN-ESB-015","selected-candidate-not-frozen","blocked-pending-member-executable-proof","none"
"effect-build-esbuild","selected-candidate-namespaces-not-frozen","BuildCommandToDirectory","./BuildCommandToDirectory","export * as BuildCommandToDirectory from ""./BuildCommandToDirectory""","buildToDirectory","CAN-ESB-016","selected-candidate-not-frozen","blocked-pending-member-executable-proof","none"
"effect-build-esbuild","selected-candidate-namespaces-not-frozen","BuildToDirectory","./BuildToDirectory","export * as BuildToDirectory from ""./BuildToDirectory""","buildToDirectory","CAN-ESB-002","selected-candidate-not-frozen","blocked-pending-member-executable-proof","none"
"effect-build-esbuild","selected-candidate-namespaces-not-frozen","BuildWatchCommand","./BuildWatchCommand","export * as BuildWatchCommand from ""./BuildWatchCommand""","watch","CAN-ESB-017","selected-candidate-not-frozen","blocked-pending-member-executable-proof","none"
"effect-build-esbuild","selected-candidate-namespaces-not-frozen","Context","./Context","export * as Context from ""./Context""","make","CAN-ESB-011","selected-candidate-not-frozen","blocked-pending-member-executable-proof","none"
"effect-build-esbuild","selected-candidate-namespaces-not-frozen","ContextToDirectory","./ContextToDirectory","export * as ContextToDirectory from ""./ContextToDirectory""","make","CAN-ESB-012","selected-candidate-not-frozen","blocked-pending-member-executable-proof","none"
"effect-build-esbuild","selected-candidate-namespaces-not-frozen","FormatMessages","./FormatMessages","export * as FormatMessages from ""./FormatMessages""","formatMessages","CAN-ESB-005","selected-candidate-not-frozen","blocked-pending-member-executable-proof","none"
"effect-build-esbuild","selected-candidate-namespaces-not-frozen","Transform","./Transform","export * as Transform from ""./Transform""","transform","CAN-ESB-003","selected-candidate-not-frozen","blocked-pending-member-executable-proof","none"
"effect-build-node-sea","selected-candidate-namespaces-not-frozen","AssembleDirect","./AssembleDirect","export * as AssembleDirect from ""./AssembleDirect""","assembleDirect","CAN-NODE-001","selected-candidate-not-frozen","blocked-pending-member-executable-proof","none"
"effect-build-node-sea","selected-candidate-namespaces-not-frozen","AssembleLegacy","./AssembleLegacy","export * as AssembleLegacy from ""./AssembleLegacy""","assembleLegacy","CAN-NODE-003","selected-candidate-not-frozen","blocked-pending-member-executable-proof","none"
"effect-build-rolldown","explicitly-empty-no-selected-package-surface","none","none","none","none","none","not-selected","not-applicable-no-ship-operations","all Rolldown operations are defer or reject under the unresolved R2 package gate"
