"operation_id","provider","operation","lane","lifecycle","resource_result","provider_publication","output_publication","published_contract","identity_owner","semantic_identity","candidate_public_surface","supplemental_source_rows","provenance","semantic_disposition","product_priority","freeze_recommendation","surface_selection_status","pre_freeze_gate","freeze_gate_status","evidence_gate_basis","gate_failure_action","compatibility_commitment","implementation_status","certification_status","evidence_coordinate_refs","contract_summary","unresolved_evidence","surface_kind","proposed_package","proposed_subpath","proposed_export","proposed_root_export","proposed_root_export_kind","surface_rationale"
"CAN-BUN-011","bun","compile-executable","host-api","one-shot","caller-owned-value","provider-direct-durable","provider-direct-durable","provider-direct-durable","provider-native","bun / compile-executable / host-api / one-shot / {caller-owned-value, provider-direct-durable}","Bun.build({compile})","OP-BUN-011","official-upstream","established","ship","ship","selected-candidate-not-frozen","target matrix; acquisition; interruption remnants","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","source-exact-bun-1.3.14","not-started","receipt-bounded-not-certified","E-BUN-015;E-BUN-016;E-BUN-021","Bun-runtime executable with native target and acquisition identity.","target matrix; acquisition; interruption remnants","public-operation-export","effect-build-bun","./CompileExecutableApi","compileExecutableDirect","CompileExecutableApi","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-BUN-012","bun","compile-executable","selected-command","one-shot","caller-owned-value","provider-direct-durable","atomic-published-durable","atomic-published-durable","product-wrapper-over-provider-command","bun / compile-executable / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","effect-build compileExecutable over selected bun build --compile","OP-BUN-012;OP-BUN-013","official-upstream","established","ship","ship","selected-candidate-not-frozen","target matrix; acquisition; interruption and publication certification","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","current-package-bun-1.3.9-only","implemented-0.3-predecessor","not-certified","E-BUN-017;E-BUN-027;E-EB-001","Selected Bun writes the private candidate directly; the public operation validates and atomically replaces.","target matrix; acquisition; interruption and publication certification","public-operation-export","effect-build-bun","./CompileExecutable","compileExecutable","CompileExecutable","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-BUN-014","bun","plugin-register-global","host-api","one-shot","caller-owned-value","none","none","none","provider-native","bun / plugin-register-global / host-api / one-shot / {caller-owned-value, none}","Bun.plugin","OP-BUN-014","official-upstream","established","reject","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected","rejection-supported-by-evidence-or-architecture-law","none-rejected-by-evidence-or-architecture-law","source-exact-bun-1.3.14","not-started","source-only-not-certified","E-BUN-018","Ambient runtime-global registration has no lexical owner.","none; rejection is architectural","no-export-rejected","effect-build-bun","none","none","none","none-not-selected","semantic identity retained for negative surface tests; operation is rejected"
"CAN-BUN-015","bun","plugin-clear-global","host-api","one-shot","none","none","none","none","provider-native","bun / plugin-clear-global / host-api / one-shot / {none, none}","Bun.plugin.clearAll","OP-BUN-015","official-upstream","established","reject","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected","rejection-supported-by-evidence-or-architecture-law","none-rejected-by-evidence-or-architecture-law","source-exact-bun-1.3.14","not-started","source-only-not-certified","E-BUN-019","Ambient clear has no scoped ownership or concurrency law.","none; rejection is architectural","no-export-rejected","effect-build-bun","none","none","none","none-not-selected","semantic identity retained for negative surface tests; operation is rejected"
"CAN-DENO-001","deno","bundle-memory","host-api","one-shot","caller-owned-value","none","none","none","provider-native","deno / bundle-memory / host-api / one-shot / {caller-owned-value, none}","Deno.bundle write:false","DENO-OP-001","official-upstream","established","ship-experimental-after-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-identity-unadmitted-pending-execution","not-started","not-certified","DENO-EV-001;DENO-EV-012","Experimental structured in-memory bundle output.","permission and interruption execution","no-export-deferred","effect-build-deno","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-DENO-002","deno","bundle-direct-write","host-api","one-shot","caller-owned-value","provider-direct-durable","provider-direct-durable","provider-direct-durable","provider-native","deno / bundle-direct-write / host-api / one-shot / {caller-owned-value, provider-direct-durable}","Deno.bundle direct write","DENO-OP-002","official-upstream","established","ship-experimental-after-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-identity-unadmitted-pending-execution","not-started","not-certified","DENO-EV-001;DENO-EV-012","Experimental host API with caller permissions and direct writes.","permission matrix; partial writes; remnants","no-export-deferred","effect-build-deno","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-DENO-003","deno","bundle-stdout","selected-command","one-shot","caller-owned-value","none","none","none","provider-native","deno / bundle-stdout / selected-command / one-shot / {caller-owned-value, none}","selected deno bundle stdout","DENO-OP-003","official-upstream","established","ship-experimental-after-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-identity-unadmitted-pending-execution","not-started","not-certified","DENO-EV-002","Experimental command lane with finite stdout collection.","framing; stderr; bounds; interruption","no-export-deferred","effect-build-deno","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-DENO-004","deno","bundle-direct-write","selected-command","one-shot","caller-owned-value","provider-direct-durable","provider-direct-durable","provider-direct-durable","provider-native","deno / bundle-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","selected deno bundle output","DENO-OP-004","official-upstream","established","ship-experimental-after-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-identity-unadmitted-pending-execution","not-started","not-certified","DENO-EV-002","Experimental selected command preserving project/config authority.","partial writes and project precedence execution","no-export-deferred","effect-build-deno","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-DENO-005","deno","bundle-watch","selected-command","scoped-process","long-lived-handle","provider-direct-durable","provider-direct-durable","provider-direct-durable","provider-native","deno / bundle-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}","selected deno bundle --watch","DENO-OP-005","official-upstream","established","ship-experimental-after-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-identity-unadmitted-pending-execution","not-started","not-certified","DENO-EV-002","Opaque scoped process with raw streams and repeated writes.","rebuild recovery; termination; reaping; remnants","no-export-deferred","effect-build-deno","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-DENO-006","deno","bundle-declarations-direct-write","selected-command","one-shot","caller-owned-value","provider-direct-durable","provider-direct-durable","provider-direct-durable","provider-native","deno / bundle-declarations-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","selected deno bundle --declaration","DENO-OP-006","official-upstream","established","ship-experimental-after-gate","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-identity-unadmitted-pending-execution","not-started","not-certified","DENO-EV-002","Declaration roll-up performs graph and type-check work.","closure and output topology","no-export-deferred","effect-build-deno","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-DENO-007","deno","transpile-stdout","selected-command","one-shot","caller-owned-value","none","none","none","provider-native","deno / transpile-stdout / selected-command / one-shot / {caller-owned-value, none}","selected deno transpile stdout","DENO-OP-007","official-upstream","established","ship","ship","selected-candidate-not-frozen","collection bounds and diagnostics execution","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","support-cells-pending-execution","not-started","not-certified","DENO-EV-003","Stable one-input transpile stdout operation.","collection bounds and diagnostics execution","public-operation-export","effect-build-deno","./TranspileCommand","transpile","TranspileCommand","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-DENO-008","deno","transpile-direct-write","selected-command","one-shot","caller-owned-value","provider-direct-durable","provider-direct-durable","provider-direct-durable","provider-native","deno / transpile-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","selected deno transpile output","DENO-OP-008","official-upstream","established","ship","ship","selected-candidate-not-frozen","interruption and map remnants","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","support-cells-pending-execution","not-started","not-certified","DENO-EV-003","Stable direct-write transpile topology; no atomic tree claim.","interruption and map remnants","public-operation-export","effect-build-deno","./TranspileCommandToDirectory","transpileToDirectory","TranspileCommandToDirectory","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-DENO-009","deno","transpile-declarations-direct-write","selected-command","one-shot","caller-owned-value","provider-direct-durable","provider-direct-durable","provider-direct-durable","provider-native","deno / transpile-declarations-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","selected deno transpile --declaration","DENO-OP-009","official-upstream","established","ship","ship","selected-candidate-not-frozen","declaration failure and topology","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","support-cells-pending-execution","not-started","not-certified","DENO-EV-003","Stable declaration mode adds graph/type-check and durable declaration output.","declaration failure and topology","public-operation-export","effect-build-deno","./TranspileDeclarationsCommand","emitDeclarations","TranspileDeclarationsCommand","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-DENO-010","deno","compile-executable","selected-command","one-shot","caller-owned-value","provider-direct-durable","atomic-published-durable","atomic-published-durable","product-wrapper-over-provider-command","deno / compile-executable / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","effect-build deno compile executable operation","DENO-OP-010","official-upstream","established","ship","ship","selected-candidate-not-frozen","host-target; cache/offline; denort relation; runtime","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","support-cells-pending-execution","released-predecessor-0.4-not-started","not-certified","DENO-EV-004;DENO-EV-005;DENO-EV-006;DENO-EV-007;DENO-EV-008;DENO-EV-009;DENO-EV-010;DENO-EV-013","Stable compile with explicit denort acquisition and atomic wrapper publication.","host-target; cache/offline; denort relation; runtime","public-operation-export","effect-build-deno","./CompileExecutable","compileExecutable","CompileExecutable","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-DENO-011","deno","compile-watch","selected-command","scoped-process","long-lived-handle","provider-direct-durable","provider-direct-durable","provider-direct-durable","provider-native","deno / compile-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}","selected deno compile --watch","DENO-OP-011","official-upstream","established","defer","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred","reopen-only-after-named-evidence-gate","none-until-explicit-research-reopens-candidate","exact-identity-unadmitted-pending-execution","not-started","not-certified","DENO-EV-004","Long-lived compiler process with repeated provider-direct publication.","coalescing; termination; reaping; remnants","no-export-deferred","effect-build-deno","none","none","none","none-not-selected","no export until the named evidence gate changes the exact defer disposition"
"CAN-ESB-001","esbuild","build-memory","in-process-api","one-shot","caller-owned-value","none","none","none","provider-native","esbuild / build-memory / in-process-api / one-shot / {caller-owned-value, none}","esbuild.build write:false","ESB-OP-01","official-upstream","established","ship","ship","selected-candidate-not-frozen","one-shot provider continuation after interruption","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","uncommitted-pending-d9-exact-identity","not-started","not-certified","EV-ESB-002;EV-ESB-003;EV-ESB-009;EV-ESB-021;EV-ESB-023","Native BuildResult/OutputFile values; no publication.","one-shot provider continuation after interruption","public-operation-export","effect-build-esbuild","./Build","build","Build","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-ESB-002","esbuild","build-direct-write","in-process-api","one-shot","caller-owned-value","provider-direct-durable","provider-direct-durable","provider-direct-durable","provider-native","esbuild / build-direct-write / in-process-api / one-shot / {caller-owned-value, provider-direct-durable}","esbuild.build write:true with destination","ESB-OP-02","official-upstream","established","ship","ship","selected-candidate-not-frozen","partial writes and interruption remnants","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","uncommitted-pending-d9-exact-identity","not-started","not-certified","EV-ESB-002;EV-ESB-003;EV-ESB-014;EV-ESB-023","Provider writes output directly; no rollback.","partial writes and interruption remnants","public-operation-export","effect-build-esbuild","./BuildToDirectory","buildToDirectory","BuildToDirectory","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-ESB-003","esbuild","transform","in-process-api","one-shot","caller-owned-value","none","none","none","provider-native","esbuild / transform / in-process-api / one-shot / {caller-owned-value, none}","esbuild.transform","ESB-OP-03","official-upstream","established","ship","ship","selected-candidate-not-frozen","large-input temporary-file cleanup","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","uncommitted-pending-d9-exact-identity","not-started","not-certified","EV-ESB-002;EV-ESB-003;EV-ESB-009;EV-ESB-023","One-source text transform; not a graph build.","large-input temporary-file cleanup","public-operation-export","effect-build-esbuild","./Transform","transform","Transform","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-ESB-004","esbuild","analyze-metafile","in-process-api","one-shot","caller-owned-value","none","none","none","provider-native","esbuild / analyze-metafile / in-process-api / one-shot / {caller-owned-value, none}","esbuild.analyzeMetafile","ESB-OP-04","official-upstream","established","ship","ship","selected-candidate-not-frozen","runtime rendering receipt","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","uncommitted-pending-d9-exact-identity","not-started","not-certified","EV-ESB-002;EV-ESB-003;EV-ESB-016;EV-ESB-023","Native human report rendering; never parsed as structure.","runtime rendering receipt","public-operation-export","effect-build-esbuild","./AnalyzeMetafile","analyzeMetafile","AnalyzeMetafile","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-ESB-005","esbuild","format-messages","in-process-api","one-shot","caller-owned-value","none","none","none","provider-native","esbuild / format-messages / in-process-api / one-shot / {caller-owned-value, none}","esbuild.formatMessages","ESB-OP-05","official-upstream","established","ship","ship","selected-candidate-not-frozen","runtime rendering receipt","blocked-pending-executable-proof","R2-execution-required-docs-do-not-establish-lifecycle-or-remnants","block-freeze-or-record-explicit-pre-freeze-disposition-revision","uncommitted-pending-d9-exact-identity","not-started","not-certified","EV-ESB-002;EV-ESB-003;EV-ESB-014","Upstream diagnostic renderer preserves native formatting.","runtime rendering receipt","public-operation-export","effect-build-esbuild","./FormatMessages","formatMessages","FormatMessages","namespace-reexport","operation-specific module re-exported from the package root under the exact namespace key; candidate only until M3/M8 and surface-freeze approval"
"CAN-ESB-006","esbuild","build-memory-sync","in-process-api","one-shot","caller-owned-value","none","none","none","provider-native","esbuild / build-memory-sync / in-process-api / one-shot / {caller-owned-value, none}","esbuild.buildSync write:false","ESB-OP-06","official-upstream","established","reject","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected","rejection-supported-by-evidence-or-architecture-law","none-rejected-by-evidence-or-architecture-law","not-committed","not-started","not-certified","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","Blocking non-interruptible operation with reduced host/plugin contract.","none; rejection is architectural","no-export-rejected","effect-build-esbuild","none","none","none","none-not-selected","semantic identity retained for negative surface tests; operation is rejected"
"CAN-ESB-007","esbuild","build-direct-write-sync","in-process-api","one-shot","caller-owned-value","provider-direct-durable","provider-direct-durable","provider-direct-durable","provider-native","esbuild / build-direct-write-sync / in-process-api / one-shot / {caller-owned-value, provider-direct-durable}","esbuild.buildSync write:true","ESB-OP-07","official-upstream","established","reject","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected","rejection-supported-by-evidence-or-architecture-law","none-rejected-by-evidence-or-architecture-law","not-committed","not-started","not-certified","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","Blocking non-interruptible direct writer.","none; rejection is architectural","no-export-rejected","effect-build-esbuild","none","none","none","none-not-selected","semantic identity retained for negative surface tests; operation is rejected"
"CAN-ESB-008","esbuild","transform-sync","in-process-api","one-shot","caller-owned-value","none","none","none","provider-native","esbuild / transform-sync / in-process-api / one-shot / {caller-owned-value, none}","esbuild.transformSync","ESB-OP-08","official-upstream","established","reject","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected","rejection-supported-by-evidence-or-architecture-law","none-rejected-by-evidence-or-architecture-law","not-committed","not-started","not-certified","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","Blocking non-interruptible transform with host limits.","none; rejection is architectural","no-export-rejected","effect-build-esbuild","none","none","none","none-not-selected","semantic identity retained for negative surface tests; operation is rejected"
"CAN-ESB-009","esbuild","analyze-metafile-sync","in-process-api","one-shot","caller-owned-value","none","none","none","provider-native","esbuild / analyze-metafile-sync / in-process-api / one-shot / {caller-owned-value, none}","esbuild.analyzeMetafileSync","ESB-OP-09","official-upstream","established","reject","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected","rejection-supported-by-evidence-or-architecture-law","none-rejected-by-evidence-or-architecture-law","not-committed","not-started","not-certified","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","Blocking non-interruptible renderer.","none; rejection is architectural","no-export-rejected","effect-build-esbuild","none","none","none","none-not-selected","semantic identity retained for negative surface tests; operation is rejected"
"CAN-ESB-010","esbuild","format-messages-sync","in-process-api","one-shot","caller-owned-value","none","none","none","provider-native","esbuild / format-messages-sync / in-process-api / one-shot / {caller-owned-value, none}","esbuild.formatMessagesSync","ESB-OP-10","official-upstream","established","reject","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected","rejection-supported-by-evidence-or-architecture-law","none-rejected-by-evidence-or-architecture-law","not-committed","not-started","not-certified","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","Blocking non-interruptible renderer.","none; rejection is architectural","no-export-rejected","effect-build-esbuild","none","none","none","none-not-selected","semantic identity retained for negative surface tests; operation is rejected"
