"comparison_id","primary_operation_id","shadow_operation_id","provider","primary_operation","shadow_operation","lane_primary","lane_shadow","lane_resolution","lifecycle_primary","lifecycle_shadow","lifecycle_resolution","resource_primary","resource_shadow","resource_resolution","provider_publication_primary","provider_publication_shadow","provider_publication_resolution","published_contract_primary","published_contract_shadow","published_contract_resolution","identity_owner_primary","identity_owner_shadow","identity_owner_resolution","provenance_primary","provenance_shadow","semantic_disposition_primary","semantic_disposition_shadow","recommendation_primary","recommendation_shadow","recommendation_resolution","compatibility_primary","compatibility_shadow","implementation_primary","implementation_shadow","certification_primary","certification_shadow","evidence_primary","evidence_shadow","source_primary","source_shadow","proposed_surface","resolution","unresolved_fact"
"CMP-CAN-BUN-011","CAN-BUN-011","CO-BUN-11","bun","compile-executable","compile-executable","host-api","host-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","provider-direct-durable","provider-direct-durable","agree","provider-direct-durable","provider-direct-durable","agree","provider-native","provider-native","agree","official-upstream","upstream-declaration+documentation+recorded-execution","established","established","ship","ship","agree","source-exact-bun-1.3.14","uncommitted","not-started","not-implemented","receipt-bounded-not-certified","not-certified","E-BUN-015;E-BUN-016;E-BUN-021","EC-BUN-SRC;EC-BUN-DOC;EC-BUN-RECEIPT-HOSTAPI","OP-BUN-011","OP-BUN-011;B09;B10","effect-build-bun./CompileExecutableApi#compileExecutableDirect","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","target matrix; acquisition; interruption remnants"
"CMP-CAN-BUN-012","CAN-BUN-012","CO-BUN-12","bun","compile-executable","compile-executable","selected-command","selected-command","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","provider-direct-durable","provider-direct-durable","agree","atomic-published-durable","atomic-published-durable","agree","product-wrapper-over-provider-command","product-wrapper-over-provider-command","agree","official-upstream","upstream-documentation+recorded-execution+effect-build-implementation","established","established","ship","ship","agree","current-package-bun-1.3.9-only","current package supports exact Bun 1.3.9 pin only","implemented-0.3-predecessor","implemented","not-certified","not-certified","E-BUN-017;E-BUN-027;E-EB-001","EC-BUN-DOC;EC-BUN-RECEIPT-PROVIDER;EC-EB-IMPL","OP-BUN-012;OP-BUN-013","OP-BUN-012;OP-BUN-013;B09","effect-build-bun./CompileExecutable#compileExecutable","adopt-shadow: merge raw selected invocation and staged wrapper; record provider-direct publication separately from atomic public contract","target matrix; acquisition; interruption and publication certification"
"CMP-CAN-BUN-014","CAN-BUN-014","CO-BUN-13","bun","plugin-register-global","plugin-register-global","host-api","host-api","agree","one-shot","one-shot","agree","caller-owned-value","none","different-resolved","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","upstream-declaration+documentation","established","established","reject","reject","agree","source-exact-bun-1.3.14","none","not-started","not-implemented","source-only-not-certified","not-certified","E-BUN-018","EC-BUN-SRC;EC-BUN-DOC","OP-BUN-014","OP-BUN-014;B06","no-export-rejected","retain-primary-resource: R2 records the caller-owned setup return; both syntheses reject the ambient mutation","none; rejection is architectural"
"CMP-CAN-BUN-015","CAN-BUN-015","CO-BUN-14","bun","plugin-clear-global","plugin-clear-global","host-api","host-api","agree","one-shot","one-shot","agree","none","none","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","upstream-declaration","established","established","reject","reject","agree","source-exact-bun-1.3.14","none","not-started","not-implemented","source-only-not-certified","not-certified","E-BUN-019","EC-BUN-SRC","OP-BUN-015","OP-BUN-015","no-export-rejected","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","none; rejection is architectural"
"CMP-CAN-DENO-001","CAN-DENO-001","CO-DEN-01","deno","bundle-memory","bundle-memory","host-api","host-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","official-upstream tagged source v2.9.5","established","established","defer","defer","agree","exact-identity-unadmitted-pending-execution","exact identities only; unadmitted until execution","not-started","not-implemented","not-certified","not-certified","DENO-EV-001;DENO-EV-012","EC-DEN-SRC;EC-DEN-RECEIPT","DENO-OP-001","DENO-OP-001;D01;D10","no-export-deferred","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","permission and interruption execution"
"CMP-CAN-DENO-002","CAN-DENO-002","CO-DEN-02","deno","bundle-direct-write","bundle-direct-write","host-api","host-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","provider-direct-durable","provider-direct-durable","agree","provider-direct-durable","provider-direct-durable","agree","provider-native","provider-native","agree","official-upstream","official-upstream tagged source v2.9.5","established","established","defer","defer","agree","exact-identity-unadmitted-pending-execution","exact identities only","not-started","not-implemented","not-certified","not-certified","DENO-EV-001;DENO-EV-012","EC-DEN-SRC","DENO-OP-002","DENO-OP-002;D02","no-export-deferred","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","permission matrix; partial writes; remnants"
"CMP-CAN-DENO-003","CAN-DENO-003","CO-DEN-03","deno","bundle-stdout","bundle-stdout","selected-command","selected-command","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","official-upstream tagged source v2.9.5","established","established","defer","defer","agree","exact-identity-unadmitted-pending-execution","exact identities only","not-started","not-implemented","not-certified","not-certified","DENO-EV-002","EC-DEN-SRC","DENO-OP-003","DENO-OP-003;D03","no-export-deferred","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","framing; stderr; bounds; interruption"
"CMP-CAN-DENO-004","CAN-DENO-004","CO-DEN-04","deno","bundle-direct-write","bundle-direct-write","selected-command","selected-command","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","provider-direct-durable","provider-direct-durable","agree","provider-direct-durable","provider-direct-durable","agree","provider-native","provider-native","agree","official-upstream","official-upstream tagged source v2.9.5","established","established","defer","defer","agree","exact-identity-unadmitted-pending-execution","exact identities only","not-started","not-implemented","not-certified","not-certified","DENO-EV-002","EC-DEN-SRC;EC-DEN-RECEIPT","DENO-OP-004","DENO-OP-004;D04","no-export-deferred","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","partial writes and project precedence execution"
"CMP-CAN-DENO-005","CAN-DENO-005","CO-DEN-05","deno","bundle-watch","bundle-watch","selected-command","selected-command","agree","scoped-process","scoped-process","agree","long-lived-handle","long-lived-handle","agree","provider-direct-durable","provider-direct-durable","agree","provider-direct-durable","provider-direct-durable","agree","provider-native","provider-native","agree","official-upstream","official-upstream tagged source v2.9.5","established","established","defer","defer","agree","exact-identity-unadmitted-pending-execution","exact identities only","not-started","not-implemented","not-certified","not-certified","DENO-EV-002","EC-DEN-SRC","DENO-OP-005","DENO-OP-005;D05","no-export-deferred","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","rebuild recovery; termination; reaping; remnants"
"CMP-CAN-DENO-006","CAN-DENO-006","CO-DEN-06","deno","bundle-declarations-direct-write","bundle-declarations","selected-command","selected-command","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","provider-direct-durable","provider-direct-durable","agree","provider-direct-durable","provider-direct-durable","agree","provider-native","provider-native","agree","official-upstream","official-upstream tagged source v2.9.5","established","established","defer","defer","agree","exact-identity-unadmitted-pending-execution","exact identities only","not-started","not-implemented","not-certified","not-certified","DENO-EV-002","EC-DEN-SRC","DENO-OP-006","DENO-OP-006;D06","no-export-deferred","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","closure and output topology"
"CMP-CAN-DENO-007","CAN-DENO-007","CO-DEN-07","deno","transpile-stdout","transpile-stdout","selected-command","selected-command","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","official-upstream tagged source v2.9.5","established","established","ship","ship","agree","support-cells-pending-execution","support cells pending execution","not-started","not-implemented","not-certified","not-certified","DENO-EV-003","EC-DEN-SRC","DENO-OP-007","DENO-OP-007","effect-build-deno./TranspileCommand#transpile","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","collection bounds and diagnostics execution"
"CMP-CAN-DENO-008","CAN-DENO-008","CO-DEN-08","deno","transpile-direct-write","transpile-direct-write","selected-command","selected-command","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","provider-direct-durable","provider-direct-durable","agree","provider-direct-durable","provider-direct-durable","agree","provider-native","provider-native","agree","official-upstream","official-upstream tagged source v2.9.5","established","established","ship","ship","agree","support-cells-pending-execution","support cells pending execution","not-started","not-implemented","not-certified","not-certified","DENO-EV-003","EC-DEN-SRC","DENO-OP-008","DENO-OP-008","effect-build-deno./TranspileCommandToDirectory#transpileToDirectory","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","interruption and map remnants"
"CMP-CAN-DENO-009","CAN-DENO-009","CO-DEN-09","deno","transpile-declarations-direct-write","transpile-declarations","selected-command","selected-command","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","provider-direct-durable","provider-direct-durable","agree","provider-direct-durable","provider-direct-durable","agree","provider-native","provider-native","agree","official-upstream","official-upstream tagged source v2.9.5","established","established","ship","ship","agree","support-cells-pending-execution","support cells pending execution","not-started","not-implemented","not-certified","not-certified","DENO-EV-003","EC-DEN-SRC","DENO-OP-009","DENO-OP-009","effect-build-deno./TranspileDeclarationsCommand#emitDeclarations","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","declaration failure and topology"
"CMP-CAN-DENO-010","CAN-DENO-010","CO-DEN-10","deno","compile-executable","compile-executable","selected-command","selected-command","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","provider-direct-durable","provider-direct-durable","agree","atomic-published-durable","atomic-published-durable","agree","product-wrapper-over-provider-command","product-wrapper-over-provider-command","agree","official-upstream","official-upstream tagged source v2.9.5 + released wrapper","established","established","ship","ship","agree","support-cells-pending-execution","support cells pending target/acquisition execution","released-predecessor-0.4-not-started","released predecessor; 0.4 not-started","not-certified","not-certified","DENO-EV-004;DENO-EV-005;DENO-EV-006;DENO-EV-007;DENO-EV-008;DENO-EV-009;DENO-EV-010;DENO-EV-013","EC-DEN-SRC;EC-DEN-TARGETS;EC-CM-COMPILE","DENO-OP-010","DENO-OP-010;D07;D08","effect-build-deno./CompileExecutable#compileExecutable","adopt-shadow: native output is provider-direct until proved; the product wrapper alone promises atomic replacement","host-target; cache/offline; denort relation; runtime"
"CMP-CAN-DENO-011","CAN-DENO-011","CO-DEN-11","deno","compile-watch","compile-watch","selected-command","selected-command","agree","scoped-process","scoped-process","agree","long-lived-handle","long-lived-handle","agree","provider-direct-durable","provider-direct-durable","agree","provider-direct-durable","provider-direct-durable","agree","provider-native","provider-native","agree","official-upstream","official-upstream tagged source v2.9.5","established","established","defer","defer","agree","exact-identity-unadmitted-pending-execution","uncommitted","not-started","not-implemented","not-certified","not-certified","DENO-EV-004","EC-DEN-SRC","DENO-OP-011","DENO-OP-011","no-export-deferred","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","coalescing; termination; reaping; remnants"
"CMP-CAN-ESB-001","CAN-ESB-001","CO-ESB-01","esbuild","build-memory","build-memory","in-process-api","in-process-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","package+tagged-source 0.28.2","established","established","ship","ship","agree","uncommitted-pending-d9-exact-identity","uncommitted","not-started","not-implemented","not-certified","not-certified","EV-ESB-002;EV-ESB-003;EV-ESB-009;EV-ESB-021;EV-ESB-023","EC-ESB-PKG;EC-ESB-SRC;EC-ESB-RECEIPT","ESB-OP-01","ESB-OP-01;E01","effect-build-esbuild./Build#build","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","one-shot provider continuation after interruption"
"CMP-CAN-ESB-002","CAN-ESB-002","CO-ESB-02","esbuild","build-direct-write","build-direct-write","in-process-api","in-process-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","provider-direct-durable","provider-direct-durable","agree","provider-direct-durable","provider-direct-durable","agree","provider-native","provider-native","agree","official-upstream","package+tagged-source 0.28.2","established","established","ship","ship","agree","uncommitted-pending-d9-exact-identity","uncommitted","not-started","not-implemented","not-certified","not-certified","EV-ESB-002;EV-ESB-003;EV-ESB-014;EV-ESB-023","EC-ESB-PKG;EC-ESB-SRC;EC-ESB-CHANGELOG","ESB-OP-02","ESB-OP-02;E01","effect-build-esbuild./BuildToDirectory#buildToDirectory","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","partial writes and interruption remnants"
"CMP-CAN-ESB-003","CAN-ESB-003","CO-ESB-03","esbuild","transform","transform","in-process-api","in-process-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","package+tagged-source 0.28.2","established","established","ship","ship","agree","uncommitted-pending-d9-exact-identity","uncommitted","not-started","not-implemented","not-certified","not-certified","EV-ESB-002;EV-ESB-003;EV-ESB-009;EV-ESB-023","EC-ESB-PKG;EC-ESB-SRC","ESB-OP-03","ESB-OP-03;E02","effect-build-esbuild./Transform#transform","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","large-input temporary-file cleanup"
"CMP-CAN-ESB-004","CAN-ESB-004","CO-ESB-04","esbuild","analyze-metafile","analyze-metafile","in-process-api","in-process-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","package+tagged-source 0.28.2","established","established","ship","ship","agree","uncommitted-pending-d9-exact-identity","uncommitted","not-started","not-implemented","not-certified","not-certified","EV-ESB-002;EV-ESB-003;EV-ESB-016;EV-ESB-023","EC-ESB-PKG;EC-ESB-SRC","ESB-OP-04","ESB-OP-04;E10","effect-build-esbuild./AnalyzeMetafile#analyzeMetafile","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","runtime rendering receipt"
"CMP-CAN-ESB-005","CAN-ESB-005","CO-ESB-05","esbuild","format-messages","format-messages","in-process-api","in-process-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","package+tagged-source 0.28.2","established","established","ship","ship","agree","uncommitted-pending-d9-exact-identity","uncommitted","not-started","not-implemented","not-certified","not-certified","EV-ESB-002;EV-ESB-003;EV-ESB-014","EC-ESB-PKG;EC-ESB-SRC","ESB-OP-05","ESB-OP-05","effect-build-esbuild./FormatMessages#formatMessages","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","runtime rendering receipt"
"CMP-CAN-ESB-006","CAN-ESB-006","CO-ESB-06","esbuild","build-memory-sync","build-memory-sync","in-process-api","in-process-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","package+tagged-source 0.28.2","established","established","reject","reject","agree","not-committed","none","not-started","not-implemented","not-certified","not-certified","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","EC-ESB-PKG;EC-ESB-SRC","ESB-OP-06","ESB-OP-06","no-export-rejected","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","none; rejection is architectural"
"CMP-CAN-ESB-007","CAN-ESB-007","CO-ESB-07","esbuild","build-direct-write-sync","build-direct-write-sync","in-process-api","in-process-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","provider-direct-durable","provider-direct-durable","agree","provider-direct-durable","provider-direct-durable","agree","provider-native","provider-native","agree","official-upstream","package+tagged-source 0.28.2","established","established","reject","reject","agree","not-committed","none","not-started","not-implemented","not-certified","not-certified","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","EC-ESB-PKG;EC-ESB-SRC","ESB-OP-07","ESB-OP-07","no-export-rejected","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","none; rejection is architectural"
"CMP-CAN-ESB-008","CAN-ESB-008","CO-ESB-08","esbuild","transform-sync","transform-sync","in-process-api","in-process-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","package+tagged-source 0.28.2","established","established","reject","reject","agree","not-committed","none","not-started","not-implemented","not-certified","not-certified","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","EC-ESB-PKG;EC-ESB-SRC","ESB-OP-08","ESB-OP-08","no-export-rejected","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","none; rejection is architectural"
"CMP-CAN-ESB-009","CAN-ESB-009","CO-ESB-09","esbuild","analyze-metafile-sync","analyze-metafile-sync","in-process-api","in-process-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","package+tagged-source 0.28.2","established","established","reject","reject","agree","not-committed","none","not-started","not-implemented","not-certified","not-certified","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","EC-ESB-PKG;EC-ESB-SRC","ESB-OP-09","ESB-OP-09","no-export-rejected","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","none; rejection is architectural"
"CMP-CAN-ESB-010","CAN-ESB-010","CO-ESB-10","esbuild","format-messages-sync","format-messages-sync","in-process-api","in-process-api","agree","one-shot","one-shot","agree","caller-owned-value","caller-owned-value","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","package+tagged-source 0.28.2","established","established","reject","reject","agree","not-committed","none","not-started","not-implemented","not-certified","not-certified","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","EC-ESB-PKG;EC-ESB-SRC","ESB-OP-10","ESB-OP-10","no-export-rejected","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","none; rejection is architectural"
"CMP-CAN-ESB-011","CAN-ESB-011","CO-ESB-11","esbuild","context-memory","context-memory","in-process-api","in-process-api","agree","scoped-context","scoped-context","agree","long-lived-handle","long-lived-handle","agree","none","none","agree","none","none","agree","provider-native","provider-native","agree","official-upstream","package+tagged-source 0.28.2 + recorded 0.28.1/0.28.2 lifecycle","established","established","ship","ship","agree","uncommitted-pending-d9-exact-identity","uncommitted","not-started","not-implemented","not-certified","not-certified","EV-ESB-002;EV-ESB-003;EV-ESB-009;EV-ESB-013;EV-ESB-021;EV-ESB-022;EV-ESB-023","EC-ESB-PKG;EC-ESB-SRC;EC-ESB-RECEIPT","ESB-OP-11","ESB-OP-11;E03;E04;E05;E06;E07;E08","effect-build-esbuild./Context#make","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","race matrix; post-dispose; delayed plugin cleanup"
"CMP-CAN-ESB-012","CAN-ESB-012","CO-ESB-12","esbuild","context-direct-write","context-direct-write","in-process-api","in-process-api","agree","scoped-context","scoped-context","agree","long-lived-handle","long-lived-handle","agree","provider-direct-durable","provider-direct-durable","agree","provider-direct-durable","provider-direct-durable","agree","provider-native","provider-native","agree","official-upstream","package+tagged-source 0.28.2","established","established","ship","ship","agree","uncommitted-pending-d9-exact-identity","uncommitted","not-started","not-implemented","not-certified","not-certified","EV-ESB-002;EV-ESB-003;EV-ESB-023","EC-ESB-PKG;EC-ESB-SRC","ESB-OP-12","ESB-OP-12;E03","effect-build-esbuild./ContextToDirectory#make","agree after provider-verb and evidence-coordinate normalization; retain primary exact ship/defer/reject and proposed surface columns","context races and mixed-generation remnants"
