"operation_id","semantic_identity","original_source_atoms","supplemental_source_rows","candidate_public_surface","provider_publication","published_contract","identity_owner","proposed_package","proposed_subpath","proposed_export","proposed_root_export","proposed_root_export_kind","evidence_coordinate_refs","freeze_recommendation","surface_selection_status","pre_freeze_gate","freeze_gate_status"
"CAN-BUN-011","bun / compile-executable / host-api / one-shot / {caller-owned-value, provider-direct-durable}","B09.1;B10.1","OP-BUN-011","Bun.build({compile})","provider-direct-durable","provider-direct-durable","provider-native","effect-build-bun","./CompileExecutableApi","compileExecutableDirect","CompileExecutableApi","namespace-reexport","E-BUN-015;E-BUN-016;E-BUN-021","ship","selected-candidate-not-frozen","target matrix; acquisition; interruption remnants","blocked-pending-executable-proof"
"CAN-BUN-012","bun / compile-executable / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","B09.2;B10.1","OP-BUN-012;OP-BUN-013","effect-build compileExecutable over selected bun build --compile","provider-direct-durable","atomic-published-durable","product-wrapper-over-provider-command","effect-build-bun","./CompileExecutable","compileExecutable","CompileExecutable","namespace-reexport","E-BUN-017;E-BUN-027;E-EB-001","ship","selected-candidate-not-frozen","target matrix; acquisition; interruption and publication certification","blocked-pending-executable-proof"
"CAN-BUN-014","bun / plugin-register-global / host-api / one-shot / {caller-owned-value, none}","B06.3","OP-BUN-014","Bun.plugin","none","none","provider-native","effect-build-bun","none","none","none","none-not-selected","E-BUN-018","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected"
"CAN-BUN-015","bun / plugin-clear-global / host-api / one-shot / {none, none}","","OP-BUN-015","Bun.plugin.clearAll","none","none","provider-native","effect-build-bun","none","none","none","none-not-selected","E-BUN-019","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected"
"CAN-DENO-001","deno / bundle-memory / host-api / one-shot / {caller-owned-value, none}","D01.1;D10.1","DENO-OP-001","Deno.bundle write:false","none","none","provider-native","effect-build-deno","none","none","none","none-not-selected","DENO-EV-001;DENO-EV-012","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-DENO-002","deno / bundle-direct-write / host-api / one-shot / {caller-owned-value, provider-direct-durable}","D02.1;D10.1","DENO-OP-002","Deno.bundle direct write","provider-direct-durable","provider-direct-durable","provider-native","effect-build-deno","none","none","none","none-not-selected","DENO-EV-001;DENO-EV-012","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-DENO-003","deno / bundle-stdout / selected-command / one-shot / {caller-owned-value, none}","D03.1;D06.1","DENO-OP-003","selected deno bundle stdout","none","none","provider-native","effect-build-deno","none","none","none","none-not-selected","DENO-EV-002","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-DENO-004","deno / bundle-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","D04.1;D06.1","DENO-OP-004","selected deno bundle output","provider-direct-durable","provider-direct-durable","provider-native","effect-build-deno","none","none","none","none-not-selected","DENO-EV-002","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-DENO-005","deno / bundle-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}","D05.1;D06.1","DENO-OP-005","selected deno bundle --watch","provider-direct-durable","provider-direct-durable","provider-native","effect-build-deno","none","none","none","none-not-selected","DENO-EV-002","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-DENO-006","deno / bundle-declarations-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","D06.1;D06.2","DENO-OP-006","selected deno bundle --declaration","provider-direct-durable","provider-direct-durable","provider-native","effect-build-deno","none","none","none","none-not-selected","DENO-EV-002","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-DENO-007","deno / transpile-stdout / selected-command / one-shot / {caller-owned-value, none}","","DENO-OP-007","selected deno transpile stdout","none","none","provider-native","effect-build-deno","./TranspileCommand","transpile","TranspileCommand","namespace-reexport","DENO-EV-003","ship","selected-candidate-not-frozen","collection bounds and diagnostics execution","blocked-pending-executable-proof"
"CAN-DENO-008","deno / transpile-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","","DENO-OP-008","selected deno transpile output","provider-direct-durable","provider-direct-durable","provider-native","effect-build-deno","./TranspileCommandToDirectory","transpileToDirectory","TranspileCommandToDirectory","namespace-reexport","DENO-EV-003","ship","selected-candidate-not-frozen","interruption and map remnants","blocked-pending-executable-proof"
"CAN-DENO-009","deno / transpile-declarations-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","","DENO-OP-009","selected deno transpile --declaration","provider-direct-durable","provider-direct-durable","provider-native","effect-build-deno","./TranspileDeclarationsCommand","emitDeclarations","TranspileDeclarationsCommand","namespace-reexport","DENO-EV-003","ship","selected-candidate-not-frozen","declaration failure and topology","blocked-pending-executable-proof"
"CAN-DENO-010","deno / compile-executable / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","D07.1;D08.1","DENO-OP-010","effect-build deno compile executable operation","provider-direct-durable","atomic-published-durable","product-wrapper-over-provider-command","effect-build-deno","./CompileExecutable","compileExecutable","CompileExecutable","namespace-reexport","DENO-EV-004;DENO-EV-005;DENO-EV-006;DENO-EV-007;DENO-EV-008;DENO-EV-009;DENO-EV-010;DENO-EV-013","ship","selected-candidate-not-frozen","host-target; cache/offline; denort relation; runtime","blocked-pending-executable-proof"
"CAN-DENO-011","deno / compile-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}","D08.1","DENO-OP-011","selected deno compile --watch","provider-direct-durable","provider-direct-durable","provider-native","effect-build-deno","none","none","none","none-not-selected","DENO-EV-004","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-ESB-001","esbuild / build-memory / in-process-api / one-shot / {caller-owned-value, none}","E01.1;E09.1;E09.2;E10.1;E12.1","ESB-OP-01","esbuild.build write:false","none","none","provider-native","effect-build-esbuild","./Build","build","Build","namespace-reexport","EV-ESB-002;EV-ESB-003;EV-ESB-009;EV-ESB-021;EV-ESB-023","ship","selected-candidate-not-frozen","one-shot provider continuation after interruption","blocked-pending-executable-proof"
"CAN-ESB-002","esbuild / build-direct-write / in-process-api / one-shot / {caller-owned-value, provider-direct-durable}","E01.2;E09.1;E09.2;E10.1;E12.1","ESB-OP-02","esbuild.build write:true with destination","provider-direct-durable","provider-direct-durable","provider-native","effect-build-esbuild","./BuildToDirectory","buildToDirectory","BuildToDirectory","namespace-reexport","EV-ESB-002;EV-ESB-003;EV-ESB-014;EV-ESB-023","ship","selected-candidate-not-frozen","partial writes and interruption remnants","blocked-pending-executable-proof"
"CAN-ESB-003","esbuild / transform / in-process-api / one-shot / {caller-owned-value, none}","E02.1;E12.1","ESB-OP-03","esbuild.transform","none","none","provider-native","effect-build-esbuild","./Transform","transform","Transform","namespace-reexport","EV-ESB-002;EV-ESB-003;EV-ESB-009;EV-ESB-023","ship","selected-candidate-not-frozen","large-input temporary-file cleanup","blocked-pending-executable-proof"
"CAN-ESB-004","esbuild / analyze-metafile / in-process-api / one-shot / {caller-owned-value, none}","E10.2;E12.1","ESB-OP-04","esbuild.analyzeMetafile","none","none","provider-native","effect-build-esbuild","./AnalyzeMetafile","analyzeMetafile","AnalyzeMetafile","namespace-reexport","EV-ESB-002;EV-ESB-003;EV-ESB-016;EV-ESB-023","ship","selected-candidate-not-frozen","runtime rendering receipt","blocked-pending-executable-proof"
"CAN-ESB-005","esbuild / format-messages / in-process-api / one-shot / {caller-owned-value, none}","E12.1","ESB-OP-05","esbuild.formatMessages","none","none","provider-native","effect-build-esbuild","./FormatMessages","formatMessages","FormatMessages","namespace-reexport","EV-ESB-002;EV-ESB-003;EV-ESB-014","ship","selected-candidate-not-frozen","runtime rendering receipt","blocked-pending-executable-proof"
"CAN-ESB-006","esbuild / build-memory-sync / in-process-api / one-shot / {caller-owned-value, none}","","ESB-OP-06","esbuild.buildSync write:false","none","none","provider-native","effect-build-esbuild","none","none","none","none-not-selected","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected"
"CAN-ESB-007","esbuild / build-direct-write-sync / in-process-api / one-shot / {caller-owned-value, provider-direct-durable}","","ESB-OP-07","esbuild.buildSync write:true","provider-direct-durable","provider-direct-durable","provider-native","effect-build-esbuild","none","none","none","none-not-selected","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected"
"CAN-ESB-008","esbuild / transform-sync / in-process-api / one-shot / {caller-owned-value, none}","","ESB-OP-08","esbuild.transformSync","none","none","provider-native","effect-build-esbuild","none","none","none","none-not-selected","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected"
"CAN-ESB-009","esbuild / analyze-metafile-sync / in-process-api / one-shot / {caller-owned-value, none}","","ESB-OP-09","esbuild.analyzeMetafileSync","none","none","provider-native","effect-build-esbuild","none","none","none","none-not-selected","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected"
"CAN-ESB-010","esbuild / format-messages-sync / in-process-api / one-shot / {caller-owned-value, none}","","ESB-OP-10","esbuild.formatMessagesSync","none","none","provider-native","effect-build-esbuild","none","none","none","none-not-selected","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected"
"CAN-ESB-011","esbuild / context-memory / in-process-api / scoped-context / {long-lived-handle, none}","E03.1;E04.1;E05.1;E06.1;E07.1;E08.1;E09.1;E09.2;E12.1","ESB-OP-11","esbuild.context write:false","none","none","provider-native","effect-build-esbuild","./Context","make","Context","namespace-reexport","EV-ESB-002;EV-ESB-003;EV-ESB-009;EV-ESB-013;EV-ESB-021;EV-ESB-022;EV-ESB-023","ship","selected-candidate-not-frozen","race matrix; post-dispose; delayed plugin cleanup","blocked-pending-executable-proof"
"CAN-ESB-012","esbuild / context-direct-write / in-process-api / scoped-context / {long-lived-handle, provider-direct-durable}","E03.2;E04.1;E05.1;E06.1;E07.1;E08.1;E09.1;E09.2;E12.1","ESB-OP-12","esbuild.context write:true","provider-direct-durable","provider-direct-durable","provider-native","effect-build-esbuild","./ContextToDirectory","make","ContextToDirectory","namespace-reexport","EV-ESB-002;EV-ESB-003;EV-ESB-023","ship","selected-candidate-not-frozen","context races and mixed-generation remnants","blocked-pending-executable-proof"
"CAN-ESB-013","esbuild / stop-shared-service / in-process-api / one-shot / {none, none}","E12.2","ESB-OP-13","esbuild.stop","none","none","provider-native","effect-build-esbuild","none","none","none","none-not-selected","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected"
"CAN-ESB-014","esbuild / initialize-shared-service / in-process-api / one-shot / {none, none}","E12.2","ESB-OP-14","esbuild.initialize","none","none","provider-native","effect-build-esbuild","none","none","none","none-not-selected","EV-ESB-002;EV-ESB-003;EV-ESB-012;EV-ESB-013","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected"
"CAN-ESB-015","esbuild / build-stdout / selected-command / one-shot / {caller-owned-value, none}","E11.1","ESB-OP-15","selected esbuild stdout","none","none","provider-native","effect-build-esbuild","./BuildCommand","build","BuildCommand","namespace-reexport","EV-ESB-006;EV-ESB-016;EV-ESB-023;EV-ESB-024","ship","selected-candidate-not-frozen","bounds; bin form; signal and reaping","blocked-pending-executable-proof"
"CAN-ESB-016","esbuild / build-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","E11.2","ESB-OP-16","selected esbuild with outfile/outdir","provider-direct-durable","provider-direct-durable","provider-native","effect-build-esbuild","./BuildCommandToDirectory","buildToDirectory","BuildCommandToDirectory","namespace-reexport","EV-ESB-006;EV-ESB-016;EV-ESB-023;EV-ESB-024","ship","selected-candidate-not-frozen","partial writes; bin form; signal and reaping","blocked-pending-executable-proof"
"CAN-ESB-017","esbuild / build-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}","E11.3","ESB-OP-17","selected esbuild --watch","provider-direct-durable","provider-direct-durable","provider-native","effect-build-esbuild","./BuildWatchCommand","watch","BuildWatchCommand","namespace-reexport","EV-ESB-006;EV-ESB-016;EV-ESB-023","ship","selected-candidate-not-frozen","termination choice; descendants; remnants","blocked-pending-executable-proof"
"CAN-ESB-018","esbuild / serve / selected-command / scoped-process / {long-lived-handle, none}","E11.4","ESB-OP-18","selected esbuild --serve","none","none","provider-native","effect-build-esbuild","none","none","none","none-not-selected","EV-ESB-006;EV-ESB-016;EV-ESB-019;EV-ESB-023","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-ESB-019","esbuild / build-host-stdout / in-process-api / one-shot / {none, none}","E01.3","ESB-OP-19","esbuild.build write:true without destination","none","none","provider-native","effect-build-esbuild","none","none","none","none-not-selected","EV-ESB-003","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected"
"CAN-NODE-001","node-sea / assemble-direct / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","S01.1;S02.1;S03.1;S04.1;S05.1;S06.1;S07.1;S09.1;S10.1","NODE-SEA-DIRECT","node --build-sea","provider-direct-durable","atomic-published-durable","product-wrapper-over-provider-command","effect-build-node-sea","./AssembleDirect","assembleDirect","AssembleDirect","namespace-reexport","E-NODE-DIRECT;E-NODE-26-DOC-CONFIG;E-NODE-26-SRC-BIN;E-NODE-26-SRC-SEA;E-CORPUS-PREFLIGHT;E-CORPUS-APPLE","ship","selected-candidate-not-frozen","exact binary capability; host-target and runtime matrix","blocked-pending-executable-proof"
"CAN-NODE-002","node-sea / generate-preparation-blob / selected-command / one-shot / {scope-borrowed-value, none}","S02.1;S03.1;S04.1;S05.1;S06.1;S07.1;S08.1;S10.1","NODE-SEA-LEGACY-BLOB","node --experimental-sea-config","none","none","product-wrapper-over-provider-command","effect-build-node-sea","none","none","none","none-internal-stage","E-NODE-BLOB-JSON;E-NODE-26-DOC-LEGACY;E-NODE-24-DOC;E-NODE-22-DOC;E-CORPUS-OWNERSHIP;E-CORPUS-PREFLIGHT","ship","selected-candidate-not-frozen","generator/base relations; cleanup and interruption","blocked-pending-executable-proof"
"CAN-NODE-003","node-sea / inject-preparation-blob / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","S02.1;S03.1;S04.1;S05.1;S06.1;S07.1;S08.2;S09.1;S10.1","NODE-SEA-LEGACY-INJECT","selected exact SEA injector","provider-direct-durable","atomic-published-durable","product-wrapper-over-provider-command","effect-build-node-sea","./AssembleLegacy","assembleLegacy","AssembleLegacy","namespace-reexport","E-NODE-26-DOC-LEGACY;E-NODE-26-DOC-PLATFORMS;E-NODE-26-DOC-LOADER;E-CORPUS-ADMISS;E-CORPUS-PREFLIGHT;E-CORPUS-APPLE","ship","selected-candidate-not-frozen","injector candidate; target matrix; lifecycle","blocked-pending-executable-proof"
"CAN-ROL-001","rolldown / acquire-reusable-build / in-process-api / scoped-context / {long-lived-handle, none}","","OP-ROL-001;OP-ROL-004","rolldown(input)","none","none","provider-native","effect-build-rolldown","none","none","none","none-not-selected","E-ROL-ACQUIRE;E-ROL-HANDLE;E-ROL-INPUT;E-EB-GATES","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-ROL-002","rolldown / generate / in-process-api / scoped-context / {caller-owned-value, none}","","OP-ROL-002","RolldownBuild.generate","none","none","provider-native","effect-build-rolldown","none","none","none","none-not-selected","E-ROL-HANDLE;E-ROL-OUTPUT-TYPES;E-ROL-OUTPUT-IMPL;E-ROL-EXTMEM;E-EB-RECEIPT","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-ROL-003","rolldown / write / in-process-api / scoped-context / {caller-owned-value, provider-direct-durable}","","OP-ROL-003","RolldownBuild.write","provider-direct-durable","provider-direct-durable","provider-native","effect-build-rolldown","none","none","none","none-not-selected","E-ROL-HANDLE;E-ROL-OUTPUT-OPTIONS;E-ROL-OUTPUT-TYPES;E-ROL-PLUGIN;E-EB-LIFE","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-ROL-005","rolldown / build-one-shot-generate / in-process-api / one-shot / {caller-owned-value, none}","","OP-ROL-005","experimental build generate","none","none","provider-native","effect-build-rolldown","none","none","none","none-not-selected","E-ROL-BUILD;E-ROL-HANDLE;E-ROL-OUTPUT-IMPL","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-ROL-006","rolldown / build-one-shot-write / in-process-api / one-shot / {caller-owned-value, provider-direct-durable}","","OP-ROL-006","experimental build write","provider-direct-durable","provider-direct-durable","provider-native","effect-build-rolldown","none","none","none","none-not-selected","E-ROL-BUILD;E-ROL-HANDLE;E-ROL-OUTPUT-OPTIONS;E-EB-LIFE","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-ROL-007","rolldown / watch-direct-write / in-process-api / scoped-context / {long-lived-handle, provider-direct-durable}","","OP-ROL-007;OP-ROL-009","rolldown watch","provider-direct-durable","provider-direct-durable","provider-native","effect-build-rolldown","none","none","none","none-not-selected","E-ROL-WATCH-API;E-ROL-WATCH-EVENT;E-ROL-WATCH-IMPL;E-ROL-INPUT","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-ROL-008","rolldown / watch-skip-write / in-process-api / scoped-context / {long-lived-handle, none}","","OP-ROL-008;OP-ROL-009","rolldown watch skipWrite","none","none","provider-native","effect-build-rolldown","none","none","none","none-not-selected","E-ROL-WATCH-API;E-ROL-WATCH-EVENT;E-ROL-WATCH-IMPL;E-ROL-HANDLE","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-ROL-010","rolldown / cli-bundle-stdout / selected-command / one-shot / {caller-owned-value, none}","","OP-ROL-010","selected rolldown stdout","none","none","provider-native","effect-build-rolldown","none","none","none","none-not-selected","E-ROL-PKG;E-ROL-CLI-BUNDLE;E-ROL-CLI-ARGS;E-ROL-CONFIG","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-ROL-011","rolldown / cli-bundle-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","","OP-ROL-011","selected rolldown output","provider-direct-durable","provider-direct-durable","provider-native","effect-build-rolldown","none","none","none","none-not-selected","E-ROL-CLI-BUNDLE;E-ROL-CLI-ARGS;E-ROL-CONFIG;E-EB-LIFE","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-ROL-012","rolldown / cli-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}","","OP-ROL-012","selected rolldown --watch","provider-direct-durable","provider-direct-durable","provider-native","effect-build-rolldown","none","none","none","none-not-selected","E-ROL-CLI-BUNDLE;E-ROL-WATCH-API;E-ROL-WATCH-IMPL","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-ROL-013","rolldown / transform-source / in-process-api / one-shot / {caller-owned-value, none}","","OP-ROL-013","rolldown experimental transform","none","none","provider-native","effect-build-rolldown","none","none","none","none-not-selected","E-ROL-UTILS;E-ROL-TRANSFORM;E-ROL-BINDING-DTS","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-ROL-014","rolldown / parse-source / in-process-api / one-shot / {caller-owned-value, none}","","OP-ROL-014","rolldown parse","none","none","provider-native","effect-build-rolldown","none","none","none","none-not-selected","E-ROL-UTILS;E-ROL-PARSE;E-ROL-PARSE-AST;E-ROL-BINDING-DTS","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-ROL-015","rolldown / minify-source / in-process-api / one-shot / {caller-owned-value, none}","","OP-ROL-015","rolldown experimental minify","none","none","provider-native","effect-build-rolldown","none","none","none","none-not-selected","E-ROL-UTILS;E-ROL-MINIFY;E-ROL-BINDING-DTS","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-ROL-016","rolldown / resolve-module / in-process-api / one-shot / {caller-owned-value, none}","","OP-ROL-016","rolldown experimental ResolverFactory","none","none","provider-native","effect-build-rolldown","none","none","none","none-not-selected","E-ROL-EXPERIMENTAL;E-ROL-BINDING-DTS","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-ROL-017","rolldown / scan-graph / in-process-api / one-shot / {scope-borrowed-value, none}","","OP-ROL-017","rolldown experimental scan","none","none","provider-native","effect-build-rolldown","none","none","none","none-not-selected","E-ROL-SCAN;E-ROL-EXPERIMENTAL;E-ROL-HANDLE","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-ROL-018A","rolldown / acquire-dev-engine-memory / in-process-api / scoped-context / {long-lived-handle, none}","","OP-ROL-018;OP-ROL-019","rolldown experimental DevEngine without writes","none","none","provider-native","effect-build-rolldown","none","none","none","none-not-selected","E-ROL-DEV;E-ROL-DEV-OPTIONS;E-ROL-EXPERIMENTAL","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-ROL-018B","rolldown / acquire-dev-engine-direct-write / in-process-api / scoped-context / {long-lived-handle, provider-direct-durable}","","OP-ROL-018;OP-ROL-019","rolldown experimental DevEngine with writes","provider-direct-durable","provider-direct-durable","provider-native","effect-build-rolldown","none","none","none","none-not-selected","E-ROL-DEV;E-ROL-DEV-OPTIONS;E-ROL-EXPERIMENTAL","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-ROL-020","rolldown / emit-isolated-declaration / in-process-api / one-shot / {caller-owned-value, none}","","OP-ROL-020","rolldown experimental isolated declaration","none","none","provider-native","effect-build-rolldown","none","none","none","none-not-selected","E-ROL-EXPERIMENTAL;E-ROL-BINDING-DTS;E-EB-RECON","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
"CAN-ROL-021","rolldown / module-runner-transform / in-process-api / one-shot / {caller-owned-value, none}","","OP-ROL-021","deprecated Vite module-runner transform","none","none","provider-native","effect-build-rolldown","none","none","none","none-not-selected","E-ROL-EXPERIMENTAL;E-ROL-BINDING-DTS","reject","not-selected-rejected","none-rejection-established","not-applicable-rejected"
"CAN-ROL-022","rolldown / load-config / in-process-api / one-shot / {caller-owned-value, none}","","OP-ROL-022","rolldown loadConfig","none","none","provider-native","effect-build-rolldown","none","none","none","none-not-selected","E-ROL-CONFIG;E-ROL-CLI-BUNDLE;E-ROL-PKG","defer","not-selected-deferred","not-current-freeze-candidate","not-applicable-deferred"
