"operation_id","semantic_identity","evidence_ref","evidence_source","evidence_row_key","evidence_status","support_effect"
"CAN-BUN-007","bun / build-direct-write / host-api / one-shot / {caller-owned-value, provider-direct-durable}","E-BUN-021","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-021","receipt-bounded-not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-007","bun / build-direct-write / host-api / one-shot / {caller-owned-value, provider-direct-durable}","E-BUN-022","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-022","receipt-bounded-not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-008","bun / build-stdout / selected-command / one-shot / {caller-owned-value, none}","E-BUN-012","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-012","source-only-not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-009","bun / build-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","E-BUN-013","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-013","receipt-bounded-not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-009","bun / build-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","E-BUN-023","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-023","receipt-bounded-not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-009","bun / build-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","E-BUN-024","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-024","receipt-bounded-not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-009","bun / build-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","E-BUN-025","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-025","receipt-bounded-not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-010","bun / build-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}","E-BUN-014","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-014","receipt-bounded-not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-010","bun / build-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}","E-BUN-026","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-026","receipt-bounded-not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-011","bun / compile-executable / host-api / one-shot / {caller-owned-value, provider-direct-durable}","E-BUN-015","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-015","receipt-bounded-not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-011","bun / compile-executable / host-api / one-shot / {caller-owned-value, provider-direct-durable}","E-BUN-016","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-016","receipt-bounded-not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-011","bun / compile-executable / host-api / one-shot / {caller-owned-value, provider-direct-durable}","E-BUN-021","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-021","receipt-bounded-not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-012","bun / compile-executable / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","E-BUN-017","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-017","not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-012","bun / compile-executable / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","E-BUN-027","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-027","not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-012","bun / compile-executable / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","E-EB-001","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-EB-001","not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-014","bun / plugin-register-global / host-api / one-shot / {caller-owned-value, none}","E-BUN-018","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-018","source-only-not-certified","evidence-only-does-not-admit-support"
"CAN-BUN-015","bun / plugin-clear-global / host-api / one-shot / {none, none}","E-BUN-019","research/post-0.3/reconciliation/r2/bun/EVIDENCE-COORDINATES.csv","E-BUN-019","source-only-not-certified","evidence-only-does-not-admit-support"
"CAN-DENO-001","deno / bundle-memory / host-api / one-shot / {caller-owned-value, none}","DENO-EV-001","research/post-0.3/reconciliation/r2/deno/EVIDENCE-COORDINATES.csv","DENO-EV-001","not-certified","evidence-only-does-not-admit-support"
"CAN-DENO-001","deno / bundle-memory / host-api / one-shot / {caller-owned-value, none}","DENO-EV-012","research/post-0.3/reconciliation/r2/deno/EVIDENCE-COORDINATES.csv","DENO-EV-012","not-certified","evidence-only-does-not-admit-support"
"CAN-DENO-002","deno / bundle-direct-write / host-api / one-shot / {caller-owned-value, provider-direct-durable}","DENO-EV-001","research/post-0.3/reconciliation/r2/deno/EVIDENCE-COORDINATES.csv","DENO-EV-001","not-certified","evidence-only-does-not-admit-support"
"CAN-DENO-002","deno / bundle-direct-write / host-api / one-shot / {caller-owned-value, provider-direct-durable}","DENO-EV-012","research/post-0.3/reconciliation/r2/deno/EVIDENCE-COORDINATES.csv","DENO-EV-012","not-certified","evidence-only-does-not-admit-support"
"CAN-DENO-003","deno / bundle-stdout / selected-command / one-shot / {caller-owned-value, none}","DENO-EV-002","research/post-0.3/reconciliation/r2/deno/EVIDENCE-COORDINATES.csv","DENO-EV-002","not-certified","evidence-only-does-not-admit-support"
"CAN-DENO-004","deno / bundle-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","DENO-EV-002","research/post-0.3/reconciliation/r2/deno/EVIDENCE-COORDINATES.csv","DENO-EV-002","not-certified","evidence-only-does-not-admit-support"
"CAN-DENO-005","deno / bundle-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}","DENO-EV-002","research/post-0.3/reconciliation/r2/deno/EVIDENCE-COORDINATES.csv","DENO-EV-002","not-certified","evidence-only-does-not-admit-support"
"CAN-DENO-006","deno / bundle-declarations-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","DENO-EV-002","research/post-0.3/reconciliation/r2/deno/EVIDENCE-COORDINATES.csv","DENO-EV-002","not-certified","evidence-only-does-not-admit-support"
"CAN-DENO-007","deno / transpile-stdout / selected-command / one-shot / {caller-owned-value, none}","DENO-EV-003","research/post-0.3/reconciliation/r2/deno/EVIDENCE-COORDINATES.csv","DENO-EV-003","not-certified","evidence-only-does-not-admit-support"
"CAN-DENO-008","deno / transpile-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","DENO-EV-003","research/post-0.3/reconciliation/r2/deno/EVIDENCE-COORDINATES.csv","DENO-EV-003","not-certified","evidence-only-does-not-admit-support"
"CAN-DENO-009","deno / transpile-declarations-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","DENO-EV-003","research/post-0.3/reconciliation/r2/deno/EVIDENCE-COORDINATES.csv","DENO-EV-003","not-certified","evidence-only-does-not-admit-support"
"CAN-DENO-010","deno / compile-executable / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","DENO-EV-004","research/post-0.3/reconciliation/r2/deno/EVIDENCE-COORDINATES.csv","DENO-EV-004","not-certified","evidence-only-does-not-admit-support"
"CAN-DENO-010","deno / compile-executable / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","DENO-EV-005","research/post-0.3/reconciliation/r2/deno/EVIDENCE-COORDINATES.csv","DENO-EV-005","not-certified","evidence-only-does-not-admit-support"
"CAN-DENO-010","deno / compile-executable / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","DENO-EV-006","research/post-0.3/reconciliation/r2/deno/EVIDENCE-COORDINATES.csv","DENO-EV-006","not-certified","evidence-only-does-not-admit-support"
"CAN-DENO-010","deno / compile-executable / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","DENO-EV-007","research/post-0.3/reconciliation/r2/deno/EVIDENCE-COORDINATES.csv","DENO-EV-007","not-certified","evidence-only-does-not-admit-support"
"CAN-DENO-010","deno / compile-executable / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","DENO-EV-008","research/post-0.3/reconciliation/r2/deno/EVIDENCE-COORDINATES.csv","DENO-EV-008","not-certified","evidence-only-does-not-admit-support"
"CAN-DENO-010","deno / compile-executable / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","DENO-EV-009","research/post-0.3/reconciliation/r2/deno/EVIDENCE-COORDINATES.csv","DENO-EV-009","not-certified","evidence-only-does-not-admit-support"
"CAN-DENO-010","deno / compile-executable / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","DENO-EV-010","research/post-0.3/reconciliation/r2/deno/EVIDENCE-COORDINATES.csv","DENO-EV-010","not-certified","evidence-only-does-not-admit-support"
"CAN-DENO-010","deno / compile-executable / selected-command / one-shot / {caller-owned-value, atomic-published-durable}","DENO-EV-013","research/post-0.3/reconciliation/r2/deno/EVIDENCE-COORDINATES.csv","DENO-EV-013","not-certified","evidence-only-does-not-admit-support"
"CAN-DENO-011","deno / compile-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}","DENO-EV-004","research/post-0.3/reconciliation/r2/deno/EVIDENCE-COORDINATES.csv","DENO-EV-004","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-001","esbuild / build-memory / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-002","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-002","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-001","esbuild / build-memory / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-003","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-003","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-001","esbuild / build-memory / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-009","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-009","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-001","esbuild / build-memory / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-021","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-021","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-001","esbuild / build-memory / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-023","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-023","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-002","esbuild / build-direct-write / in-process-api / one-shot / {caller-owned-value, provider-direct-durable}","EV-ESB-002","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-002","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-002","esbuild / build-direct-write / in-process-api / one-shot / {caller-owned-value, provider-direct-durable}","EV-ESB-003","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-003","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-002","esbuild / build-direct-write / in-process-api / one-shot / {caller-owned-value, provider-direct-durable}","EV-ESB-014","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-014","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-002","esbuild / build-direct-write / in-process-api / one-shot / {caller-owned-value, provider-direct-durable}","EV-ESB-023","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-023","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-003","esbuild / transform / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-002","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-002","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-003","esbuild / transform / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-003","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-003","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-003","esbuild / transform / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-009","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-009","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-003","esbuild / transform / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-023","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-023","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-004","esbuild / analyze-metafile / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-002","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-002","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-004","esbuild / analyze-metafile / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-003","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-003","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-004","esbuild / analyze-metafile / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-016","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-016","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-004","esbuild / analyze-metafile / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-023","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-023","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-005","esbuild / format-messages / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-002","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-002","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-005","esbuild / format-messages / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-003","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-003","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-005","esbuild / format-messages / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-014","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-014","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-006","esbuild / build-memory-sync / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-002","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-002","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-006","esbuild / build-memory-sync / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-003","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-003","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-006","esbuild / build-memory-sync / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-012","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-012","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-006","esbuild / build-memory-sync / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-013","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-013","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-007","esbuild / build-direct-write-sync / in-process-api / one-shot / {caller-owned-value, provider-direct-durable}","EV-ESB-002","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-002","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-007","esbuild / build-direct-write-sync / in-process-api / one-shot / {caller-owned-value, provider-direct-durable}","EV-ESB-003","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-003","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-007","esbuild / build-direct-write-sync / in-process-api / one-shot / {caller-owned-value, provider-direct-durable}","EV-ESB-012","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-012","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-007","esbuild / build-direct-write-sync / in-process-api / one-shot / {caller-owned-value, provider-direct-durable}","EV-ESB-013","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-013","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-008","esbuild / transform-sync / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-002","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-002","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-008","esbuild / transform-sync / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-003","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-003","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-008","esbuild / transform-sync / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-012","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-012","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-008","esbuild / transform-sync / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-013","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-013","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-009","esbuild / analyze-metafile-sync / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-002","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-002","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-009","esbuild / analyze-metafile-sync / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-003","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-003","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-009","esbuild / analyze-metafile-sync / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-012","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-012","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-009","esbuild / analyze-metafile-sync / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-013","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-013","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-010","esbuild / format-messages-sync / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-002","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-002","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-010","esbuild / format-messages-sync / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-003","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-003","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-010","esbuild / format-messages-sync / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-012","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-012","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-010","esbuild / format-messages-sync / in-process-api / one-shot / {caller-owned-value, none}","EV-ESB-013","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-013","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-011","esbuild / context-memory / in-process-api / scoped-context / {long-lived-handle, none}","EV-ESB-002","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-002","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-011","esbuild / context-memory / in-process-api / scoped-context / {long-lived-handle, none}","EV-ESB-003","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-003","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-011","esbuild / context-memory / in-process-api / scoped-context / {long-lived-handle, none}","EV-ESB-009","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-009","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-011","esbuild / context-memory / in-process-api / scoped-context / {long-lived-handle, none}","EV-ESB-013","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-013","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-011","esbuild / context-memory / in-process-api / scoped-context / {long-lived-handle, none}","EV-ESB-021","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-021","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-011","esbuild / context-memory / in-process-api / scoped-context / {long-lived-handle, none}","EV-ESB-022","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-022","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-011","esbuild / context-memory / in-process-api / scoped-context / {long-lived-handle, none}","EV-ESB-023","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-023","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-012","esbuild / context-direct-write / in-process-api / scoped-context / {long-lived-handle, provider-direct-durable}","EV-ESB-002","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-002","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-012","esbuild / context-direct-write / in-process-api / scoped-context / {long-lived-handle, provider-direct-durable}","EV-ESB-003","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-003","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-012","esbuild / context-direct-write / in-process-api / scoped-context / {long-lived-handle, provider-direct-durable}","EV-ESB-023","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-023","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-013","esbuild / stop-shared-service / in-process-api / one-shot / {none, none}","EV-ESB-002","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-002","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-013","esbuild / stop-shared-service / in-process-api / one-shot / {none, none}","EV-ESB-003","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-003","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-013","esbuild / stop-shared-service / in-process-api / one-shot / {none, none}","EV-ESB-012","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-012","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-013","esbuild / stop-shared-service / in-process-api / one-shot / {none, none}","EV-ESB-013","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-013","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-014","esbuild / initialize-shared-service / in-process-api / one-shot / {none, none}","EV-ESB-002","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-002","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-014","esbuild / initialize-shared-service / in-process-api / one-shot / {none, none}","EV-ESB-003","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-003","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-014","esbuild / initialize-shared-service / in-process-api / one-shot / {none, none}","EV-ESB-012","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-012","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-014","esbuild / initialize-shared-service / in-process-api / one-shot / {none, none}","EV-ESB-013","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-013","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-015","esbuild / build-stdout / selected-command / one-shot / {caller-owned-value, none}","EV-ESB-006","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-006","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-015","esbuild / build-stdout / selected-command / one-shot / {caller-owned-value, none}","EV-ESB-016","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-016","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-015","esbuild / build-stdout / selected-command / one-shot / {caller-owned-value, none}","EV-ESB-023","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-023","not-certified","evidence-only-does-not-admit-support"
"CAN-ESB-015","esbuild / build-stdout / selected-command / one-shot / {caller-owned-value, none}","EV-ESB-024","research/post-0.3/reconciliation/r2/esbuild/EVIDENCE-COORDINATES.csv","EV-ESB-024","not-certified","evidence-only-does-not-admit-support"
