evidence_id,scope,host,phase,class,artifact,coordinate,establishes,limitation
E-ROL-MINIFY,up@1.2.4,node,operation-prefl…,upstream,minify utility,up:packages/rolldown/src/utils/minify.ts,minify request/result structure,semantic equivalence for arbitrary…
E-ROL-EXPERIMENTAL,up@1.2.4,node,release-CI,upstream,experimental index,up:packages/rolldown/src/experimental-index.ts,"experimental resolver, scan, dev and declaration…",stability or release commitment
E-ROL-SCAN,up@1.2.4,node,operation-prefl…,upstream,experimental scan API,up:packages/rolldown/src/api/experimental.ts,scan returns a cleanup capability,cleanup idempotency or interruption…
E-ROL-DEV,up@1.2.4,node,operation-prefl…,upstream,dev engine,up:packages/rolldown/src/api/dev/dev-engine.ts,DevEngine ownership and methods,safe product support
E-ROL-DEV-OPTIONS,up@1.2.4,node,operation-prefl…,upstream,dev options,up:packages/rolldown/src/api/dev/dev-options.ts,callbacks and configured publication modes,callback concurrency or backpressure
E-ROL-BINDING-DTS,up@1.2.4,node,installation-gr…,upstream,binding.d.cts,up:packages/rolldown/src/binding.d.cts,"native method, result and platform-package…",loaded binary identity
E-ROL-BINDING-LOADER,up@1.2.4,node,layer-acquisiti…,upstream,binding.cjs,up:packages/rolldown/src/binding.cjs,platform/libc/arch selection and WASI fallback…,availability on an untested host
E-ROL-NATIVE-PACKAGES,up@1.2.4,n/a,installation-gr…,upstream,npm native package workspace,up:packages/rolldown/package.json,declared native package relation surface,published coherence for every package
E-ROL-CHANGELOG,up@1.2.4,n/a,release-CI,upstream,CHANGELOG.md,up:CHANGELOG.md,version-scoped change notes,complete behavioral compatibility
E-ROL-README,up@1.2.4,n/a,release-CI,upstream,package README,up:packages/rolldown/README.md,package identity and intended use,complete API contract
E-ROL-NPM-METADATA,up@1.2.4,n/a,installation-gr…,upstream,npm registry version…,npm:rolldown/1.2.4,published package metadata at retrieval,consumer resolution or installed bytes
E-ROL-NODE-ENGINES,up@1.2.4,node,installation-gr…,upstream,package engines field,up:packages/rolldown/package.json,declared Node engine floor and package graph,actual behavior at each admitted Node
E-ROL-VERSION,up@1.2.4,node,layer-acquisiti…,upstream,root version export,up:packages/rolldown/src/index.ts,declared package/runtime version observation surface,loaded native byte coherence
E-EB-GOV,base@c4cefd0a,n/a,research-govern…,repo,GOVERNANCE.md,base:research/post-0.3/corpus/GOVERNANCE.md,evidence ladder and research authority,implementation approval
E-EB-DEC,base@c4cefd0a,n/a,architecture-re…,repo,DECISION-RECORD.md,base:research/post-0.3/corpus/DECISION-RECORD.md,maintainer decisions and authority baseline,provider certification
E-EB-RECON,base@c4cefd0a,n/a,architecture-re…,repo,RECONCILIATION.md,base:research/post-0.3/corpus/RECONCILIATION.md,canonical operation/lifecycle distinctions,new provider proof
E-EB-GATES,base@c4cefd0a,n/a,architecture-re…,repo,RECONCILIATION-GATES.md,base:research/post-0.3/corpus/RECONCILIATION-GATES.md,semantic-key and publication gates,operation implementation
E-EB-PROGRAM,base@c4cefd0a,n/a,research-govern…,repo,RESEARCH-PROGRAM.md,base:research/post-0.3/corpus/RESEARCH-PROGRAM.md,bounded R2 deliverables and non-authority,support decision
E-EB-BREADTH,base@c4cefd0a,n/a,architecture-re…,repo,provider-native-breadth…,base:research/post-0.3/corpus/lanes/provider-native-breadth/README.md,provider-native operation tests,Rolldown execution
E-EB-LIFE,base@c4cefd0a,n/a,architecture-re…,repo,lifecycle-observability…,base:research/post-0.3/corpus/lanes/lifecycle-observability/README.md,"scope, ownership and publication laws",Rolldown runtime behavior
E-EB-COMPAT,base@c4cefd0a,n/a,architecture-re…,repo,compatibility-dx README,base:research/post-0.3/corpus/lanes/compatibility-dx/README.md,"identity, relation and fail-closed requirements",supported Rolldown range
E-EB-NODE-CANON,base@c4cefd0a,node,architecture-re…,repo,node-canon README,base:research/post-0.3/corpus/lanes/node-canon/README.md,strict Node-main role boundaries,Rolldown profile admission
E-EB-RECEIPT,base@c4cefd0a,ubuntu-24.04 x64,certification-e…,execution,external-provider-research.…,base:research/post-0.3/corpus/recovery/evidence/receipts/run-31956373310/external-provider-research.json,one exact generate/close fixture and observed…,broad lifecycle or host support
E-EB-PROBE,base@c4cefd0a,ubuntu-24.04 x64,certification-e…,repo,external-provider-probe.mjs,base:research/post-0.3/external-provider-probe.mjs,fixture logic used by archived receipt,unexecuted probe cells
E-EB-ARTIFACT,base@c4cefd0a,ubuntu-24.04 x64,certification-e…,repo,_ARTIFACT.json,base:research/post-0.3/corpus/recovery/evidence/receipts/run-31956373310/_ARTIFACT.json,receipt provenance and run metadata,provider semantics
E-EB-MANIFEST,base@c4cefd0a,n/a,research-govern…,repo,corpus README,base:research/post-0.3/corpus/README.md,durable evidence indexing rules,Rolldown support
E-EB-EXTERNAL-PROBE,base@c4cefd0a,ubuntu-24.04 x64,certification-e…,execution,run 31956373310,base:research/post-0.3/corpus/recovery/evidence/receipts/run-31956373310/,one preserved CI execution family,current package state
