operation_id,operation,lane,lifecycle,resource_result,output_publication,semantic_key,stability,contract,evidence_refs,package_gate,profile_gate
OP-ROL-011,cli-bundle-write,selected-command,one-shot,no-public-value,provider-direct-durable,"Rolldown / cli-bundle-write / selected-command / one-shot / {no-public-value, provider-direct-durable}",public CLI bin,Exit status plus provider-written output tree; direct writes are not atomic.,E-ROL-CLI-BUNDLE;E-ROL-CLI-ARGS;E-ROL-CONFIG;E-EB-LIFE,defer,not-applicable
OP-ROL-012,cli-watch,selected-command,scoped-process-session,owned-process-session,provider-direct-durable,"Rolldown / cli-watch / selected-command / scoped-process-session / {owned-process-session, provider-direct-durable}",public CLI bin; watch is experimental,Long-running child with human streams and repeated direct writes.,E-ROL-CLI-BUNDLE;E-ROL-WATCH-API;E-ROL-WATCH-IMPL,defer,not-applicable
OP-ROL-013,transform-source,host-api,one-shot,caller-owned-value,none,"Rolldown / transform-source / host-api / one-shot / {caller-owned-value, none}",experimental utility export,"Code, optional map/declaration fields, diagnostics and helper metadata.",E-ROL-UTILS;E-ROL-TRANSFORM;E-ROL-BINDING-DTS,defer,not-node-main
OP-ROL-014,parse-source,host-api,one-shot,caller-owned-value,none,"Rolldown / parse-source / host-api / one-shot / {caller-owned-value, none}",public utility export,Parse result or AST convenience value; no publication.,E-ROL-UTILS;E-ROL-PARSE;E-ROL-PARSE-AST;E-ROL-BINDING-DTS,defer,not-applicable
OP-ROL-015,minify-source,host-api,one-shot,caller-owned-value,none,"Rolldown / minify-source / host-api / one-shot / {caller-owned-value, none}",experimental utility export,"Code, optional map, diagnostics and legal comments.",E-ROL-UTILS;E-ROL-MINIFY;E-ROL-BINDING-DTS,defer,not-applicable
OP-ROL-016,resolve-module,host-api,reusable,scoped-handle,none,"Rolldown / resolve-module / host-api / reusable / {scoped-handle, none}",experimental utility export,ResolverFactory result containing path/error/builtin/module type/package metadata.,E-ROL-EXPERIMENTAL;E-ROL-BINDING-DTS,defer,not-applicable
OP-ROL-017,scan-graph,host-api,one-shot-with-cleanup,scope-borrowed-cleanup,none,"Rolldown / scan-graph / host-api / one-shot-with-cleanup / {scope-borrowed-cleanup, none}",experimental utility export,Promise resolves to cleanup Promise<void>; no publication.,E-ROL-SCAN;E-ROL-EXPERIMENTAL;E-ROL-HANDLE,defer,not-applicable
OP-ROL-018,acquire-dev-engine,host-api,scoped-session,scoped-handle,mixed-configured,"Rolldown / acquire-dev-engine / host-api / scoped-session / {scoped-handle, mixed-configured}",experimental provider-only API,DevEngine owns build/HMR state; publication depends on configured callbacks/write mode.,E-ROL-DEV;E-ROL-DEV-OPTIONS;E-ROL-EXPERIMENTAL,defer,reject-current
OP-ROL-019,close-dev-engine,scoped-handle,release,no-public-value,none,"Rolldown / close-dev-engine / scoped-handle / release / {no-public-value, none}",experimental provider-only API,Promise<void>; lifecycle release only.,E-ROL-DEV;E-ROL-EXPERIMENTAL,defer,supporting-lifecycle-only
OP-ROL-020,emit-isolated-declaration,host-api,one-shot,caller-owned-value,none,"Rolldown / emit-isolated-declaration / host-api / one-shot / {caller-owned-value, none}",experimental utility export,"Declaration code, optional map and diagnostics.",E-ROL-EXPERIMENTAL;E-ROL-BINDING-DTS;E-EB-RECON,defer,reject-current
OP-ROL-021,module-runner-transform,host-api,one-shot,caller-owned-value,none,"Rolldown / module-runner-transform / host-api / one-shot / {caller-owned-value, none}",deprecated; Vite-only,"Code, map, dependency lists and diagnostics.",E-ROL-EXPERIMENTAL;E-ROL-BINDING-DTS,reject,reject-current
OP-ROL-022,load-config,host-api,one-shot,caller-owned-value,none,"Rolldown / load-config / host-api / one-shot / {caller-owned-value, none}",public config helper,Resolved config object/array/function or rejection.,E-ROL-CONFIG;E-ROL-CLI-BUNDLE;E-ROL-PKG,defer,not-applicable
