claim_id,classification,provider,claim,request_config_authority,transport_lane,lifecycle,resource_result,output_publication,failure_law,interruption_law,provider_implementation_identity,host_target_relations,compatibility_owner,evaluation_phase,operation_ref,provenance,semantic_disposition,source_refs
SC-B-11,operation,bun,Bun.build({compile}) produces a durable Bun-runtime executable (implicit or explicit outfile),compile config; target tuple; embedded files,host-api,one-shot,caller-owned-value,provider-direct-durable,throw mode; acquisition/partial unknown,no cancel handle,Bun runtime version+revision,OS/arch/libc/CPU tuple relation,effect-build-bun,preflight+execution,CO-BUN-11,upstream+recorded-execution,established,OP-BUN-011;B09
SC-B-12,operation,bun,selected bun build --compile produces a durable Bun-runtime executable,selected binary; compile flags,selected-command,one-shot,caller-owned-value,provider-direct-durable (wrapper publishes atomically),non-zero exit; wrapper-typed failures,scope + staging cleanup,selected command content identity,OS/arch/libc/CPU tuple relation,effect-build-bun,all phases,CO-BUN-12,upstream+recorded+effect-build-implementation,established,OP-BUN-012;OP-BUN-013;B09
SC-B-13,operation,bun,Bun.plugin registers an ambient global plugin,ambient registry,host-api,one-shot,none,none,setup failures; races untested,none,Bun runtime version+revision,Bun host only,effect-build-bun,execution,CO-BUN-13,upstream-declaration+documentation,established,OP-BUN-014;B06
SC-B-14,operation,bun,Bun.plugin.clearAll clears the ambient global registry,ambient registry,host-api,one-shot,none,none,no structured failure,none,Bun runtime version+revision,Bun host only,effect-build-bun,execution,CO-BUN-14,upstream-declaration,established,OP-BUN-015
SC-B-15,request mode,bun,Virtual files (BuildConfig.files) supply an API-only mixed/virtual graph,,host-api,,,,,,,,,,CO-BUN-06;CO-BUN-07,upstream-declaration+documentation,established,B02;C-BUN-029
SC-B-16,request mode,bun,An HTML entrypoint makes Bun.build/CLI treat HTML as graph root emitting rewritten HTML/JS/CSS/assets; narrower than generic static-site ownership,,host-api+selected-command,,,,,,,,,,CO-BUN-06;CO-BUN-07;CO-BUN-09,upstream-documentation,established,B07;C-BUN-066..068
SC-B-17,request mode,bun,Full-stack mode couples Bun server code with imported browser HTML graphs (provider-only; no honest peer),,host-api+selected-command,,,,,,,,,,CO-BUN-06;CO-BUN-07;CO-BUN-11;CO-BUN-12,upstream-documentation,established,B10;C-BUN-069..071
SC-B-18,request mode,bun,compile + target=browser with HTML entry is standalone-HTML output (self-contained HTML; not a Bun executable; splitting rejected),,host-api+selected-command,,,,,,,,,,CO-BUN-06;CO-BUN-07,upstream-documentation+tagged-source,established,C-BUN-072..075
SC-B-19,modifier,bun,"Graph/output modifiers (loader map, externals, allowUnresolved, packages, splitting, naming, publicPath, sourcemap, format, conditions, define, env, minify) shape requests/results without changing identity laws",,,,,,,,,,,,CO-BUN-06;CO-BUN-07;CO-BUN-08;CO-BUN-09,upstream-declaration+documentation,established,B08;C-BUN-031..043
SC-B-20,modifier,bun,Bytecode is a modifier: sidecar .jsc for non-compile CJS; embedded under compile; ESM bytecode requires compile; architecture-independent but Bun/JSC-version-bound,,,,,,,,,,,,CO-BUN-06;CO-BUN-07;CO-BUN-11;CO-BUN-12,upstream-documentation,established,C-BUN-103..107
SC-B-21,modifier,bun,metafile requests returned graph metadata (API) or CLI metafile output,,,,,,,,,,,,CO-BUN-06;CO-BUN-07;CO-BUN-09,upstream-documentation,established,C-BUN-040;C-BUN-047
SC-B-22,result field,bun,"BuildOutput carries success, outputs (BuildArtifact extends Blob with kind/hash/path/sourcemap), logs, optional metafile; schema must survive normalization",,,,,,,,,,,,CO-BUN-06;CO-BUN-07;CO-BUN-11,upstream-declaration,established,B08;C-BUN-044..049
SC-B-23,result field,bun,Scan results carry provider import kinds (import statement/require/dynamic etc.) that must be preserved,,,,,,,,,,,,CO-BUN-04;CO-BUN-05,upstream-declaration+documentation,established,C-BUN-019..024
SC-B-24,sub-operation,bun,Per-build JS plugin lifecycle: setup then onStart/onResolve/onLoad/native onBeforeParse/onEnd with host authority; ordering/concurrency uncertified,,,,,,,,,,,,CO-BUN-06;CO-BUN-07;CO-BUN-11,upstream-declaration+documentation,established,B06;C-BUN-055..063
SC-B-25,sub-operation,bun,Cross-target compile may locate/download a Bun runtime and mutate cache state; acquisition must stay visible in policy,,,,,,,,,,,,CO-BUN-11;CO-BUN-12,upstream-documentation+tagged-source,established,C-BUN-096;C-BUN-097
SC-B-26,relation,bun,CLI and host-API builds are separate authorities: callbacks/virtual files have no CLI form; executable selection/cwd/env have no API form,,,,,,,,,,,,CO-BUN-06..CO-BUN-09,upstream,established,C-BUN-081;B04
SC-B-27,relation,bun,Executable compile target tuple encodes OS/arch/libc/CPU-baseline plus embedded Bun runtime identity,,,,,,,,,,,,CO-BUN-11;CO-BUN-12,upstream-documentation,established,C-BUN-092..094;B09
SC-B-28,relation,bun,"Bundle target (browser|bun|node) is resolution/builtin semantics, distinct from the executable target tuple axis",,,,,,,,,,,,CO-BUN-06;CO-BUN-07;CO-BUN-11,upstream-documentation,established,C-BUN-093;AGENTS-bun-node-target
SC-B-29,relation,bun,Tagged-source-only target branches (FreeBSD/Android/explicit-version) are evidence not public commitments,,,,,,,,,,,,CO-BUN-11;CO-BUN-12,tagged-source,established,C-BUN-095;E-BUN-016
SC-B-30,runtime capability,bun,No AbortSignal/cancel exists on Bun.build or Transpiler.transform; provider cancellation is unknown,,,,,,,,,,,,CO-BUN-02;CO-BUN-06;CO-BUN-07;CO-BUN-11,upstream-declaration,unknown,C-BUN-014;C-BUN-052;B01
SC-B-31,runtime capability,bun,Retention/GC lifetime of BuildArtifact bytes and Transpiler native backing state is undocumented,,,,,,,,,,,,CO-BUN-01;CO-BUN-06,upstream-gap,unknown,C-BUN-053;U02;U06
SC-B-32,post-production mutation,bun,macOS code signing acts on the produced executable after compile; it is not a compile option or result claim,,,,,,,,,,,,CO-BUN-11;CO-BUN-12,upstream-documentation,established,C-BUN-108
SC-B-33,external-platform-primitive,bun,Platform codesign tooling and signing identities are external infrastructure,,,,,,,,,,,,CO-BUN-11;CO-BUN-12,upstream-documentation,established,C-BUN-109
SC-B-34,external-platform-primitive,bun,"Bun's package registry, HTTP proxy, and runtime-download infrastructure are external platform dependencies of cross-target acquisition",,,,,,,,,,,,CO-BUN-11;CO-BUN-12,upstream-documentation,established,C-BUN-098
SC-B-35,external-platform-primitive,bun,A browser/CDN/web server consuming HTML-mode output is outside the operation boundary,,,,,,,,,,,,CO-BUN-06;CO-BUN-07;CO-BUN-09,upstream,established,C-BUN-077
SC-B-36,external-platform-primitive,bun,bun:ffi is experimental JS-to-C-ABI; Node-API is the stable native-extension boundary; neither is an embeddable bundler ABI,,,,,,,,,,,,CO-BUN-06;CO-BUN-11,upstream-documentation,established,C-BUN-113;C-BUN-114;C-BUN-116
SC-B-37,architecture-law,bun,Internal Zig functions do not become a transport lane; no supported public embeddable ABI exists at the reviewed tag,,,,,,,,,,,,,tagged-source+governance,accepted,LAW-011;C-BUN-116;E-BUN-020
SC-B-38,architecture-law,bun,Two successful exact versions (1.3.9 and 1.3.14) do not establish a continuous supported range,,,,,,,,,,,,,governance+recorded-execution,accepted,LAW-015;E-BUN-028;E-BUN-029
SC-B-39,portable-role,bun,"BunRuntimeExecutable, NodeMainProgram, BrowserModulePayload, HTMLResourceGraph, FullStackBunApplication, SourceTransform, SourceImportScan are R5 role candidates; runtime-neutral RuntimeExecutable stays rejected",,,,,,,,,,,,,proposal,proposed,C-BUN-118..126
SC-B-40,architecture-law,bun,Human watch stdout/stderr carries no typed rebuild protocol; typed events over these bytes stay falsified,,,,,,,,,,,,CO-BUN-10,governance+recorded-execution,accepted,LAW-010;C-BUN-086
SC-D-01,operation,deno,Deno.bundle write=false returns structured in-memory output files,Deno host; BundleOptions,host-api,one-shot,caller-owned-value,none,Result success/errors/warnings,cancellation unknown,selected Deno identity+channel+revision,Deno host,effect-build-deno,preflight+execution,CO-DEN-01,official-upstream v2.9.5,established,DENO-OP-001;D01
SC-D-02,operation,deno,Deno.bundle with outputPath/outputDir performs provider-direct durable writes,Deno host; BundleOptions,host-api,one-shot,caller-owned-value,provider-direct-durable,partial-write behavior unknown,cancellation unknown,selected Deno identity+channel+revision,Deno host,effect-build-deno,preflight+execution,CO-DEN-02,official-upstream v2.9.5,established,DENO-OP-002;D02
SC-D-03,operation,deno,deno bundle to stdout is a one-shot selected command with finite stdout collection,selected deno; project authority,selected-command,one-shot,caller-owned-value,none,non-zero exit + human stderr,child signaling; untested,selected deno content identity,any spawning host,effect-build-deno,preflight+launch+execution,CO-DEN-03,official-upstream v2.9.5,established,DENO-OP-003;D03
SC-D-04,operation,deno,deno bundle with output/outdir performs provider-direct durable writes,selected deno; project authority,selected-command,one-shot,caller-owned-value,provider-direct-durable,partial durable outcomes unknown,child signaling; untested,selected deno content identity,any spawning host,effect-build-deno,preflight+launch+execution,CO-DEN-04,official-upstream v2.9.5,established,DENO-OP-004;D04
SC-D-05,operation,deno,deno bundle --watch is a scoped child with repeated provider writes,selected deno; watch flags,selected-command,scoped-process,long-lived-handle,provider-direct-durable,raw diagnostics + exit only,scope terminates child; empirical,selected deno content identity,any spawning host,effect-build-deno,preflight+launch+execution,CO-DEN-05,official-upstream v2.9.5,established,DENO-OP-005;D05
SC-D-06,operation,deno,deno bundle --declaration adds graph/type-check work and durable rolled declaration topology,selected deno; declaration flags,selected-command,one-shot,caller-owned-value,provider-direct-durable,type-check failures join failure surface,child signaling; untested,selected deno content identity,any spawning host,effect-build-deno,preflight+launch+execution,CO-DEN-06,official-upstream v2.9.5,established,DENO-OP-006;D06
SC-D-07,operation,deno,deno transpile one input with no output selection emits JavaScript to stdout (stable),selected deno; compiler-options scope,selected-command,one-shot,caller-owned-value,none,non-zero exit; separate maps invalid on stdout,child signaling; untested,selected deno content identity,any spawning host,effect-build-deno,preflight+launch+execution,CO-DEN-07,official-upstream v2.9.5,established,DENO-OP-007;DENO-CL-023
SC-D-08,operation,deno,deno transpile multi-input requires outdir topology with provider-direct durable writes (stable),selected deno,selected-command,one-shot,caller-owned-value,provider-direct-durable,partial-write empirical,child signaling; untested,selected deno content identity,any spawning host,effect-build-deno,preflight+launch+execution,CO-DEN-08,official-upstream v2.9.5,established,DENO-OP-008;DENO-CL-024
SC-D-09,operation,deno,deno transpile --declaration builds an npm-resolving graph and type-checks under one compiler-options scope (stable),selected deno,selected-command,one-shot,caller-owned-value,provider-direct-durable,type-check + scope-mixing rejection,child signaling; untested,selected deno content identity,any spawning host,effect-build-deno,preflight+launch+execution,CO-DEN-09,official-upstream v2.9.5,established,DENO-OP-009;DENO-CL-027..029
SC-D-10,operation,deno,deno compile produces a durable target executable from selected Deno plus acquired denort (stable),selected deno; config/import-map/lock/npm; includes; permissions,selected-command,one-shot,caller-owned-value,provider-direct-durable (wrapper publishes atomically),wrapper-typed + provider diagnostics; acquisition failures explicit,scope terminates child; cache cleanup empirical,selected deno content identity+channel+revision+acquisition provenance,six target triples; denort relation per target,effect-build-deno,all phases,CO-DEN-10,official-upstream v2.9.5+released wrapper,established,DENO-OP-010;D07
SC-D-11,operation,deno,deno compile --watch is a scoped child repeatedly replacing its output,selected deno,selected-command,scoped-process,long-lived-handle,provider-direct-durable,rebuild/replacement laws empirical,scope terminates child; empirical,selected deno content identity,any spawning host,effect-build-deno,preflight+launch+execution,CO-DEN-11,official-upstream v2.9.5,established,DENO-OP-011
SC-D-12,request mode,deno,write=false selects structured memory topology; outputPath/outputDir+write selects direct filesystem publication,,host-api,,,,,,,,,,CO-DEN-01;CO-DEN-02,official-upstream,established,DENO-CL-001;DENO-CL-002
SC-D-13,modifier,deno,Bundle modifiers: format esm|cjs|iife; platform browser|deno; codeSplitting; inlineImports; packages bundle|external + external patterns; sourcemap linked|inline|external; minify; keep-names,,,,,,,,,,,,CO-DEN-01..CO-DEN-04,official-upstream,established,DENO-CL-003..007;DENO-CL-016
SC-D-14,result field,deno,"BundleResult carries success, errors, warnings, optional outputFiles with path/bytes/hash/text()",,,,,,,,,,,,CO-DEN-01;CO-DEN-02,official-upstream,established,DENO-CL-008;DENO-CL-009
SC-D-15,sub-operation,deno,--check performs type checking before bundle emission,,,,,,,,,,,,CO-DEN-04;CO-DEN-06,official-upstream,established,DENO-CL-017
SC-D-16,sub-operation,deno,Bundling ensures a platform-specific esbuild 0.25.5 helper selected from build-host OS/arch and may acquire it if absent,,,,,,,,,,,,CO-DEN-01..CO-DEN-06,official-upstream,established,DENO-CL-013;DENO-CL-014
SC-D-17,sub-operation,deno,denort acquisition chain: DENORT_BIN override; archive derived from engine+target; channel-keyed path (canary git hash vs release version); DENO_DIR cache; dl.deno.land download with atomic cache write; unpack and append standalone data,,,,,,,,,,,,CO-DEN-10,official-upstream,established,DENO-CL-038..041;D08
SC-D-18,relation,deno,Host Deno.bundle carries the caller PermissionsContainer; directly selected deno bundle runs under trusted CLI authority,,,,,,,,,,,,CO-DEN-01;CO-DEN-02;CO-DEN-03;CO-DEN-04,official-upstream,established,DENO-CL-011;DENO-CL-012;D10
SC-D-19,relation,deno,Exactly six compile target triples are advertised at v2.9.5; build host authority is independent of requested target,,,,,,,,,,,,CO-DEN-10,official-upstream,established,DENO-CL-031;DENO-CL-042;DENO-CL-032..037
SC-D-20,relation,deno,Deno identity includes release channel and acquisition provenance; a version string alone is never the identity,,,,,,,,,,,,CO-DEN-01..CO-DEN-11,official-upstream,established,DENO-CL-039;Deno-report-channel-section
SC-D-21,relation,deno,HTML entrypoints require outdir and reject outputPath on the CLI,,,,,,,,,,,,CO-DEN-04,official-upstream,established,DENO-CL-020
SC-D-22,relation,deno,Transpile: multiple inputs cannot use one --output; separate source maps invalid with stdout; relative inputs resolve from initial cwd,,,,,,,,,,,,CO-DEN-07;CO-DEN-08,official-upstream,established,DENO-CL-024..026
SC-D-23,relation,deno,Declaration topology: outdir preserves relative structure; -o places declarations beside output; bundle declarations roll per-entry re-export closure (distinct from transpile declarations),,,,,,,,,,,,CO-DEN-06;CO-DEN-09,official-upstream,established,DENO-CL-019;DENO-CL-029
SC-D-24,runtime capability,deno,v2.9.5 denort's default BundleProvider reports Deno.bundle unavailable in compiled binaries; Deno 2.9.3 recorded execution observed the same absence,,,runtime-lookup,,,,,denort identity embedded in artifact,artifact runtime,effect-build-deno,artifact runtime,RC-DEN-01,official-upstream+recorded-execution,falsified-availability,DENO-CL-046;DENO-CL-051;D09
SC-D-25,post-production mutation,deno,Compile appends standalone data to the base and performs target-specific correctness steps before publication; no distribution-trust claim,,,,,,,,,,,,CO-DEN-10,official-upstream,established,DENO-CL-047
SC-D-26,architecture-law,deno,Bundle experimental status must not infect stable compile/transpile identities (operation-level status per D6),,,,,,,,,,,,,governance,accepted,DENO-CL-048;D6
SC-D-27,architecture-law,deno,Runtime/helper acquisition must be explicit and observable; there is no truthful silent-offline-fallback state,,,,,,,,,,,,,governance+official-upstream,accepted,DENO-CL-049;DENO-CL-041
SC-D-28,portable-role,deno,Provider-native Deno outputs do not prove BrowserModulePayload conformance; the compiled program is not required to expose host Deno.bundle,,,,,,,,,,,,,proposal,proposed,DENO-CL-050;R5-handoff
SC-D-29,relation,deno,The historical Deno 2.9.3 no-grant permission observation contradicted older declaration expectations; exact falsifier at that coordinate only; v2.9.5 requires re-execution,,,,,,,,,,,,CO-DEN-01;CO-DEN-02,recorded-execution,falsified-at-coordinate,DENO-CL-052;DENO-EV-012
SC-E-01,operation,esbuild,build with write:false returns caller-owned OutputFiles and publishes nothing,BuildOptions; plugins,in-process-api,one-shot,caller-owned-value,none,BuildFailure errors/warnings,no provider cancellation; child continues,five-component package identity,node/deno/browser-wasm; bun unproven,effect-build-esbuild,preflight+first-use+execution,CO-ESB-01,package+tagged-source 0.28.2,established,ESB-OP-01;CLM-001;E01
SC-E-02,operation,esbuild,build with write:true and destination writes provider-direct durable files and returns no outputFiles,BuildOptions + outfile/outdir,in-process-api,one-shot,caller-owned-value,provider-direct-durable,no rollback; 0.28.2-only input-overwrite protection,no cancellation; may write after fiber release,five-component package identity,node/deno; browser throws,effect-build-esbuild,preflight+execution,CO-ESB-02,package+tagged-source 0.28.2,established,ESB-OP-02;CLM-002
SC-E-03,operation,esbuild,transform converts one source unit text-to-text,TransformOptions + one source,in-process-api,one-shot,caller-owned-value,none,TransformFailure with messages,no cancellation; tmp-file cleanup unproven,five-component package identity,node/deno/browser-wasm,effect-build-esbuild,execution,CO-ESB-03,package+tagged-source 0.28.2,established,ESB-OP-03;CLM-003;E02
SC-E-04,operation,esbuild,analyzeMetafile renders a caller-held metafile into provider report text,Metafile + options,in-process-api,one-shot,caller-owned-value,none,rejects invalid input,no cancellation,five-component package identity,node/deno/browser-wasm,effect-build-esbuild,execution,CO-ESB-04,package+tagged-source 0.28.2,established,ESB-OP-04;CLM-004;E10
SC-E-05,operation,esbuild,formatMessages renders PartialMessages with the provider's own terminal formatter,PartialMessage[] + options,in-process-api,one-shot,caller-owned-value,none,rejects invalid kind,no cancellation,five-component package identity,node/deno/browser-wasm,effect-build-esbuild,execution,CO-ESB-05,package+tagged-source 0.28.2,established,ESB-OP-05;CLM-005
SC-E-06,operation,esbuild,buildSync memory is a blocking node-only operation refusing plugins,BuildOptions write:false,in-process-api,one-shot,caller-owned-value,none,synthetic worker errors; 16MiB ceiling,no interruption point,five-component package identity,node only,effect-build-esbuild,execution,CO-ESB-06,package+tagged-source 0.28.2,established,ESB-OP-06;CLM-006
SC-E-07,operation,esbuild,buildSync direct-write is blocking with provider-direct durable writes and no interruption point,BuildOptions write:true,in-process-api,one-shot,caller-owned-value,provider-direct-durable,as SC-E-06 plus write hazards,no interruption point,five-component package identity,node only,effect-build-esbuild,execution,CO-ESB-07,package+tagged-source 0.28.2,established,ESB-OP-07;CLM-007
SC-E-08,operation,esbuild,transformSync is a blocking node-only transform,TransformOptions,in-process-api,one-shot,caller-owned-value,none,as SC-E-06,no interruption point,five-component package identity,node only,effect-build-esbuild,execution,CO-ESB-08,package+tagged-source 0.28.2,established,ESB-OP-08;CLM-008
SC-E-09,operation,esbuild,analyzeMetafileSync is a blocking node-only render,Metafile,in-process-api,one-shot,caller-owned-value,none,as SC-E-06,no interruption point,five-component package identity,node only,effect-build-esbuild,execution,CO-ESB-09,package+tagged-source 0.28.2,established,ESB-OP-09;CLM-009
SC-E-10,operation,esbuild,formatMessagesSync is a blocking node-only render,PartialMessage[],in-process-api,one-shot,caller-owned-value,none,as SC-E-06,no interruption point,five-component package identity,node only,effect-build-esbuild,execution,CO-ESB-10,package+tagged-source 0.28.2,established,ESB-OP-10;CLM-010
SC-E-11,operation,esbuild,context with write:false acquires one scoped state owner with no durable output,BuildOptions captured immutably,in-process-api,scoped-context,long-lived-handle,none,rebuild BuildFailure; post-dispose untyped,cancel best-effort; dispose maps to Scope,five-component package identity,node/deno/browser-wasm partial; bun unproven,effect-build-esbuild,preflight+execution,CO-ESB-11,package+tagged-source+recorded lifecycle,established,ESB-OP-11;CLM-011;E03
SC-E-12,operation,esbuild,context with write:true acquires a state owner whose every rebuild republishes provider-direct durable files,BuildOptions captured immutably,in-process-api,scoped-context,long-lived-handle,provider-direct-durable,mixed-generation trees possible,as SC-E-11,five-component package identity,node/deno; bun unproven,effect-build-esbuild,preflight+execution,CO-ESB-12,package+tagged-source,established,ESB-OP-12;CLM-012
SC-E-13,operation,esbuild,stop() terminates the process-global shared native child (reset not release),no arguments,in-process-api,one-shot,none,none,no structured failure; host-divergent await,not a cancellation mechanism,five-component package identity,node/deno/browser,effect-build-esbuild,execution,CO-ESB-13,package+tagged-source,established,ESB-OP-13;CLM-013;E12
SC-E-14,operation,esbuild,initialize() consumes a process-global once-only latch,InitializeOptions,in-process-api,one-shot,none,none,second call throws,none,five-component package identity,browser mandatory; node/deno near no-op,effect-build-esbuild,execution,CO-ESB-14,package+tagged-source,established,ESB-OP-14;CLM-014
SC-E-15,operation,esbuild,selected esbuild fed on stdin and read from stdout is a one-shot command with no publication,selected binary; argv/cwd/env/stdin,selected-command,one-shot,caller-owned-value,none,non-zero exit + human stderr bytes,scope owns child,content digest of selected file,any spawning host,effect-build-esbuild,preflight+launch+execution,CO-ESB-15,package+recorded --version/--help,established,ESB-OP-15;CLM-015;E11
SC-E-16,operation,esbuild,selected esbuild with --outfile/--outdir performs provider-direct durable writes,selected binary,selected-command,one-shot,caller-owned-value,provider-direct-durable,partial durable output possible,scope owns child,content digest of selected file,any spawning host,effect-build-esbuild,preflight+launch+execution,CO-ESB-16,package+recorded CLI surface,established,ESB-OP-16;CLM-016
SC-E-17,operation,esbuild,selected esbuild --watch is a scoped process with stdin-bound lifetime and repeated durable writes,selected binary + watch flags,selected-command,scoped-process,long-lived-handle,provider-direct-durable,human rebuild text only,two non-equivalent termination channels,content digest of selected file,any spawning host,effect-build-esbuild,preflight+launch+execution,CO-ESB-17,package+recorded CLI surface,established,ESB-OP-17;CLM-017
SC-E-18,operation,esbuild,selected esbuild --serve is a scoped process owning a network listener whose address is human text only,selected binary + serve flags,selected-command,scoped-process,long-lived-handle,none,address parsing forbidden,scope signals process,content digest of selected file,any spawning host; Windows hole,effect-build-esbuild,preflight+launch+execution,CO-ESB-18,package+recorded CLI surface,established,ESB-OP-18;CLM-018
SC-E-19,operation,esbuild,build with write:true and no destination prints bundle bytes to host stdout via console.log ({none;none}),BuildOptions,in-process-api,one-shot,none,none,side effect may precede interruption,no cancellation,five-component package identity,node/deno; bun unproven,effect-build-esbuild,preflight (typed refusal),CO-ESB-19,tagged-source,established,ESB-OP-19;CLM-019
SC-E-20,sub-operation,esbuild,context.rebuild reuses captured options and buildKey; concurrent calls coalesce into one shared result promise,,,,,,,,,,,,CO-ESB-11;CO-ESB-12,tagged-source,established,CLM-020;CLM-110;E04
SC-E-21,sub-operation,esbuild,context.watch accepts only delay and resolves on acknowledgment; watch-rebuild results are observable only through plugin onEnd,,,,,,,,,,,,CO-ESB-11;CO-ESB-12,tagged-source,established,CLM-021;CLM-027;CLM-048;E05
SC-E-22,sub-operation,esbuild,"context.serve returns {port, hosts} with no stop member; release only by dispose",,,,,,,,,,,,CO-ESB-11;CO-ESB-12,tagged-source,established,CLM-022;CLM-070;E06
SC-E-23,sub-operation,esbuild,"context.cancel resolves on any response, never rejects, silently resolves after dispose (best-effort only)",,,,,,,,,,,,CO-ESB-11;CO-ESB-12,tagged-source,established,CLM-023;CLM-111;E07
SC-E-24,sub-operation,esbuild,context.dispose is idempotent via didDispose and settles before plugin onDispose callbacks run (setTimeout scheduling),,,,,,,,,,,,CO-ESB-11;CO-ESB-12,tagged-source,established,CLM-024;CLM-030;CLM-109;E08
SC-E-25,sub-operation,esbuild,post-dispose rebuild/watch/serve are unguarded; their outcome is decided by the native child not a typed JS error,,,,,,,,,,,,CO-ESB-11;CO-ESB-12,tagged-source,established,CLM-112;LAW-ESB-08
SC-E-26,sub-operation,esbuild,Plugin hooks (resolve/onStart/onEnd/onResolve/onLoad/onDispose; serve onRequest) are per-build sub-operations with full host authority; plugins may contribute watchFiles/watchDirs,,,,,,,,,,,,CO-ESB-01;CO-ESB-02;CO-ESB-11;CO-ESB-12,tagged-source,established,CLM-025..031;CLM-041;E09
SC-E-27,request mode,esbuild,write defaults to streamIn.hasFS (true on node/deno); memory mode requires explicit write:false,,,,,,,,,,,,CO-ESB-01;CO-ESB-02,tagged-source,established,CLM-034
SC-E-28,request mode,esbuild,"entryPoints accepts three request shapes (string[], {in,out}[], record); stdin supplies one synthetic unit as an alternative",,,,,,,,,,,,CO-ESB-01;CO-ESB-02;CO-ESB-15,tagged-source,established,CLM-032;CLM-033
SC-E-29,request mode,esbuild,"Resolution-authority family (external, packages, alias, conditions, mainFields, resolveExtensions, preserveSymlinks, nodePaths, tsconfig/tsconfigRaw) must be forwarded without reinterpretation; plugins have no command-lane form at all",,,,,,,,,,,,CO-ESB-01;CO-ESB-02;CO-ESB-15;CO-ESB-16,tagged-source,established,CLM-037;CLM-039;CLM-040
SC-E-30,modifier,esbuild,"esbuild target is syntax/engine lowering and platform is a syntax/resolution environment; neither is Bun's OS/arch/libc target nor Node SEA's base coupling (three axes, one word)",,,,,,,,,,,,CO-ESB-01..CO-ESB-03,tagged-source,established,CLM-050;CLM-051
SC-E-31,modifier,esbuild,metafile:true adds a result field in-process while --metafile=PATH writes a JSON file on the command lane; the lanes must not share a name or policy,,,,,,,,,,,,CO-ESB-01;CO-ESB-02;CO-ESB-16,tagged-source,established,CLM-044;CLM-091;CLM-119
