operation_id,kind,provider,operation,lane,lifecycle,resource_result,provider_publication,published_contract,identity_owner,semantic_identity,request_authority,failure_law,interruption_law,provider_implementation_identity,host_target_relations,compatibility_owner,evaluation_phase,upstream_status,provenance,semantic_disposition,product_priority,compatibility_commitment,implementation_status,certification_status,evidence_refs,source_refs,notes
CO-BUN-11,operation,bun,compile-executable,host-api,one-shot,caller-owned-value,provider-direct-durable,provider-direct-durable,provider-native,"bun / compile-executable / host-api / one-shot / {caller-owned-value, provider-direct-durable}",Bun.build({compile}); entry or full-stack; embedded files/workers; target tuple; bytecode; Windows metadata; implicit|explicit outfile,AggregateError/default throw; cross-target acquisition and partial-write/cleanup behavior unknown,No cancellation handle,Bun host runtime exact version+revision,OS/arch/libc/CPU-baseline target tuple relation; cross-target runtime acquisition is a visible sub-operation mutating cache,effect-build-bun,operation preflight + execution,documented,upstream-declaration+documentation+recorded-execution,established,candidate,uncommitted,not-implemented,not-certified,EC-BUN-SRC;EC-BUN-DOC;EC-BUN-RECEIPT-HOSTAPI,OP-BUN-011;B09;B10,No memory result mode evidenced for compile (outfile implicit|explicit always); crosswalk's compile-executable-memory candidate dropped pending probe (MSD-07)
CO-BUN-12,operation,bun,compile-executable,selected-command,one-shot,caller-owned-value,provider-direct-durable,atomic-published-durable,product-wrapper-over-provider-command,"bun / compile-executable / selected-command / one-shot / {caller-owned-value, atomic-published-durable}",selected bun executable; --compile; target tuple; embedded files/workers; bytecode; effect-build staging subset,Typed command/validation/publication failures at wrapper; provider emits non-zero exit + human diagnostics,Interruption follows command runner and closes staging scope; provider cancellation/cleanup uncertified,selected command content identity + version/revision,OS/arch/libc/CPU target tuple relation; acquisition sub-operation,effect-build-bun,all six phases,documented,upstream-documentation+recorded-execution+effect-build-implementation,established,candidate,current package supports exact Bun 1.3.9 pin only,implemented,not-certified,EC-BUN-DOC;EC-BUN-RECEIPT-PROVIDER;EC-EB-IMPL,OP-BUN-012;OP-BUN-013;B09,Merges Bun supplement OP-BUN-012/013: one public identity whose published contract is wrapper-owned atomic publication over a provider-direct native command (MSD-01)
CO-BUN-13,operation,bun,plugin-register-global,host-api,one-shot,none,none,none,provider-native,"bun / plugin-register-global / host-api / one-shot / {none, none}",ambient global registration (Bun.plugin); target; lifecycle hooks,Provider callback/setup failures; ordering and concurrent-build interaction uncertified,No cancellation protocol; lifetime is ambient,Bun host runtime exact version+revision,host = Bun runtime,effect-build-bun,execution,documented,upstream-declaration+documentation,established,reject,none,not-implemented,not-certified,EC-BUN-SRC;EC-BUN-DOC,OP-BUN-014;B06,Ambient mutable authority without scoped ownership; lane corrected from supplement's runtime-api to host-api (MSD-11)
CO-BUN-14,operation,bun,plugin-clear-global,host-api,one-shot,none,none,none,provider-native,"bun / plugin-clear-global / host-api / one-shot / {none, none}",ambient global registry mutation (Bun.plugin.clearAll),No structured failure contract; active/concurrent-build races untested,No cancellation protocol,Bun host runtime exact version+revision,host = Bun runtime,effect-build-bun,execution,documented,upstream-declaration,established,reject,none,not-implemented,not-certified,EC-BUN-SRC,OP-BUN-015,Global clear cannot be made scope-safe by a thin wrapper
CO-DEN-01,operation,deno,bundle-memory,host-api,one-shot,caller-owned-value,none,none,provider-native,"deno / bundle-memory / host-api / one-shot / {caller-owned-value, none}",Deno host; BundleOptions write=false; caller PermissionsContainer carried by host path,Result carries success/errors/warnings; failure shapes source-established; permission enforcement execution-pending,Cancellation unknown; helper esbuild child cleanup on interruption unknown,selected Deno executable content identity + version + channel + revision + esbuild-helper 0.25.5 relation,host = Deno runtime; platform browser|deno is request mode,effect-build-deno,operation preflight + execution,experimental,official-upstream tagged source v2.9.5,established,candidate-experimental,exact identities only; unadmitted until execution,not-implemented,not-certified,EC-DEN-SRC;EC-DEN-RECEIPT,DENO-OP-001;D01;D10,Experimental status is operation-level (D6); historical 2.9.3 permission contradiction is an exact falsifier not projectable to 2.9.5
CO-DEN-02,operation,deno,bundle-direct-write,host-api,one-shot,caller-owned-value,provider-direct-durable,provider-direct-durable,provider-native,"deno / bundle-direct-write / host-api / one-shot / {caller-owned-value, provider-direct-durable}",Deno host; outputPath/outputDir with write; caller permission plumbing to writer,Partial-write and interruption remnants unknown; no atomicity claim,Cancellation unknown,selected Deno executable identity + version + channel + revision + helper relation,host = Deno runtime,effect-build-deno,operation preflight + execution,experimental,official-upstream tagged source v2.9.5,established,candidate-experimental,exact identities only,not-implemented,not-certified,EC-DEN-SRC,DENO-OP-002;D02,
CO-DEN-03,operation,deno,bundle-stdout,selected-command,one-shot,caller-owned-value,none,none,provider-native,"deno / bundle-stdout / selected-command / one-shot / {caller-owned-value, none}",selected deno executable; project/config/import-map/lock/npm authority; initial cwd,Non-zero exit and human stderr; stdout framing/interruption need command receipt,Child signaling; untested,selected deno content identity + version + channel + revision,any spawning host,effect-build-deno,operation preflight + launch boundary + execution,experimental,official-upstream tagged source v2.9.5,established,candidate-experimental,exact identities only,not-implemented,not-certified,EC-DEN-SRC,DENO-OP-003;D03,Finite stdout collection; raw stream would be separate scoped-process identity
CO-DEN-04,operation,deno,bundle-direct-write,selected-command,one-shot,caller-owned-value,provider-direct-durable,provider-direct-durable,provider-native,"deno / bundle-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}",selected deno executable; outdir/output; HTML entrypoints require outdir; project authority,Partial durable outcomes need execution; no atomicity claim,Child signaling; untested,selected deno content identity + version + channel + revision,any spawning host,effect-build-deno,operation preflight + launch boundary + execution,experimental,official-upstream tagged source v2.9.5,established,candidate-experimental,exact identities only,not-implemented,not-certified,EC-DEN-SRC;EC-DEN-RECEIPT,DENO-OP-004;D04,
CO-DEN-05,operation,deno,bundle-watch,selected-command,scoped-process,long-lived-handle,provider-direct-durable,provider-direct-durable,provider-native,"deno / bundle-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}",selected deno executable; watch flags; project authority,Raw diagnostics and exit/signal only; typed event boundary falsified,Scope terminates child; reap/termination/remnants empirical,selected deno content identity + version + channel + revision,any spawning host,effect-build-deno,operation preflight + launch boundary + execution,experimental,official-upstream tagged source v2.9.5,established,candidate-experimental,exact identities only,not-implemented,not-certified,EC-DEN-SRC,DENO-OP-005;D05,Internal esbuild context use creates no public typed protocol
CO-DEN-06,operation,deno,bundle-declarations,selected-command,one-shot,caller-owned-value,provider-direct-durable,provider-direct-durable,provider-native,"deno / bundle-declarations / selected-command / one-shot / {caller-owned-value, provider-direct-durable}",selected deno executable; --declaration; graph + type-check authority; per-entry re-export roll-up topology,Type-check failures join build failure surface; closure/topology adversarial execution remains,Child signaling; untested,selected deno content identity + version + channel + revision,any spawning host,effect-build-deno,operation preflight + launch boundary + execution,experimental,official-upstream tagged source v2.9.5,established,candidate-experimental,exact identities only,not-implemented,not-certified,EC-DEN-SRC,DENO-OP-006;D06,Resolves the merged D06 API/command row to command lane only: no host-api declaration mode evidenced at v2.9.5 (MSD-05); --check remains a sub-operation
CO-DEN-07,operation,deno,transpile-stdout,selected-command,one-shot,caller-owned-value,none,none,provider-native,"deno / transpile-stdout / selected-command / one-shot / {caller-owned-value, none}",selected deno executable; one input; compiler options from configuration scope,Non-zero exit and diagnostics; separate maps invalid in stdout mode,Child signaling; untested,selected deno content identity + version + channel + revision,any spawning host,effect-build-deno,operation preflight + launch boundary + execution,stable,official-upstream tagged source v2.9.5,established,ship-candidate,support cells pending execution,not-implemented,not-certified,EC-DEN-SRC,DENO-OP-007,Transpile is not bundling; stable identity independent of experimental bundle (D6 isolation law)
CO-DEN-08,operation,deno,transpile-direct-write,selected-command,one-shot,caller-owned-value,provider-direct-durable,provider-direct-durable,provider-native,"deno / transpile-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}",selected deno executable; multi-input outdir topology; source-map modes,Partial-write/interruption remnants empirical; no atomic-tree claim,Child signaling; untested,selected deno content identity + version + channel + revision,any spawning host,effect-build-deno,operation preflight + launch boundary + execution,stable,official-upstream tagged source v2.9.5,established,ship-candidate,support cells pending execution,not-implemented,not-certified,EC-DEN-SRC,DENO-OP-008,
CO-DEN-09,operation,deno,transpile-declarations,selected-command,one-shot,caller-owned-value,provider-direct-durable,provider-direct-durable,provider-native,"deno / transpile-declarations / selected-command / one-shot / {caller-owned-value, provider-direct-durable}",selected deno executable; --declaration; npm-resolving graph + type checker; common compiler-options scope required,Type-check failures; mixed-scope rejection; declaration partial failure empirical,Child signaling; untested,selected deno content identity + version + channel + revision,any spawning host,effect-build-deno,operation preflight + launch boundary + execution,stable,official-upstream tagged source v2.9.5,established,ship-candidate,support cells pending execution,not-implemented,not-certified,EC-DEN-SRC,DENO-OP-009,Distinct topology from bundle declarations; the two must not be normalized into one declaration concept
CO-DEN-10,operation,deno,compile-executable,selected-command,one-shot,caller-owned-value,provider-direct-durable,atomic-published-durable,product-wrapper-over-provider-command,"deno / compile-executable / selected-command / one-shot / {caller-owned-value, atomic-published-durable}",selected deno executable; config/import-map/lock/npm; includes/VFS; embedded permissions; six-target set,Wrapper-typed failures; provider diagnostics; denort acquisition failures are explicit relation failures never silent fallback,Interruption closes scope and terminates child; acquisition/cache mutation cleanup empirical,selected deno content identity + version + channel + revision + acquisition provenance; denort relation,six advertised target triples; host independent of target; denort archive relation per target; DENORT_BIN override relation,effect-build-deno,all six phases,stable,official-upstream tagged source v2.9.5 + released wrapper,established,ship-candidate,support cells pending target/acquisition execution,released predecessor; 0.4 not-started,not-certified,EC-DEN-SRC;EC-DEN-TARGETS;EC-CM-COMPILE,DENO-OP-010;D07;D08,Provider-native publication corrected to provider-direct-durable: no atomic-claim evidence for the final executable write at v2.9.5; supplement's atomic label applied only to the wrapper contract and the denort cache write (MSD-02)
CO-DEN-11,operation,deno,compile-watch,selected-command,scoped-process,long-lived-handle,provider-direct-durable,provider-direct-durable,provider-native,"deno / compile-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}",selected deno executable; compile watch flags,Rebuild/coalescing/interruption/reaping laws require exact execution,Scope terminates child; empirical,selected deno content identity + version + channel + revision,any spawning host,effect-build-deno,operation preflight + launch boundary + execution,stable,official-upstream tagged source v2.9.5,established,defer,uncommitted,not-implemented,not-certified,EC-DEN-SRC,DENO-OP-011,Supplement's atomic-published label rejected for repeated watch replacement with zero atomicity evidence (MSD-02)
CO-ESB-01,operation,esbuild,build-memory,in-process-api,one-shot,caller-owned-value,none,none,provider-native,"esbuild / build-memory / in-process-api / one-shot / {caller-owned-value, none}",BuildOptions with explicit write:false (write defaults true on filesystem hosts); plugins carry host authority,BuildFailure with errors/warnings arrays; OutputFile.hash algorithm undeclared,No provider cancellation for one-shot; fiber stops awaiting; native child continues,package version + declaration bytes + platform package + native-binary digest + Go toolchain revision,node/deno/browser-wasm; bun unproven; browser rejects write,effect-build-esbuild,operation preflight + first-use coherence check + execution,stable,package+tagged-source 0.28.2,established,candidate,uncommitted,not-implemented,not-certified,EC-ESB-PKG;EC-ESB-SRC;EC-ESB-RECEIPT,ESB-OP-01;E01,
CO-ESB-02,operation,esbuild,build-direct-write,in-process-api,one-shot,caller-owned-value,provider-direct-durable,provider-direct-durable,provider-native,"esbuild / build-direct-write / in-process-api / one-shot / {caller-owned-value, provider-direct-durable}",BuildOptions write:true + outfile/outdir; allowOverwrite; output-topology modes,No staging/rollback; 0.28.2-only input-overwrite protection on build error (regressed 0.17.0-0.28.1); interruption behavior unstated,No provider cancellation; child may still be writing after fiber release,five-component identity as CO-ESB-01,node/deno; bun unproven; browser throws on write,effect-build-esbuild,operation preflight + execution,stable,package+tagged-source 0.28.2,established,candidate,uncommitted,not-implemented,not-certified,EC-ESB-PKG;EC-ESB-SRC;EC-ESB-CHANGELOG,ESB-OP-02;E01,
CO-ESB-03,operation,esbuild,transform,in-process-api,one-shot,caller-owned-value,none,none,provider-native,"esbuild / transform / in-process-api / one-shot / {caller-owned-value, none}",TransformOptions + one source unit; single loader; no graph/plugins/destination,Rejected TransformFailure carries structured messages; large inputs stage a tmp file (undocumented side effect),No provider cancellation; tmp-file cleanup on interruption unproven,five-component identity,node/deno/browser-wasm; bun unproven,effect-build-esbuild,execution,stable,package+tagged-source 0.28.2,established,candidate,uncommitted,not-implemented,not-certified,EC-ESB-PKG;EC-ESB-SRC,ESB-OP-03;E02,Must never be modeled as a degenerate build
CO-ESB-04,operation,esbuild,analyze-metafile,in-process-api,one-shot,caller-owned-value,none,none,provider-native,"esbuild / analyze-metafile / in-process-api / one-shot / {caller-owned-value, none}",Metafile or JSON string + options,Rejects on invalid input; result is human text with no machine contract,No provider cancellation,five-component identity,node/deno/browser-wasm; bun unproven,effect-build-esbuild,execution,stable,package+tagged-source 0.28.2,established,candidate,uncommitted,not-implemented,not-certified,EC-ESB-PKG;EC-ESB-SRC,ESB-OP-04;E10,Law: preserve schema; never parse the returned text
CO-ESB-05,operation,esbuild,format-messages,in-process-api,one-shot,caller-owned-value,none,none,provider-native,"esbuild / format-messages / in-process-api / one-shot / {caller-owned-value, none}",PartialMessage[] + kind/color/terminalWidth/logStyle,Rejects on invalid kind; renders strings only,No provider cancellation,five-component identity,node/deno/browser-wasm; bun unproven,effect-build-esbuild,execution,stable,package+tagged-source 0.28.2,established,candidate-low,uncommitted,not-implemented,not-certified,EC-ESB-PKG;EC-ESB-SRC,ESB-OP-05,Absent from imported inventory; upstream's own diagnostic renderer (D2 preservation)
CO-ESB-06,operation,esbuild,build-memory-sync,in-process-api,one-shot,caller-owned-value,none,none,provider-native,"esbuild / build-memory-sync / in-process-api / one-shot / {caller-owned-value, none}",BuildOptions write:false; plugins refused,Synthetic worker-path errors; 16MiB ceiling (ENOBUFS),Blocking; no interruption point at all,five-component identity,node only,effect-build-esbuild,execution,stable,package+tagged-source 0.28.2,established,reject,none,not-implemented,not-certified,EC-ESB-PKG;EC-ESB-SRC,ESB-OP-06,Rejected: false interruption promise + lost plugin authority + host absence + complete async twin
CO-ESB-07,operation,esbuild,build-direct-write-sync,in-process-api,one-shot,caller-owned-value,provider-direct-durable,provider-direct-durable,provider-native,"esbuild / build-direct-write-sync / in-process-api / one-shot / {caller-owned-value, provider-direct-durable}",BuildOptions write:true + destination; plugins refused,As CO-ESB-06 plus direct-write hazards with no interruption point,Blocking,five-component identity,node only,effect-build-esbuild,execution,stable,package+tagged-source 0.28.2,established,reject,none,not-implemented,not-certified,EC-ESB-PKG;EC-ESB-SRC,ESB-OP-07,
CO-ESB-08,operation,esbuild,transform-sync,in-process-api,one-shot,caller-owned-value,none,none,provider-native,"esbuild / transform-sync / in-process-api / one-shot / {caller-owned-value, none}",TransformOptions + one source,As CO-ESB-06; sync tmp-file staging,Blocking,five-component identity,node only,effect-build-esbuild,execution,stable,package+tagged-source 0.28.2,established,reject,none,not-implemented,not-certified,EC-ESB-PKG;EC-ESB-SRC,ESB-OP-08,
CO-ESB-09,operation,esbuild,analyze-metafile-sync,in-process-api,one-shot,caller-owned-value,none,none,provider-native,"esbuild / analyze-metafile-sync / in-process-api / one-shot / {caller-owned-value, none}",Metafile + options,As CO-ESB-06,Blocking,five-component identity,node only,effect-build-esbuild,execution,stable,package+tagged-source 0.28.2,established,reject,none,not-implemented,not-certified,EC-ESB-PKG;EC-ESB-SRC,ESB-OP-09,
CO-ESB-10,operation,esbuild,format-messages-sync,in-process-api,one-shot,caller-owned-value,none,none,provider-native,"esbuild / format-messages-sync / in-process-api / one-shot / {caller-owned-value, none}",PartialMessage[] + options,As CO-ESB-06,Blocking,five-component identity,node only,effect-build-esbuild,execution,stable,package+tagged-source 0.28.2,established,reject,none,not-implemented,not-certified,EC-ESB-PKG;EC-ESB-SRC,ESB-OP-10,
CO-ESB-11,operation,esbuild,context-memory,in-process-api,scoped-context,long-lived-handle,none,none,provider-native,"esbuild / context-memory / in-process-api / scoped-context / {long-lived-handle, none}",BuildOptions write:false captured immutably at acquisition; WatchOptions.delay; ServeOptions,rebuild rejects BuildFailure; rebuild coalesces concurrent calls; post-dispose rebuild/watch/serve outcome decided by native child (untyped),cancel() best-effort never-failing; dispose() settles before plugin onDispose runs; Scope closure maps to dispose,five-component identity,node/deno/browser-wasm (watch/serve throw on browser); bun unproven,effect-build-esbuild,operation preflight + execution,stable,package+tagged-source 0.28.2 + recorded 0.28.1/0.28.2 lifecycle,established,candidate,uncommitted,not-implemented,not-certified,EC-ESB-PKG;EC-ESB-SRC;EC-ESB-RECEIPT,ESB-OP-11;E03;E04;E05;E06;E07;E08,rebuild/watch/serve/cancel/dispose are sub-operations of this one state owner (grouping law GL-1); falsifier: any independently releasable sub-resource upstream promotes it
CO-ESB-12,operation,esbuild,context-direct-write,in-process-api,scoped-context,long-lived-handle,provider-direct-durable,provider-direct-durable,provider-native,"esbuild / context-direct-write / in-process-api / scoped-context / {long-lived-handle, provider-direct-durable}",BuildOptions write:true + destination captured at acquisition,Every rebuild and watch-triggered rebuild republishes without staging/rollback; mixed-generation trees possible,As CO-ESB-11,five-component identity,node/deno; bun unproven,effect-build-esbuild,operation preflight + execution,stable,package+tagged-source 0.28.2,established,candidate,uncommitted,not-implemented,not-certified,EC-ESB-PKG;EC-ESB-SRC,ESB-OP-12;E03,Split from CO-ESB-11 by publication law
CO-ESB-13,operation,esbuild,stop-shared-service,in-process-api,one-shot,none,none,none,provider-native,"esbuild / stop-shared-service / in-process-api / one-shot / {none, none}",no arguments; process-global effect,No structured failure; on node resolves before exit observed; deno awaits,Not a cancellation mechanism; cannot be scoped,five-component identity,node/deno/browser,effect-build-esbuild,execution,documented,package+tagged-source 0.28.2,established,reject,none,not-implemented,not-certified,EC-ESB-PKG;EC-ESB-SRC,ESB-OP-13;E12,Terminates the process-global child under every live context including foreign owners; must remain uncalled and unexposed
CO-ESB-14,operation,esbuild,initialize-shared-service,in-process-api,one-shot,none,none,none,provider-native,"esbuild / initialize-shared-service / in-process-api / one-shot / {none, none}",InitializeOptions (wasm fields browser-only),Second call throws (process-global once-only latch),none,five-component identity,browser mandatory; node/deno near no-op,effect-build-esbuild,execution,documented,package+tagged-source 0.28.2,established,reject,none,not-implemented,not-certified,EC-ESB-PKG;EC-ESB-SRC,ESB-OP-14,A library must not spend a consumer's global once-only token
CO-ESB-15,operation,esbuild,build-stdout,selected-command,one-shot,caller-owned-value,none,none,provider-native,"esbuild / build-stdout / selected-command / one-shot / {caller-owned-value, none}",selected esbuild executable (two possible bin forms); argv/cwd/env/stdin,Non-zero exit + human stderr bytes; no Message[]; no plugins,Scope owns child; signal semantics differ between native-binary and node-shim forms,content digest of the file actually selected (path meaning decided at install time),any spawning host; three WASM-fallback platforms run node+wasm,effect-build-esbuild,operation preflight + launch boundary + execution,stable,package+recorded --version/--help at linux-x64,established,candidate,uncommitted,not-implemented,not-certified,EC-ESB-PKG;EC-ESB-CLI-EXEC,ESB-OP-15;E11,Mandatory preflight: record selected bin form by content digest (LAW-ESB-13 adopted)
CO-ESB-16,operation,esbuild,build-direct-write,selected-command,one-shot,caller-owned-value,provider-direct-durable,provider-direct-durable,provider-native,"esbuild / build-direct-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}",selected esbuild executable; --outfile/--outdir; --metafile=PATH and --mangle-cache=PATH write files (extra durable outputs),Partial durable output possible; no staging/rollback,Scope owns child,content digest of selected file,any spawning host,effect-build-esbuild,operation preflight + launch boundary + execution,stable,package+recorded CLI surface,established,candidate,uncommitted,not-implemented,not-certified,EC-ESB-PKG;EC-ESB-CLI-EXEC,ESB-OP-16;E11,
CO-ESB-17,operation,esbuild,build-watch,selected-command,scoped-process,long-lived-handle,provider-direct-durable,provider-direct-durable,provider-native,"esbuild / build-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}",selected esbuild executable; --watch composes with build flags; lifetime also bound to stdin (--watch=forever detaches),Human rebuild reports on stderr only; typed events forbidden (falsified),Two non-equivalent termination channels (stdin close vs signal); Scope closure must choose and document one,content digest of selected file,any spawning host,effect-build-esbuild,operation preflight + launch boundary + execution,stable,package+recorded CLI surface,established,candidate,uncommitted,not-implemented,not-certified,EC-ESB-PKG;EC-ESB-CLI-EXEC,ESB-OP-17;E11,Not a semantic twin of context watch (different result channel/options/termination/engine)
CO-ESB-18,operation,esbuild,serve,selected-command,scoped-process,long-lived-handle,none,none,provider-native,"esbuild / serve / selected-command / scoped-process / {long-lived-handle, none}",selected esbuild executable; --serve=HOST:PORT; --servedir; TLS files; composes with --watch,Bound address reported only as human text; parsing forbidden,Scope signals process; socket release not separately observable,content digest of selected file,any spawning host; Windows serve hole GHSA-g7r4-m6w7-qqqr,effect-build-esbuild,operation preflight + launch boundary + execution,stable,package+recorded CLI surface,established,defer,uncommitted,not-implemented,not-certified,EC-ESB-PKG;EC-ESB-CLI-EXEC;EC-CM-HOLE-SERVE,ESB-OP-18;E11,Honest only with a pinned port; deferred pending upstream machine-readable address channel or product decision
