source_artifact,source_id,source_kind,mapped_to,mapping,note
provider-operation-inventory.csv @ c4cefd0acc2b,E04,context.rebuild,CO-ESB-11;CO-ESB-12,demoted,rebuild is a sub-operation of the context owner (SC-E-20)
provider-operation-inventory.csv @ c4cefd0acc2b,E05,context.watch,CO-ESB-11;CO-ESB-12,demoted,watch is a sub-operation (SC-E-21)
provider-operation-inventory.csv @ c4cefd0acc2b,E06,context.serve,CO-ESB-11;CO-ESB-12,demoted,serve is a sub-operation (SC-E-22)
provider-operation-inventory.csv @ c4cefd0acc2b,E07,context.cancel,CO-ESB-11;CO-ESB-12,demoted,cancel is a sub-operation (SC-E-23)
provider-operation-inventory.csv @ c4cefd0acc2b,E08,context.dispose,CO-ESB-11;CO-ESB-12,demoted,dispose is the release sub-operation (SC-E-24)
provider-operation-inventory.csv @ c4cefd0acc2b,E09,plugins/loaders,CO-ESB-01;CO-ESB-02;CO-ESB-11;CO-ESB-12,demoted,plugins are a request-mode family + sub-operations (SC-E-26/29)
provider-operation-inventory.csv @ c4cefd0acc2b,E10,metafile/analyze,CO-ESB-04,split,analyzeMetafile is the operation; metafile production is a build result field (SC-E-31/34)
provider-operation-inventory.csv @ c4cefd0acc2b,E11,CLI build/watch/serve,CO-ESB-15;CO-ESB-16;CO-ESB-17;CO-ESB-18,split,four operations by lifetime+publication (MSD-15)
provider-operation-inventory.csv @ c4cefd0acc2b,E12,JS API native child,CO-ESB-13;CO-ESB-14,reclassified,public stop/initialize operations (rejected) + architecture laws SC-E-48/43 (MSD-16)
provider-operation-inventory.csv @ c4cefd0acc2b,S01,direct --build-sea,CO-SEA-01,adopted,
provider-operation-inventory.csv @ c4cefd0acc2b,S02,CommonJS main,CO-SEA-01;CO-SEA-02,demoted,CJS mainFormat is a request mode (SC-S-05; MSD-21)
provider-operation-inventory.csv @ c4cefd0acc2b,S03,ESM main,CO-SEA-01;CO-SEA-02,demoted,ESM mainFormat is a version-gated request mode (SC-S-05)
provider-operation-inventory.csv @ c4cefd0acc2b,S04,asset embedding/runtime API,CO-SEA-01;CO-SEA-02;RC-SEA-01;RC-SEA-02;RC-SEA-03;RC-SEA-04;RC-SEA-05,split,build half is a request mode (SC-S-06); runtime half is the capability family (MSD-11)
provider-operation-inventory.csv @ c4cefd0acc2b,S05,code cache,CO-SEA-01;CO-SEA-02,demoted,code cache is a request mode with relations (SC-S-08)
provider-operation-inventory.csv @ c4cefd0acc2b,S06,startup snapshot,CO-SEA-01;CO-SEA-02,demoted,snapshot is a request mode with relations (SC-S-07)
provider-operation-inventory.csv @ c4cefd0acc2b,S07,execArgv policy,CO-SEA-01;CO-SEA-02,demoted,execArgv/extension are request modes (SC-S-09)
provider-operation-inventory.csv @ c4cefd0acc2b,S08,legacy blob/injection,CO-SEA-02;CO-SEA-03,split,legacy pipeline splits into blob generation and injection operations
provider-operation-inventory.csv @ c4cefd0acc2b,S09,signing/verification,CO-SEA-01;CO-SEA-03,split,candidate-correctness repair stays as sub-operations (SC-S-25/26); distribution trust excluded to R9/M4 (MSD-22)
provider-operation-inventory.csv @ c4cefd0acc2b,S10,builder/base relation,CO-SEA-01;CO-SEA-02;CO-SEA-03,adopted-with-correction,relation generalized to wherever participants are separate (MSD-23)
provider-operation-inventory.csv @ c4cefd0acc2b,F01,ChildProcess command,SC-X-01,reclassified,Effect primitive used directly (D2)
provider-operation-inventory.csv @ c4cefd0acc2b,F02,Scope,SC-X-01,reclassified,Effect primitive used directly
provider-operation-inventory.csv @ c4cefd0acc2b,F03,Stream/Sink,SC-X-01,reclassified,Effect primitive used directly
provider-operation-inventory.csv @ c4cefd0acc2b,F04,FileSystem/Path,SC-X-01,reclassified,Effect primitive used directly
provider-operation-inventory.csv @ c4cefd0acc2b,F05,Context/Layer,SC-X-01,reclassified,Effect primitive used directly
provider-operation-inventory.csv @ c4cefd0acc2b,F06,Cause/interruption,SC-X-01,reclassified,Effect primitive used directly
provider-operation-inventory.csv @ c4cefd0acc2b,F07,logging/tracing,SC-X-01,reclassified,Effect primitive used directly
provider-operation-inventory.csv @ c4cefd0acc2b,R01,NodeMainProgram,SC-X-02,adopted,portable-role proof program (D8)
provider-operation-inventory.csv @ c4cefd0acc2b,R02,BrowserModuleGraphApplication,SC-X-03,adopted-with-correction,narrowed successor BrowserModulePayload per browser-role decision table
provider-operation-inventory.csv @ c4cefd0acc2b,R03,RuntimeExecutable,SC-X-04,adopted,falsified role retained as falsifier
provider-operation-inventory.csv @ c4cefd0acc2b,R04,TypedWatchEvents,SC-X-05,adopted,falsified role; D7 research is the only open path
provider-operation-inventory.csv @ c4cefd0acc2b,R05,operation-owned public surface boundary,SC-X-06,adopted,the key of this canon
operation-version-matrix.csv @ c4cefd0acc2b,CM-01,bun/bundle/selected-command/observed-CI-point,EC-CM-01,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-02,bun/bundle/selected-command/observed-CI-point,EC-CM-02,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-03,bun/Bun.build bundle/host-api/observed-CI-point,EC-CM-03,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-04,bun/Bun.build bundle/host-api/observed-CI-point,EC-CM-04,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-05,bun/compile executable/selected-command/library-policy-supported,EC-CM-05,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-06,bun/compile executable/selected-command/library-policy-supported,EC-CM-06,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-07,bun/bundle/compile/selected-command/unknown,EC-CM-07,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-08,bun/bundle/compile/selected-command/overridden-unknown,EC-CM-08,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-09,deno/compile executable/selected-command/observed-CI-point,EC-CM-09,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-10,deno/bundle/selected-command/observed-CI-point,EC-CM-10,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-11,deno/bundle/selected-command/observed-CI-point,EC-CM-11,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-12,deno/Deno.bundle/host-api/observed-CI-point,EC-CM-12,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-13,deno/Deno.bundle/host-api/observed-CI-point,EC-CM-13,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-14,deno/Deno.bundle/compiled-runtime-api/known-incompatible,EC-CM-14,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-15,deno/compile executable/selected-command/known-incompatible,EC-CM-15,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-16,esbuild/one-shot bundle/in-process-js-api/library-policy-supported,EC-CM-16,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-17,esbuild/context/rebuild/cancel/dispose/in-process-js-api/observed-CI-point,EC-CM-17,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-18,esbuild/context/rebuild/cancel/dispose/in-process-js-api/observed-CI-point,EC-CM-18,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-19,esbuild/serve/CLI/API/known-bad-hole,EC-CM-19,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-20,esbuild/context lifecycle/CLI/known-incompatible,EC-CM-20,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-21,node/assemble SEA/selected-command/observed-CI-point,EC-CM-21,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-22,node/assemble SEA/selected-command/observed-CI-point,EC-CM-22,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-23,node/assemble SEA/selected-command/known-incompatible,EC-CM-23,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-24,node/assemble SEA/selected-command/known-incompatible,EC-CM-24,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-25,effect/declarations + runtime/npm graph / TypeScript / runtime/observed-CI-point,EC-CM-25,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-26,effect/declarations + runtime/npm graph / TypeScript / runtime/observed-CI-point,EC-CM-26,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-27,provider/core/npm peer/fresh packed consumer/observed-CI-point,EC-CM-27,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-28,provider/core/npm peer/fresh packed consumer/known-incompatible,EC-CM-28,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-29,portable profile/protocol validation/provider/core adapter/known-incompatible,EC-CM-29,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-30,all providers/operation inventory reconciliation/all/unknown,EC-CM-30,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-31,bun/bundle / standalone compile/selected-command and host-api/upstream-declared-support,EC-CM-31,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-32,deno/Deno.bundle/host-api/upstream-declared-support,EC-CM-32,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-33,deno/compile executable/selected-command/upstream-declared-support,EC-CM-33,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-34,esbuild/context/rebuild/watch/cancel/dispose/in-process-js-api/upstream-declared-support,EC-CM-34,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
operation-version-matrix.csv @ c4cefd0acc2b,CM-35,node/assemble SEA with --build-sea/selected-command/upstream-declared-support,EC-CM-35,evidence-grouped,matrix row carried as an evidence coordinate; never a support range
r2/bun @ 509d7d6b91c6,OP-BUN-001,operation,CO-BUN-01,adopted-with-correction,resource_result corrected long-lived-handle -> caller-owned-value (MSD-09)
r2/bun @ 509d7d6b91c6,OP-BUN-002,operation,CO-BUN-02,adopted,
r2/bun @ 509d7d6b91c6,OP-BUN-003,operation,CO-BUN-03,adopted,
r2/bun @ 509d7d6b91c6,OP-BUN-004,operation,CO-BUN-04,adopted,
r2/bun @ 509d7d6b91c6,OP-BUN-005,operation,CO-BUN-05,adopted,
r2/bun @ 509d7d6b91c6,OP-BUN-006,operation,CO-BUN-06,adopted,
r2/bun @ 509d7d6b91c6,OP-BUN-007,operation,CO-BUN-07,adopted,
r2/bun @ 509d7d6b91c6,OP-BUN-008,operation,CO-BUN-08,adopted,
r2/bun @ 509d7d6b91c6,OP-BUN-009,operation,CO-BUN-09,adopted,
r2/bun @ 509d7d6b91c6,OP-BUN-010,operation,CO-BUN-10,adopted,
r2/bun @ 509d7d6b91c6,OP-BUN-011,operation,CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,OP-BUN-012,operation,CO-BUN-12,merged,merged with OP-BUN-013 into CO-BUN-12 (MSD-01)
r2/bun @ 509d7d6b91c6,OP-BUN-013,operation,CO-BUN-12,merged,merged with OP-BUN-012 into CO-BUN-12 (MSD-01)
r2/bun @ 509d7d6b91c6,OP-BUN-014,operation,CO-BUN-13,adopted-with-correction,lane corrected runtime-api -> host-api (MSD-11)
r2/bun @ 509d7d6b91c6,OP-BUN-015,operation,CO-BUN-14,adopted-with-correction,lane corrected runtime-api -> host-api (MSD-11)
r2/bun @ 509d7d6b91c6,LAW-001,architecture-law,METHOD,adopted,decomposition law adopted as this synthesis's method
r2/bun @ 509d7d6b91c6,LAW-002,architecture-law,METHOD,adopted,operations-only-get-keys law adopted as method
r2/bun @ 509d7d6b91c6,LAW-003,architecture-law,SC-X-08,adopted,identity law
r2/bun @ 509d7d6b91c6,LAW-004,architecture-law,SC-X-07,adopted,
r2/bun @ 509d7d6b91c6,LAW-005,architecture-law,SC-X-07,adopted,
r2/bun @ 509d7d6b91c6,LAW-006,architecture-law,SC-X-07,adopted,
r2/bun @ 509d7d6b91c6,LAW-007,architecture-law,SC-X-08,adopted,docs cannot certify
r2/bun @ 509d7d6b91c6,LAW-008,architecture-law,SC-B-30,adopted,interruption is not provider cancellation
r2/bun @ 509d7d6b91c6,LAW-009,architecture-law,SC-E-50,adopted,provider-direct write law (cross-provider)
r2/bun @ 509d7d6b91c6,LAW-010,architecture-law,SC-B-40,adopted,
r2/bun @ 509d7d6b91c6,LAW-011,architecture-law,SC-B-37,adopted,
r2/bun @ 509d7d6b91c6,LAW-012,architecture-law,SC-B-27,adopted,
r2/bun @ 509d7d6b91c6,LAW-013,architecture-law,SC-S-27;SC-B-32,adopted,signing boundary
r2/bun @ 509d7d6b91c6,LAW-014,architecture-law,SC-B-16,adopted,
r2/bun @ 509d7d6b91c6,LAW-015,architecture-law,SC-B-38,adopted,
r2/bun @ 509d7d6b91c6,OPC-001,operation,CO-BUN-01,adopted-with-correction,resource_result corrected long-lived-handle -> caller-owned-value (MSD-09)
r2/bun @ 509d7d6b91c6,OPC-002,operation,CO-BUN-02,adopted,
r2/bun @ 509d7d6b91c6,OPC-003,operation,CO-BUN-03,adopted,
r2/bun @ 509d7d6b91c6,OPC-004,operation,CO-BUN-04,adopted,
r2/bun @ 509d7d6b91c6,OPC-005,operation,CO-BUN-05,adopted,
r2/bun @ 509d7d6b91c6,OPC-006,operation,CO-BUN-06,adopted,
r2/bun @ 509d7d6b91c6,OPC-007,operation,CO-BUN-07,adopted,
r2/bun @ 509d7d6b91c6,OPC-008,operation,CO-BUN-08,adopted,
r2/bun @ 509d7d6b91c6,OPC-009,operation,CO-BUN-09,adopted,
r2/bun @ 509d7d6b91c6,OPC-010,operation,CO-BUN-10,adopted,
r2/bun @ 509d7d6b91c6,OPC-011,operation,CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,OPC-012,operation,CO-BUN-12,merged,merged with OP-BUN-013 into CO-BUN-12 (MSD-01)
r2/bun @ 509d7d6b91c6,OPC-013,operation,CO-BUN-12,merged,merged with OP-BUN-012 into CO-BUN-12 (MSD-01)
r2/bun @ 509d7d6b91c6,OPC-014,operation,CO-BUN-13,adopted-with-correction,lane corrected runtime-api -> host-api (MSD-11)
r2/bun @ 509d7d6b91c6,OPC-015,operation,CO-BUN-14,adopted-with-correction,lane corrected runtime-api -> host-api (MSD-11)
r2/bun @ 509d7d6b91c6,C-BUN-001,request mode,CO-BUN-01,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-002,request mode,CO-BUN-01,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-003,modifier,CO-BUN-01,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-004,modifier,CO-BUN-01,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-005,modifier,CO-BUN-01,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-006,modifier,CO-BUN-01,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-007,modifier,CO-BUN-01,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-008,relation,CO-BUN-01,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-009,runtime capability,CO-BUN-01,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-010,modifier,CO-BUN-02,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-011,result field,CO-BUN-02,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-012,runtime capability,CO-BUN-02,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-013,relation,CO-BUN-02,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-014,runtime capability,CO-BUN-02,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-015,modifier,CO-BUN-03,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-016,result field,CO-BUN-03,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-017,runtime capability,CO-BUN-03,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-018,relation,CO-BUN-03,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-019,result field,CO-BUN-04,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-020,result field,CO-BUN-04,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-021,relation,CO-BUN-04,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-022,result field,CO-BUN-05,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-023,relation,CO-BUN-05,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-024,result field,CO-BUN-04;CO-BUN-05,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-025,request mode,CO-BUN-06,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-026,request mode,CO-BUN-07,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-027,request mode,CO-BUN-06;CO-BUN-07,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-028,request mode,CO-BUN-06;CO-BUN-07,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-029,modifier,CO-BUN-06;CO-BUN-07,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-030,relation,CO-BUN-06;CO-BUN-07,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-031,modifier,CO-BUN-06;CO-BUN-07,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-032,modifier,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-033,modifier,CO-BUN-06;CO-BUN-07,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-034,modifier,CO-BUN-06;CO-BUN-07,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-035,modifier,CO-BUN-06;CO-BUN-07,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-036,modifier,CO-BUN-06;CO-BUN-07,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-037,modifier,CO-BUN-06;CO-BUN-07,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-038,modifier,CO-BUN-06;CO-BUN-07,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-039,modifier,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-040,modifier,CO-BUN-06;CO-BUN-07,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-041,modifier,CO-BUN-06;CO-BUN-07,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-042,modifier,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-043,request mode,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-044,result field,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-045,result field,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-046,result field,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-047,result field,CO-BUN-06;CO-BUN-07,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-048,result field,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-049,result field,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-050,relation,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-051,relation,CO-BUN-06;CO-BUN-07,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-052,runtime capability,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-053,runtime capability,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-054,relation,CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-055,sub-operation,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-056,sub-operation,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-057,sub-operation,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-058,sub-operation,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-059,sub-operation,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-060,sub-operation,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-061,runtime capability,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-062,relation,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-063,runtime capability,CO-BUN-06;CO-BUN-07;CO-BUN-11,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-064,relation,CO-BUN-13,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-065,relation,CO-BUN-14,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-066,request mode,CO-BUN-06;CO-BUN-07;CO-BUN-09,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-067,result field,CO-BUN-06;CO-BUN-07;CO-BUN-09,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-068,relation,CO-BUN-06;CO-BUN-07;CO-BUN-09,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-069,request mode,CO-BUN-06;CO-BUN-07;CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-070,relation,CO-BUN-06;CO-BUN-07;CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-071,result field,CO-BUN-06;CO-BUN-07;CO-BUN-11;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-072,request mode,CO-BUN-06;CO-BUN-07,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-073,result field,CO-BUN-06;CO-BUN-07,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-074,relation,CO-BUN-06;CO-BUN-07,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-075,modifier,CO-BUN-06;CO-BUN-07,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-076,relation,CO-BUN-06;CO-BUN-07;CO-BUN-09,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-077,external-platform-primitive,CO-BUN-06;CO-BUN-07;CO-BUN-09,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-078,request mode,CO-BUN-08,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-079,result field,CO-BUN-08;CO-BUN-09;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-080,relation,CO-BUN-08;CO-BUN-09;CO-BUN-10;CO-BUN-12,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-081,relation,CO-BUN-06;CO-BUN-07;CO-BUN-08;CO-BUN-09,adopted,
r2/bun @ 509d7d6b91c6,C-BUN-082,runtime capability,CO-BUN-08;CO-BUN-09;CO-BUN-12,adopted,
