decision_id,subject,decision,rejected_alternative,governing_evidence,falsifier,affected_ids
MSD-11,runtime-api lane discipline,"Reserve the runtime-api lane for capabilities invoked inside a produced artifact at artifact runtime (grouping law GL-3). Reclassify Bun.plugin/clearAll from the supplement's runtime-api to host-api operations (they execute in the build-host Bun runtime). Reclassify the crosswalk's node-sea/get-asset operation row into runtime capabilities RC-SEA-01..05, matching the Node SEA supplement; Deno compiled-runtime bundle observation is likewise a runtime capability (RC-DEN-01).","(a) Keep Bun.plugin in runtime-api: rejected — it erases the build-host vs artifact-runtime evaluation-phase distinction that D9 requires. (b) Keep get-asset as a build operation: rejected — it has no build-time invocation and belongs to the artifact runtime contract.",RECONCILIATION lane table (runtime-api definition);Node SEA supplement section 2.1;Bun supplement OP-BUN-014/015,A runtime-api item that becomes invocable during build composition (or vice versa) moves lanes with evidence.,CO-BUN-13;CO-BUN-14;RC-SEA-01..05;RC-DEN-01;S04;D09
MSD-12,Bun HTML / full-stack / standalone-HTML,"Demote RECONCILIATION section 3's bun html-bundle-memory/html-bundle-direct-write (host + command) and full-stack-html-executable rows from operations to request modes of CO-BUN-06/07/09 (HTML entry as graph root) and CO-BUN-11/12 (full-stack compile), following the Bun supplement's atomic classification (C-BUN-066..077): an HTML or full-stack entry changes graph-root semantics and result composition but not authority, lifecycle, ownership, or publication law of the chosen build mode. Standalone HTML (compile+browser) is likewise a mode producing self-contained HTML, explicitly not a Bun runtime executable.",Keep the crosswalk's seven separate HTML/full-stack identities. Rejected under the section 1 rule: a mode is promoted only when it changes an identity-bearing law; none is evidenced to.,Bun C-BUN-066..077;E-BUN-010;E-BUN-024;RECONCILIATION section 1 mode-promotion rule,"A probe showing HTML mode changes the failure or publication law (e.g., different partial-output behavior for rewritten HTML trees) re-promotes the affected mode.",CO-BUN-06;CO-BUN-07;CO-BUN-09;CO-BUN-11;CO-BUN-12;B07;B10
MSD-13,esbuild context family,"Adopt the esbuild supplement's resolution of E03-E08: two context operations split by captured write mode (CO-ESB-11/12) with rebuild/watch/serve/cancel/dispose as sub-operations of the single state owner; no method has independent acquisition or release at 0.28.2.",Promote serve (socket/TLS owner) to an operation. Rejected: ServeResult has no stop member; release is only dispose of the whole context.,esbuild LAW-ESB-04;CLM-020..024;E03-E08,An upstream version adding an independent release to any method promotes it.,CO-ESB-11;CO-ESB-12;E03;E04;E05;E06;E07;E08
MSD-14,esbuild E01 three-way split,"Adopt the E01 split into build-memory, build-direct-write, and the rejected build-host-stdout mode (write:true with no destination prints bundle bytes to host stdout): three publication laws in one imported row.",Treat host-stdout as a degenerate direct-write. Rejected: the bytes are neither a returned value nor a file; the operation has {none;none} ownership and must be a typed preflight refusal.,esbuild CLM-001/002/019;EV-ESB-003,P-ESB-10 enumerates the exact option set reaching writeToStdout; over- or under-refusal falsifies the preflight boundary.,CO-ESB-01;CO-ESB-02;CO-ESB-19;E01
MSD-15,esbuild E11 four-way split,"Adopt the E11 split into command-lane stdout one-shot, direct-write one-shot, watch (scoped-process), and serve (scoped-process): --watch/--serve are argv modifiers but change lifetime and publication, so section 1 promotes them.",Keep one CLI operation with modes. Rejected by the lifecycle/publication promotion rule.,esbuild CLM-015..018;CLM-046,None; the split is forced by observed lifetime/publication differences.,CO-ESB-15;CO-ESB-16;CO-ESB-17;CO-ESB-18;E11
MSD-16,esbuild E12 reclassification,"Adopt the supplement's reclassification of E12: the shared native child is not a lane or effect-build process; its public controls stop() and initialize() are operations (both rejected); the child's ownership facts become architecture laws (process-global sharing, inherited stderr, first-use version check).",Treat E12 purely as a private implementation detail (imported inventory's stance). Rejected: two public exported functions control the shared engine and their misuse is a cross-owner hazard that must be named to be rejected.,esbuild CLM-013/014;CLM-105/106;EV-ESB-012,None; falsifiers live on the rejected operations (e.g. P-ESB-09 Bun unref behavior).,CO-ESB-13;CO-ESB-14;E12
MSD-17,compileExecutableMatrix,"Exclude compileExecutableMatrix from the provider-operation canon: it is provider-neutral product orchestration (deterministic cell identity, bounded concurrency, independent commits, complete outcomes, caller interruption law), not a provider operation. Its retention/removal remains pending-maintainer (question batch 1) and is out of scope for this crosswalk.",List it as a canonical operation. Rejected: no provider offers a native multi-target matrix; putting it in the provider canon would misattribute its laws.,RECONCILIATION section 2 (compileExecutableMatrix);DECISION-RECORD D16 deferral,None; a maintainer retention decision would send it to the matrix-law program (R7) not to this canon.,none
MSD-18,withJavaScriptBundle,"Map the removed Bun bundle continuation (D16) to CO-BUN-09 plus the borrowed-output laws: the capability survives as the native selected-command bundle identity; the continuation shape is retired.",none (decision D16 is final product intent),DECISION-RECORD D16;RECONCILIATION section 2,none,CO-BUN-09
MSD-19,Deno denort acquisition,"Keep D08 (compile runtime acquisition) as a declared sub-operation plus relations of CO-DEN-10, never a hidden fallback and not a standalone public operation: it has no caller-facing request/result surface independent of compile.",Promote acquisition to an operation. Rejected: its authority is entirely interior to compile; making it public would invite orchestration against a provider interior.,RECONCILIATION section 3 (D08 note);DENO-CL-038..041;DENO-CL-049,"If Deno exposes a public denort-prefetch command with its own contract, that new surface earns an operation row.",CO-DEN-10;D08
MSD-20,Deno permission boundary,"Classify D10 (bundle permission boundary) as relations plus evidence coordinates on CO-DEN-01/02, not an operation: permission authority is part of each request/evidence coordinate. The 2.9.3 receipt contradiction stays an exact historical falsifier; v2.9.5 source resolves the declaration contradiction but not runtime certification.",Model a standalone permission-probe operation. Rejected: probing is R3 evaluator work not a provider operation.,DENO-CL-011/012;DENO-CL-052;RECONCILIATION section 3 (D10 note),P-DENO-01 permission matrix outcomes become the evidence coordinates.,CO-DEN-01;CO-DEN-02;D10
MSD-21,Node SEA config modes,"Adopt request-mode/relation classification for S02/S03 (mainFormat), S04 build half (assets), S05 (code cache), S06 (snapshot), S07 (execArgv + extension policies): distinct config modes with their own version gates and admissibility relations, not standalone operations. Illegal combinations (ESM+snapshot; cross-target with snapshot or cache; CJS snapshot+cache ambiguity requiring canonicalization) are relations on the assembler operations.",Model snapshot or cache as operations (they execute code / generate artifacts during build). Rejected: they have no independent invocation; they are modes of the assemble/generate requests with version-gated relations.,Node SEA AC-RM-002..014;AC-REL-009..013;availability ledger,Exact-version probes (v25.7/25.8/25.9 ESM-cache boundary etc.) validate each gate; a mode observed to change publication or lifecycle law would be promoted.,CO-SEA-01;CO-SEA-02;CO-SEA-03;S02;S03;S04;S05;S06;S07
MSD-22,Signing boundary,"Split S09 (signing/verification) into: (a) target-specific candidate-correctness repair (stale-signature removal, macOS ad-hoc re-sign) as internal sub-operations of the executable-producing operations, with codesign/signtool as external platform primitives; (b) distribution-trust signing, notarization, containers, stapling, Gatekeeper excluded to the R9/M4 boundary with no operation rows in this canon.",One universal signing operation family in the provider canon. Rejected: D11 forbids flattening mutating/remote-job/verification kinds and the packaging home is undecided (M4).,DECISION-RECORD D11;Node SEA AC-PPM-001..007;AC-LAW-012;APPLE-DISTRIBUTION-BOUNDARY,"If M4 selects concrete Apple operations, they enter a future canon with their own lane/lifecycle (remote-job provisional).",CO-SEA-01;CO-SEA-03;CO-BUN-11;CO-BUN-12;S09
MSD-23,Builder/base relation scope,"Generalize S10: builder/base version equality applies wherever the participants are separate — legacy generator/base always, and direct explicit-base mode; direct default-base collapses the participants so no separate relation exists. This corrects the crosswalk's wording that confined equality to the legacy path.",Keep the crosswalk's legacy-only relation. Rejected: v26.7.0 documentation requires equality for direct explicit-base too.,Node SEA AC-REL-001..003;section 6 of its report;S10 recorded falsifier (26.7.0 builder + 25.5.0 base failed),Exact-version probes per admitted line; a mismatched pair succeeding on an admitted cell falsifies the relation's non-overridability.,CO-SEA-01;CO-SEA-02;CO-SEA-03;S10
MSD-24,Effect rows,"F01-F07 receive no operation rows: official Effect primitives are used directly (D2). Classified external-platform-primitive with an architecture-law claim each; wrapper-owned instrumentation only where the naming lane already allows.",Wrap Effect primitives in effect-build types. Rejected by D2 and FAL-001/002 heritage.,DECISION-RECORD D2;RECONCILIATION section 3 (F rows),none,F01;F02;F03;F04;F05;F06;F07
MSD-25,Cross-provider roles,"R01 (NodeMainProgram sealed main) and R02 (BrowserModulePayload as the narrowed successor) remain portable-role proof programs under D8 ship-if-pass; R03 (RuntimeExecutable) and R04 (CLI-text TypedWatchEvents) remain falsified; R05 (operation-owned surface boundary) is adopted — it is this document's key. No portable role is an operation row.",Include portable roles as operations. Rejected: roles are substitution contracts over operations; conflating them re-creates the flattened algebra.,DECISION-RECORD D8;RECONCILIATION section 3 (R rows);browser-role decision table,R5 proof outcomes; a failing role stays recorded with its falsifier rather than weakening the role.,R01;R02;R03;R04;R05
MSD-26,Bun scan pair,"Keep scan-source and scan-imports as two operations: upstream documents an explicit speed/accuracy tradeoff and different result surfaces (exports+imports vs imports-only), which is a result-law distinction the caller selects.",One scan operation with a fast flag. Rejected: the tradeoff is the identity; hiding it behind a flag would erase a documented provider distinction.,Bun OP-BUN-004/005;E-BUN-005/006,Adversarial probe P-BUN family (scan-vs-scanImports accuracy) refines but does not merge the identities.,CO-BUN-04;CO-BUN-05
MSD-27,Node SEA blob stage visibility,"Keep generate-preparation-blob as an operation row (distinct selected-command invocation with its own participants/relations/failure surface) but mark it an internal composition stage: it is not an independent public export candidate and its blob output is never a public durable result.",Demote to sub-operation of inject (crosswalk called it an internal stage). Rejected: it is a separately invoked provider command with its own identity/relations; hiding it would obscure the generator/base relation.,Node SEA AC-OP-002;RECONCILIATION section 3 (S08 internal stage note),"If the legacy route is ever modeled as one public pipeline operation, the blob row folds into it as a sub-operation.",CO-SEA-02;S08
MSD-28,Watch identity form,"Adopt one identity form for all command-lane watches (Bun/Deno/esbuild/Rolldown CLI): selected-command / scoped-process / {long-lived-handle, provider-direct-durable}, raw byte streams, no typed events (falsified), scope-owned termination. Rolldown's in-process watch is scoped-context (no child process of the product's).",A cross-provider typed watch protocol. Rejected: falsified (R04) and reserved to D7's research routes.,DECISION-RECORD D7;R04;provider watch rows in all five supplements,D7 route experiments; upstream structured watch output adopted version-gated if it appears.,CO-BUN-10;CO-DEN-05;CO-ESB-17;CO-ROL-06;CO-ROL-07;CO-ROL-10
MSD-29,esbuild serve disposition,"Adopt the supplement's defer for command-lane serve (bound address available only as human text; pinned-port-only honesty; Windows GHSA hole; zero executions) while context serve remains a sub-operation of the context operations.",Ship serve now or reject it permanently. Deferral is the truthful middle: the operation exists and is honest only under a pinned port.,esbuild ESB-OP-18 rationale;LAW-ESB-14/118;GHSA-g7r4-m6w7-qqqr,Upstream machine-readable address channel or an explicit product pinned-port decision unblocks; P-ESB-29/30 then apply.,CO-ESB-18
MSD-30,Historical raw NODE_JS_CODE route,"Treat the v19.7/v18.16 raw-JavaScript injection route as a separate rejected historical identity, never a weaker implementation of the modern preparation-blob operations; the modern route begins at v20.0.0.",Accept pre-v20 binaries as degraded legacy cells. Rejected: different resource contract and fuse; admitting them would collapse two route identities.,Node SEA AC-RM-015;availability ledger v19.7/v20.0.0 boundary,A tag before v20.0.0 exhibiting the modern JSON/blob resource contract would move the boundary.,CO-SEA-02;CO-SEA-03
