evidence_id,provider,provider_implementation_identity,host,requested_target,non_semantic_option_mode,evaluation_phase,evidence_class,observation,source_artifact,operation_refs,support_status,limitations
EC-ROL-RECEIPT,rolldown,Rolldown 1.2.4 archived effect-build receipt,ubuntu x64,n/a,scoped build/generate/close fixture,historical-execution,EXACT-RECEIPT,Repeated production after source mutation; enforced release; afterCloseRejected observed,rolldown supplement E-EB-RECEIPT (run 31971767617),CO-ROL-01;CO-ROL-02,exact-coordinate-only,Narrow seed; not conformance or a range
EC-CM-01,bun,1.3.9+cf6cdbbba exact selected executable,ubuntu-24.04/x86_64-gnu,n/a,selected-command bundle,release-CI observation,RECORDED-EXECUTION,observed-CI-point,compat matrix row 1 @ c4cefd0,CO-BUN-09,observed-not-admitted,Exact executable; no adjacent versions implied
EC-CM-02,bun,1.3.14 (revision not captured),ubuntu-24.04/x86_64-gnu,n/a,selected-command bundle,release-CI observation,RECORDED-EXECUTION,observed-CI-point,compat matrix row 2,CO-BUN-09,observed-not-admitted,Exact host/current fixture only
EC-CM-03,bun,Bun host 1.3.9,Bun host on ubuntu-24.04,n/a,host-api build,release-CI observation,RECORDED-EXECUTION,observed-CI-point,compat matrix row 3,CO-BUN-06;CO-BUN-07,observed-not-admitted,Exact host API shape and fixture
EC-CM-04,bun,Bun host 1.3.14,Bun host on ubuntu-24.04,n/a,host-api build,release-CI observation,RECORDED-EXECUTION,observed-CI-point,compat matrix row 4,CO-BUN-06;CO-BUN-07,observed-not-admitted,Exact point
EC-CM-05,bun,1.3.9+cf6cdbbba pinned by adapter,ubuntu-24.04,linux-x64-gnu,selected-command compile,library policy,GITHUB-DIRECT,library-policy-supported,compat matrix row 5,CO-BUN-12,current-pin-acceptance,Not a future range
EC-CM-06,bun,hypothetical future stable point under reviewed policy P,arbitrary,n/a,selected-command compile,policy proposal,PROPOSAL,library-policy-supported (hypothetical),compat matrix row 6,CO-BUN-12,proposal-only,No current version commitment
EC-CM-07,bun,canary revision R digest D,arbitrary,n/a,bundle/compile,policy proposal,PROPOSAL,unknown,compat matrix row 7,CO-BUN-09;CO-BUN-12,unknown,Exact canary begins unknown even with capability probe
EC-CM-08,bun,canary revision R digest D after full gates,arbitrary,n/a,bundle/compile,policy proposal,PROPOSAL,overridden-unknown,compat matrix row 8,CO-BUN-09;CO-BUN-12,override-eligible-only-after-gates,Only after capabilities/relations/peers/protocols pass
EC-CM-09,deno,2.9.3 stable exact deno+denort fixture,ubuntu-24.04,linux-x64-gnu,selected-command compile,release-CI observation,RECORDED-EXECUTION,observed-CI-point,compat matrix row 9,CO-DEN-10,observed-not-admitted,Exact selected Deno and denort fixture
EC-CM-10,deno,2.9.3 stable,ubuntu-24.04/x86_64-gnu,n/a,selected-command bundle,release-CI observation,RECORDED-EXECUTION,observed-CI-point,compat matrix row 10,CO-DEN-03;CO-DEN-04,observed-not-admitted,Experimental command
EC-CM-11,deno,2.9.5 stable,ubuntu-24.04/x86_64-gnu,n/a,selected-command bundle,release-CI observation,RECORDED-EXECUTION,observed-CI-point,compat matrix row 11,CO-DEN-03;CO-DEN-04,observed-not-admitted,Second exact point; no interpolation
EC-CM-12,deno,2.9.3 stable host,Deno host on ubuntu-24.04,n/a,host-api bundle,release-CI observation,RECORDED-EXECUTION,observed-CI-point,compat matrix row 12,CO-DEN-01;CO-DEN-02,observed-not-admitted,Requires unstable flag upstream
EC-CM-13,deno,2.9.5 stable host,Deno host on ubuntu-24.04,n/a,host-api bundle,release-CI observation,RECORDED-EXECUTION,observed-CI-point,compat matrix row 13,CO-DEN-01;CO-DEN-02,observed-not-admitted,Exact point only
EC-CM-14,deno,2.9.3 compiled fixture,compiled Deno fixture,n/a,compiled-runtime-api,release-CI observation,RECORDED-EXECUTION,known-incompatible (function absent),compat matrix row 14,RC-DEN-01,deny-hole,Lane-specific absence
EC-CM-15,deno,2.9.3 stable without cached/matching denort,offline target,n/a,selected-command compile offline,upstream contract,UPSTREAM-DIRECT,known-incompatible (cannot proceed offline without asset),compat matrix row 15,CO-DEN-10,deny-hole,Exact asset observation decides
EC-CM-16,esbuild,0.28.2 exact dependency+API check,Node/Bun host,n/a,in-process one-shot,library policy,GITHUB-DIRECT,library-policy-supported,compat matrix row 16,CO-ESB-01;CO-ESB-02,current-pin-acceptance,Accepts exactly 0.28.2
EC-CM-17,esbuild,0.28.1 exact,ubuntu-24.04,n/a,context/rebuild/cancel/dispose,release-CI observation,RECORDED-EXECUTION,observed-CI-point,compat matrix row 17,CO-ESB-11,observed-not-admitted,Research point; package pins 0.28.2
EC-CM-18,esbuild,0.28.2 exact,ubuntu-24.04,n/a,context/rebuild/cancel/dispose,release-CI observation,RECORDED-EXECUTION,observed-CI-point,compat matrix row 18,CO-ESB-11,observed-not-admitted,Exact point
EC-CM-19,esbuild,>=0.27.3 <0.28.1 (lower bound unresolved vs advisory),Windows,n/a,serve,upstream advisory,UPSTREAM-DIRECT,known-bad-hole GHSA-g7r4-m6w7-qqqr,compat matrix row 19,CO-ESB-18,deny-hole,Host/operation-specific; not currently exposed
EC-CM-20,esbuild,0.28.2,any,n/a,CLI context lifecycle,upstream contract,UPSTREAM-DIRECT,known-incompatible: CLI has no rebuild API (lane mismatch not version failure),compat matrix row 20,CO-ESB-15..CO-ESB-18,lane-mismatch-hole,Structural; never overridable
EC-CM-21,node-sea,builder=25.5.0;base=25.5.0,ubuntu-24.04/linux-x64-gnu,linux-x64-gnu,legacy assemble,release-CI observation,RECORDED-EXECUTION,observed-CI-point (equality cell),compat matrix row 21,CO-SEA-02;CO-SEA-03,observed-not-admitted,Exact equality cell
EC-CM-22,node-sea,builder=26.7.0;base=26.7.0,ubuntu-24.04/linux-x64-gnu,linux-x64-gnu,legacy assemble,release-CI observation,RECORDED-EXECUTION,observed-CI-point (equality cell),compat matrix row 22,CO-SEA-02;CO-SEA-03,observed-not-admitted,Current provider exact acceptance
EC-CM-23,node-sea,builder=26.7.0;base=25.5.0,ubuntu-24.04/linux-x64-gnu,linux-x64-gnu,legacy assemble,release-CI observation,RECORDED-EXECUTION,known-incompatible: build produced output but execution failed,compat matrix row 23,CO-SEA-02;CO-SEA-03,relation-falsifier,Builder/base relation recorded falsifier
EC-CM-24,node-sea,same version; useSnapshot or useCodeCache true,cross-platform,cross,assemble,upstream contract,UPSTREAM-DIRECT,known-incompatible documented cross-platform predicate,compat matrix row 24,CO-SEA-01;CO-SEA-02;CO-SEA-03,deny-relation,Non-overridable
EC-CM-25,effect,4.0.0-beta.104,ubuntu-24.04,n/a,declarations+runtime endpoint,release-CI observation,RECORDED-EXECUTION,observed-CI-point,compat matrix row 25,n/a (F-rows),observed-not-admitted,Exact consumer endpoint
EC-CM-26,effect,4.0.0-rc.108,ubuntu-24.04,n/a,declarations+runtime endpoint,release-CI observation,RECORDED-EXECUTION,observed-CI-point,compat matrix row 26,n/a (F-rows),observed-not-admitted,Exact endpoint and workspace dev version
EC-CM-27,provider/core,provider 0.7.0 core 0.4.0 peer >=0.4 <0.5,ubuntu-24.04,n/a,fresh packed consumer,installation graph,RECORDED-EXECUTION,observed-CI-point,compat matrix row 27,n/a (peer relation),synthetic-fixture,Not a released-package commitment
EC-CM-28,provider/core,provider 0.7.0 core 0.5.0 peer >=0.4 <0.5,ubuntu-24.04,n/a,fresh packed consumer,installation graph,RECORDED-EXECUTION,known-incompatible ERESOLVE,compat matrix row 28,n/a (peer relation),deny-relation,Peer failure independent of tool capability
EC-CM-29,portable-profile,provider protocol @1 vs core requires @2,any,n/a,profile protocol validation,composition,PROPOSAL,known-incompatible,compat matrix row 29,n/a (profile relation),proposal-only,Independent from npm compatibility
EC-CM-30,all-providers,requested breadth archive unavailable at matrix authorship,all,all,operation inventory reconciliation,research,UNKNOWN,unknown,compat matrix row 30,superseded by the five R2 supplements at their frozen SHAs,resolved-input-gap,Future operation-specific policy was provisional; this synthesis consumes the supplements directly
EC-CM-31,bun,current official documentation retrieved 2026-08-17; introduction boundary unspecified,documented targets,n/a,bundle/standalone compile,upstream declaration,UPSTREAM-DIRECT,upstream-declared-support,compat matrix row 31,CO-BUN-06..CO-BUN-12,upstream-surface-only,Not effect-build policy; not a range
EC-CM-32,deno,>=2.5 per docs with --unstable-bundle,Deno runtime,n/a,host-api bundle,upstream declaration,UPSTREAM-DIRECT,upstream-declared-support,compat matrix row 32,CO-DEN-01;CO-DEN-02,upstream-surface-only,Experimental; upstream availability is not support
EC-CM-33,deno,current Deno 2.9 documentation,documented target matrix,n/a,selected-command compile,upstream declaration,UPSTREAM-DIRECT,upstream-declared-support,compat matrix row 33,CO-DEN-10,upstream-surface-only,Requires denort matching + operation probes
EC-CM-34,esbuild,0.28.2 current release/docs,supported package platform,n/a,context family,upstream declaration,UPSTREAM-DIRECT,upstream-declared-support,compat matrix row 34,CO-ESB-11;CO-ESB-12,upstream-surface-only,Not an inferred effect-build range
EC-CM-35,node-sea,feature added 25.5.0; current docs 26.7.0,Node-supported SEA platforms,n/a,selected-command --build-sea,upstream declaration,UPSTREAM-DIRECT,upstream-declared-support,compat matrix row 35,CO-SEA-01,upstream-surface-only,Builder/base and target predicates still required
EC-CM-COMPILE,deno,alias group,various,various,deno compile evidence group,mixed,ALIAS,groups EC-CM-09 and EC-CM-15 and EC-CM-33,compat matrix rows 9/15/33,CO-DEN-10,see members,alias row for ops-table reference
EC-CM-HOLE-SERVE,esbuild,alias group,Windows,n/a,serve hole,upstream advisory,ALIAS,groups EC-CM-19,compat matrix row 19,CO-ESB-18,see members,alias row
EC-CM-SEA,node-sea,alias group,various,various,SEA relation evidence group,mixed,ALIAS,groups EC-CM-21..EC-CM-24 and EC-CM-35,compat matrix rows 21-24/35,CO-SEA-01..CO-SEA-03,see members,alias row
EC-CM-COMPILED,deno,alias group,compiled fixture,n/a,compiled-runtime absence,recorded,ALIAS,groups EC-CM-14,compat matrix row 14,RC-DEN-01,see members,alias row
