claim_id,class,subject,claim,provenance,disposition,source_id,source_coordinate,retrieval_date,provider_implementation_identity,host,requested_target,non_semantic_option_mode,evaluation_phase,empirical_status,notes
DENO-CL-011,runtime capability,Deno.bundle permissions,"Declarations/source require local read, remote import and filesystem write access as applicable",official-upstream,established,DENO-SRC-API-DTS,Deno.bundle function docs,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established; execution-pending,Historical 2.9.3 receipt contradicted older expectations.
DENO-CL-012,relation,Deno.bundle permission authority,Host API carries caller PermissionsContainer while deno bundle uses trusted CLI authority,official-upstream,established,DENO-SRC-BUNDLE-CLI,bundle_init caller_permissions/is_runtime_api,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established; execution-pending,
DENO-CL-013,sub-operation,Deno bundling helper acquisition,Bundling ensures platform-specific esbuild 0.25.5 and may acquire it if absent,official-upstream,established,DENO-SRC-ESBUILD,ESBUILD_VERSION/ensure_esbuild,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,Model acquisition explicitly.
DENO-CL-014,relation,Deno bundling helper host,esbuild helper platform is selected from build-host OS/architecture,official-upstream,established,DENO-SRC-ESBUILD,esbuild_platform(),2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-015,request mode,deno bundle,"CLI accepts multiple entrypoints and output/outdir, with stdout topology where applicable",official-upstream,established,DENO-SRC-CLI-DEFS,BUNDLE_SUBCOMMAND,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-016,modifier,deno bundle,"CLI exposes format, packages, platform, sourcemap, external, minify, keep-names, splitting and inline imports",official-upstream,established,DENO-SRC-CLI-DEFS,BUNDLE_SUBCOMMAND args,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-017,sub-operation,deno bundle --check,check performs type checking before bundle emission,official-upstream,established,DENO-SRC-BUNDLE-CLI,bundle() check_specifiers,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-018,sub-operation,deno bundle --declaration,"declaration mode builds graph, type-checks, and rolls relative re-export closure",official-upstream,established,DENO-SRC-BUNDLE-CLI,emit_bundle_declarations,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-019,relation,bundle declaration topology,output/outdir determine rolled declaration location per entry,official-upstream,established,DENO-SRC-BUNDLE-CLI,emit_bundle_declarations/to_dts_path,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-020,request mode,deno bundle HTML,HTML entrypoints require outdir and reject outputPath,official-upstream,established,DENO-SRC-BUNDLE-CLI,prepare_inputs HTML branch,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-021,result field,deno bundle outputs,<stdout> is emitted to stdout; other output files are direct filesystem writes,official-upstream,established,DENO-SRC-BUNDLE-CLI,process_result,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-022,runtime capability,deno bundle watch,watch uses long-lived rebuild machinery without a structured CLI rebuild result protocol,official-upstream,established,DENO-SRC-BUNDLE-CLI,bundle_watch,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-023,request mode,deno transpile,one input with no output selection emits JavaScript to stdout,official-upstream,established,DENO-SRC-TRANSPILE,is_stdout_mode,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-024,request mode,deno transpile,multiple inputs cannot use one --output and require outdir topology,official-upstream,established,DENO-SRC-TRANSPILE,files.len/output validation,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-025,modifier,deno transpile,"source maps support none, inline and separate; separate is invalid with stdout",official-upstream,established,DENO-SRC-TRANSPILE,SourceMapMode validation,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-026,relation,deno transpile project authority,relative inputs use initial cwd and compiler options resolve from configuration scope,official-upstream,established,DENO-SRC-TRANSPILE,initial_cwd/compiler_options_resolver,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-027,sub-operation,deno transpile declarations,--declaration builds graph with npm resolution and invokes type checker,official-upstream,established,DENO-SRC-TRANSPILE,emit_declarations,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-028,relation,transpile declaration scope,one invocation requires a common compiler-options scope,official-upstream,established,DENO-SRC-TRANSPILE,entry_for_specifier scope validation,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-029,relation,transpile declaration topology,outdir preserves relative declaration structure; -o places declarations beside output,official-upstream,established,DENO-SRC-TRANSPILE,resolve_dts_output_path,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-030,request mode,deno compile,compile is a selected-command operation; no reviewed host compile twin exists,official-upstream,established,DENO-SRC-CLI-DEFS,COMPILE_SUBCOMMAND,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-031,modifier,deno compile target set,compile accepts six explicit target triples,official-upstream,established,DENO-SRC-CLI-DEFS,SUPPORTED_OS,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-032,relation,compile target/denort,requested target x86_64-unknown-linux-gnu selects a target-specific denort runtime archive,official-upstream,established,DENO-SRC-STANDALONE,get_base_binary/runtime_archive_name,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,x86_64-unknown-linux-gnu,target-selection,source-research,source-established; execution-pending,
DENO-CL-033,relation,compile target/denort,requested target aarch64-unknown-linux-gnu selects a target-specific denort runtime archive,official-upstream,established,DENO-SRC-STANDALONE,get_base_binary/runtime_archive_name,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,aarch64-unknown-linux-gnu,target-selection,source-research,source-established; execution-pending,
DENO-CL-034,relation,compile target/denort,requested target x86_64-pc-windows-msvc selects a target-specific denort runtime archive,official-upstream,established,DENO-SRC-STANDALONE,get_base_binary/runtime_archive_name,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,x86_64-pc-windows-msvc,target-selection,source-research,source-established; execution-pending,
DENO-CL-035,relation,compile target/denort,requested target aarch64-pc-windows-msvc selects a target-specific denort runtime archive,official-upstream,established,DENO-SRC-STANDALONE,get_base_binary/runtime_archive_name,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,aarch64-pc-windows-msvc,target-selection,source-research,source-established; execution-pending,
DENO-CL-036,relation,compile target/denort,requested target x86_64-apple-darwin selects a target-specific denort runtime archive,official-upstream,established,DENO-SRC-STANDALONE,get_base_binary/runtime_archive_name,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,x86_64-apple-darwin,target-selection,source-research,source-established; execution-pending,
DENO-CL-037,relation,compile target/denort,requested target aarch64-apple-darwin selects a target-specific denort runtime archive,official-upstream,established,DENO-SRC-STANDALONE,get_base_binary/runtime_archive_name,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,aarch64-apple-darwin,target-selection,source-research,source-established; execution-pending,
DENO-CL-038,sub-operation,denort override,DENORT_BIN is consulted before normal archive selection,official-upstream,established,DENO-SRC-STANDALONE,get_dev_binary_path,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-039,relation,denort channel identity,canary archives are keyed by git hash; non-canary archives use release version path,official-upstream,established,DENO-SRC-STANDALONE,release_channel binary_path_suffix,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-040,sub-operation,denort cache,compile checks DENO_DIR download cache for denort archive,official-upstream,established,DENO-SRC-STANDALONE,binary_path.exists,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-041,sub-operation,denort download,missing archive triggers dl.deno.land download and atomic cache write,official-upstream,established,DENO-SRC-STANDALONE,download_base_binary,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established; offline outcome execution-pending,
DENO-CL-042,relation,compile host vs target,build host authority is independent from requested output target,official-upstream,established,DENO-SRC-CLI-DEFS,SUPPORTED_OS + target resolution,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established; cross-run execution-pending,
DENO-CL-043,sub-operation,compile includes,include paths and selected workspace/npm material are embedded into standalone VFS,official-upstream,established,DENO-SRC-STANDALONE,write_standalone_binary/include_paths,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-044,relation,compile permission policy,runtime permissions are embedded separately from trusted compile-time reads,official-upstream,established,DENO-SRC-STANDALONE,standalone metadata/trusted compile source path,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established; runtime execution-pending,
DENO-CL-045,modifier,deno compile --bundle,--bundle is explicitly experimental while parent compile stays stable,official-upstream,established,DENO-SRC-COMPILE,compile_inner warning,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-046,runtime capability,compiled Deno.bundle,v2.9.5 denort default BundleProvider reports Deno.bundle unavailable in compiled binaries,official-upstream,established,DENO-SRC-BUNDLE-RS,impl BundleProvider for (),2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-047,post-production mutation,compile binary assembly,standalone data is appended to ELF/PE/Mach-O and target-specific correctness steps occur before publication,official-upstream,established,DENO-SRC-STANDALONE,write_binary_bytes,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,No distribution trust claim.
DENO-CL-048,architecture-law,experimental isolation,bundle experimental status must not infect stable compile/transpile identities,github,established,EB-DECISIONS,D6,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-049,architecture-law,acquisition visibility,"runtime/helper acquisition must be explicit, never an invisible fallback",github,established,EB-COMPAT,compatibility evaluator,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-050,portable-role,BrowserModulePayload,provider-native Deno outputs do not prove portable browser-role conformance,github,proposed,EB-RESEARCH,R5,2026-08-19,Deno v2.9.5 tag @ 17fadf33a8df3af9488b9f42efd1f2290d6dc7a3,source-inspection,n/a,default,source-research,source-established,
DENO-CL-051,runtime capability,historical compiled Deno.bundle,Deno 2.9.3 recorded execution observed compiled-runtime bundle API unavailable,recorded-execution,established,EB-DENO-RECEIPT,Actions run 31971767617 / compiled-deno-bundle-api,2026-08-19,Deno 2.9.3 exact recorded coordinate,GitHub Actions recorded host,n/a,compiled-runtime-api,historical-execution,recorded-execution,Historical coordinate only.
DENO-CL-052,runtime capability,historical bundle permissions,Deno 2.9.3 no-grant observation contradicted older declaration expectations,recorded-execution,established,EB-DENO-RECEIPT,Actions run 31971767617 / host-api-boundaries,2026-08-19,Deno 2.9.3 exact recorded coordinate,GitHub Actions recorded host,n/a,permissions,historical-execution,recorded-execution,v2.9.5 must be re-executed.
