evidence_id,operation_refs,provider_implementation_identity,host,requested_target,non_semantic_option_mode,evaluation_phase,evidence_class,observed_result,source_id,source_coordinate,retrieval_date,compatibility_commitment,certification_status,limitations
E-BUN-011,OP-BUN-007,Bun 1.3.14; tag bun-v1.3.14; commit 0d9b296af33f2b851fcbf4df3e9ec89751734ba4,Bun JavaScript runtime,browser|bun|node,outdir direct-write,documentation+tagged-source,UPSTREAM-DIRECT,outdir selects provider writes; tagged source routes Bun.build through BundleV2.,BUN-BUILD-DOC;BUN-JSBUNDLER-SRC,docs/bundler/index.mdx output; src/runtime/api/JSBundler.zig Config.outdir/buildFn,2026-08-19,source-exact-v1.3.14,source-only-not-certified,No atomicity/partial-write/interruption proof.
E-BUN-012,OP-BUN-008,Bun 1.3.14; tag bun-v1.3.14; commit 0d9b296af33f2b851fcbf4df3e9ec89751734ba4,selected Bun executable,default or CLI target,no outfile/outdir; stdout,documentation,UPSTREAM-DIRECT,Tagged macro docs demonstrate bun build emitting a finite bundle to stdout.,BUN-MACRO-DOC,docs/bundler/macros.mdx first bun build example,2026-08-19,source-exact-v1.3.14,source-only-not-certified,Does not prove binary/multi-entry/asset/HTML/map stdout topology.
E-BUN-013,OP-BUN-009,Bun 1.3.14; tag bun-v1.3.14; commit 0d9b296af33f2b851fcbf4df3e9ec89751734ba4,selected Bun executable,browser|bun|node,outfile/outdir/metafile,documentation,UPSTREAM-DIRECT,"CLI one-shot build exposes direct writes, targets, splitting, assets, maps, externals, and metafile.",BUN-BUILD-DOC,docs/bundler/index.mdx and CLI option reference,2026-08-19,source-exact-v1.3.14,source-only-not-certified,No API callback/virtual-file parity.
E-BUN-014,OP-BUN-010,Bun 1.3.14; tag bun-v1.3.14; commit 0d9b296af33f2b851fcbf4df3e9ec89751734ba4,selected Bun executable,CLI build target,--watch,documentation+declaration-inspection,UPSTREAM-DIRECT,Watch is documented only for CLI; no BuildConfig watch member exists in tagged declarations.,BUN-BUILD-DOC;BUN-DTS,docs/bundler/index.mdx Watch mode; bun.d.ts BuildConfig 2612-3067,2026-08-19,source-exact-v1.3.14,source-only-not-certified,No machine protocol/signal/cleanup guarantee.
E-BUN-015,OP-BUN-011,Bun 1.3.14; tag bun-v1.3.14; commit 0d9b296af33f2b851fcbf4df3e9ec89751734ba4,Bun JavaScript runtime,Bun compile target tuple,compile object; API,declaration+documentation,UPSTREAM-DIRECT,"API compile exposes target, outfile, execArgv, executablePath, autoload policy, and Windows metadata.",BUN-DTS;BUN-EXEC-DOC,bun.d.ts CompileBuildOptions 3022-3067; docs/bundler/executables.mdx API examples,2026-08-19,source-exact-v1.3.14,source-only-not-certified,No complete target/acquisition execution.
E-BUN-016,OP-BUN-011;OP-BUN-012,Bun 1.3.14; tag bun-v1.3.14; commit 0d9b296af33f2b851fcbf4df3e9ec89751734ba4,build host varies,documented target matrix,OS/arch/libc/SIMD/version tokens,documentation+tagged-source,UPSTREAM-DIRECT,"Docs enumerate Linux glibc/musl, macOS, Windows, x64/arm64, x64 modern/baseline; tagged source shows parser/acquisition.",BUN-EXEC-DOC;BUN-TARGET-SRC,docs/bundler/executables.mdx Supported targets; src/options_types/CompileTarget.zig,2026-08-19,source-exact-v1.3.14,source-only-not-certified,Internal FreeBSD/Android/version branches are not public commitments.
E-BUN-017,OP-BUN-012,Bun 1.3.14; tag bun-v1.3.14; commit 0d9b296af33f2b851fcbf4df3e9ec89751734ba4,selected Bun executable,Bun compile target tuple,--compile; CLI,documentation,UPSTREAM-DIRECT,"CLI compile supports Bun executables, full-stack mode, embedded files/workers, bytecode, and runtime settings.",BUN-EXEC-DOC;BUN-BYTECODE-DOC,docs/bundler/executables.mdx; docs/bundler/bytecode.mdx,2026-08-19,source-exact-v1.3.14,source-only-not-certified,No target matrix/offline/interruption/remnant proof.
E-BUN-018,OP-BUN-014,Bun 1.3.14; tag bun-v1.3.14; commit 0d9b296af33f2b851fcbf4df3e9ec89751734ba4,Bun JavaScript runtime,plugin target browser|bun|node,ambient Bun.plugin,declaration+documentation,UPSTREAM-DIRECT,Bun.plugin globally registers setup/hooks; setup may be called later or multiple times for targets.,BUN-DTS;BUN-PLUGIN-DOC,bun.d.ts 5610-5701; docs/bundler/plugins.mdx runtime plugin sections,2026-08-19,source-exact-v1.3.14,source-only-not-certified,No scoped handle/concurrency/active-build race proof.
E-BUN-019,OP-BUN-015,Bun 1.3.14; tag bun-v1.3.14; commit 0d9b296af33f2b851fcbf4df3e9ec89751734ba4,Bun JavaScript runtime,n/a,plugin.clearAll,declaration,UPSTREAM-DIRECT,clearAll is declared to deactivate plugins for future builds.,BUN-DTS,bun.d.ts 5690-5701,2026-08-19,source-exact-v1.3.14,source-only-not-certified,No active/concurrent build execution.
E-BUN-020,OP-BUN-006;OP-BUN-007;OP-BUN-011,Bun 1.3.14; tag bun-v1.3.14; commit 0d9b296af33f2b851fcbf4df3e9ec89751734ba4,not-executed,n/a,internal Zig/native interop boundary,tagged-source-inspection,TAGGED-SOURCE-CORROBORATION,"Internal Zig exists; public surfaces are JS APIs, experimental bun:ffi, Node-API, and narrow native plugin callbacks—not an embeddable bundler ABI.",BUN-JSBUNDLER-SRC;BUN-FFI-DOC;BUN-PLUGIN-DOC,JSBundler.zig buildFn/BundleV2; ffi.mdx warning; plugins.mdx Native plugins,2026-08-19,none,source-only-not-certified,Absence claim bounded to reviewed tag.
E-BUN-021,OP-BUN-007;OP-BUN-011,Bun 1.3.14; exact runtime selected by receipt; receipt source 9b0d2f59567a7684b62df932c67b7a96050b605f,ubuntu-latest x64 GitHub Actions,host Bun executable; JavaScript bundle and HTML graph,host API direct-write; API compile; Promise settlement observation,recorded-execution,EXACT-RECEIPT,"A direct-write JavaScript compile produced one 8,388,731-byte executable; an HTML graph direct-write build produced JavaScript, HTML, and CSS; the fixture observed no output before the Promise settled.",EB-RECEIPT-HOST,Actions run 31971767617 artifact 9269991589; host-api-boundaries.json; records bun-1.3.14/api-compile and bun-1.3.14/api-html-direct-write,2026-08-19,exact-coordinate-only,recorded-not-product-certified,"One fixture cannot establish cancellation, partial-write behavior, atomicity, cleanup, retained-artifact ownership, or general support."
E-BUN-022,OP-BUN-007;OP-BUN-011,Bun 1.3.9; exact runtime selected by receipt; receipt source 9b0d2f59567a7684b62df932c67b7a96050b605f,ubuntu-latest x64 GitHub Actions,host Bun executable; JavaScript bundle and HTML graph,host API direct-write; API compile; Promise settlement observation,recorded-execution,EXACT-RECEIPT,"A direct-write JavaScript compile produced one 8,388,731-byte executable; an HTML graph direct-write build produced JavaScript, HTML, and CSS; the fixture observed no output before the Promise settled.",EB-RECEIPT-HOST,Actions run 31971767617 artifact 9269991589; host-api-boundaries.json; records bun-1.3.9/api-compile and bun-1.3.9/api-html-direct-write,2026-08-19,exact-coordinate-only,recorded-not-product-certified,"One fixture cannot establish cancellation, partial-write behavior, atomicity, cleanup, retained-artifact ownership, or a continuous version interval."
E-BUN-023,OP-BUN-009,Bun 1.3.9; existing effect-build research execution; receipt source 9b0d2f59567a7684b62df932c67b7a96050b605f,ubuntu-latest x64 GitHub Actions,node,selected command; one JavaScript entry; external package retained; metafile requested,recorded-execution,EXACT-RECEIPT,The existing provider fixture produced one JavaScript output and a metafile satisfying its narrow Node-main oracle.,EB-RECEIPT-PROVIDER,Actions run 31971767617 artifact 9269991589; existing-provider-research.json; Bun narrow Node main record,2026-08-19,exact-coordinate-only,recorded-not-product-certified,"This does not prove every NodeMainProgram coordinate, every import form, asset policy, source map relation, or host/version."
E-BUN-024,OP-BUN-009,Bun 1.3.9; existing effect-build research execution; receipt source 9b0d2f59567a7684b62df932c67b7a96050b605f,ubuntu-latest x64 GitHub Actions,browser,selected command; HTML entry graph; direct-write,recorded-execution,EXACT-RECEIPT,"The HTML graph fixture produced JavaScript, CSS, and HTML whose references resolved. A broader static-web candidate was rejected by the recorded oracle.",EB-RECEIPT-PROVIDER,Actions run 31971767617 artifact 9269991589; existing-provider-research.json; Bun HTML graph and broad-static-web records,2026-08-19,exact-coordinate-only,recorded-not-product-certified,The positive fixture is not a proof of a generic static-site contract; the rejection is bounded to the tested broader candidate.
E-BUN-025,OP-BUN-009,Bun 1.3.9; profile-refinement execution; receipt source 9b0d2f59567a7684b62df932c67b7a96050b605f,ubuntu-latest x64 GitHub Actions,browser,selected command; module entry importing CSS; direct-write,recorded-execution,EXACT-RECEIPT,The browser-module fixture produced JavaScript plus CSS and passed the recorded reference-resolution check.,EB-RECEIPT-PROFILE,Actions run 31971767617 artifact 9269991589; profile-refinement.json; Bun browser module output set,2026-08-19,exact-coordinate-only,recorded-not-product-certified,"One JS+CSS fixture does not establish HTML ownership, arbitrary assets, chunk discovery, source-map topology, or a portable role."
E-BUN-026,OP-BUN-010,Bun 1.3.9; existing effect-build research execution; receipt source 9b0d2f59567a7684b62df932c67b7a96050b605f,ubuntu-latest x64 GitHub Actions,node,selected command --watch; initial build; source edit; rebuild; SIGTERM,recorded-execution,EXACT-RECEIPT,"The raw watch fixture completed an initial build, rebuilt after a source edit, emitted human-oriented output, and exited after SIGTERM; no machine-readable event flag was observed.",EB-RECEIPT-PROVIDER,Actions run 31971767617 artifact 9269991589; existing-provider-research.json; Bun raw watch record,2026-08-19,exact-coordinate-only,recorded-not-product-certified,"No timing, signal escalation, descendant cleanup, failed-rebuild recovery, remnant, or cross-platform behavior is proved."
E-BUN-027,OP-BUN-012;OP-BUN-013,Bun 1.3.9; existing effect-build research execution; receipt source 9b0d2f59567a7684b62df932c67b7a96050b605f,ubuntu-latest x64 GitHub Actions,bun-linux-x64,selected command --compile; effect-build executable fixture,recorded-execution,EXACT-RECEIPT,"The fixture produced a 102,368,005-byte executable whose runtime self-report identified Bun.",EB-RECEIPT-PROVIDER,Actions run 31971767617 artifact 9269991589; existing-provider-research.json; Bun executable record,2026-08-19,exact-coordinate-only,recorded-not-product-certified,"No other target tuple, API path, bytecode mode, embedded asset, interruption, acquisition, signing, or cleanup coordinate is proved."
E-BUN-028,OP-BUN-006;OP-BUN-007;OP-BUN-010;OP-BUN-011;OP-BUN-012,Bun 1.3.9; exact runtime selected by receipt; receipt source 9b0d2f59567a7684b62df932c67b7a96050b605f,ubuntu-latest x64 GitHub Actions,tested fixture coordinates,capability-presence version boundary,recorded-execution,EXACT-RECEIPT,"The receipt observed the selected Bun build, compile, raw watch, and metafile capabilities at exact version 1.3.9.",EB-RECEIPT-VERSIONS,Actions run 31971767617 artifact 9269991589; version-boundaries.json; Bun 1.3.9,2026-08-19,exact-coordinate-only,recorded-not-product-certified,"This is an exact observation, not a lower bound or continuous supported range."
E-BUN-029,OP-BUN-006;OP-BUN-007;OP-BUN-010;OP-BUN-011;OP-BUN-012,Bun 1.3.14; exact runtime selected by receipt; receipt source 9b0d2f59567a7684b62df932c67b7a96050b605f,ubuntu-latest x64 GitHub Actions,tested fixture coordinates,capability-presence version boundary,recorded-execution,EXACT-RECEIPT,"The receipt observed the selected Bun build, compile, raw watch, and metafile capabilities at exact version 1.3.14.",EB-RECEIPT-VERSIONS,Actions run 31971767617 artifact 9269991589; version-boundaries.json; Bun 1.3.14,2026-08-19,exact-coordinate-only,recorded-not-product-certified,"This is an exact observation, not an upper bound or continuous supported range."
E-EB-001,OP-BUN-009;OP-BUN-012;OP-BUN-013,effect-build source c4cefd0acc2b7854cc25513967af1a8d415ccab0,source inspection,node and enumerated Bun executable targets,current package implementation,repository-source-inspection,REPOSITORY-DIRECT,The package currently implements selected-command executable compilation and a narrow Node-target JavaScript bundle continuation; it does not expose the broader upstream Bun API surface.,EB-BUN-PKG,packages/effect-build-bun/src/Adapter.ts; Bundle.ts; index.ts; package.json at immutable base,2026-08-19,implementation-exact-base,source-only-not-certified,"Implementation status is not semantic validity, product authority, compatibility commitment, or runtime certification."
