ordinal,sha,parent_in_observed_chain,commit_message,files_changed_or_scope,file_inventory_quality,research_question,authority_status,primary_evidence_class,commit_url
11,c52c85900dfa023252cdac0df2c4cd5a98400b62,1baf2b3af81ccce3ad3d9bfd129f588146e48cc9,research: add profile and compatibility boundary probes,research/post-0.3/*compatibility*; research/post-0.3/*version*; workflow wiring,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/c52c85900dfa023252cdac0df2c4cd5a98400b62
12,fcf373a4047f1385c13d7471b0aea73ebfad8224,c52c85900dfa023252cdac0df2c4cd5a98400b62,research: close host boundary and mismatch evidence gaps,research/post-0.3/** and/or .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/fcf373a4047f1385c13d7471b0aea73ebfad8224
13,af4887c36753a82c3c97fafc54b3c368cd98b34d,fcf373a4047f1385c13d7471b0aea73ebfad8224,docs: revise architecture from executable falsification,plans/**,path-family-reconstruction; not a per-commit exact list,How should evidence be consolidated into architecture and implementation gates?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/af4887c36753a82c3c97fafc54b3c368cd98b34d
14,385677be448cc4463291d2b42ce60e1f43e11cfb,af4887c36753a82c3c97fafc54b3c368cd98b34d,research: make architecture certification fail closed,research/post-0.3/** and/or .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/385677be448cc4463291d2b42ce60e1f43e11cfb
15,9f86a2f21782742d495e5a3e0362034a9bbd029b,385677be448cc4463291d2b42ce60e1f43e11cfb,ci: scope receipt path to the research job,.github/workflows/**; research/post-0.3/** (where named by message),path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/9f86a2f21782742d495e5a3e0362034a9bbd029b
16,dfeef3a8c68dde88299e51db825b04d1a4a08182,9f86a2f21782742d495e5a3e0362034a9bbd029b,ci: initialize research environment after checkout,.github/workflows/**; research/post-0.3/** (where named by message),path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/dfeef3a8c68dde88299e51db825b04d1a4a08182
17,aa6667ad57013266c6c43e44b83f5ed3bb502997,dfeef3a8c68dde88299e51db825b04d1a4a08182,research: run Deno executable fixture without source rewriting,research/post-0.3/** and/or .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/aa6667ad57013266c6c43e44b83f5ed3bb502997
18,a8a27c84b32e6b732ab5bfea5e83ce158fae2aea,aa6667ad57013266c6c43e44b83f5ed3bb502997,research: preserve canonical Deno selection in fixture adapter,research/post-0.3/** and/or .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/a8a27c84b32e6b732ab5bfea5e83ce158fae2aea
19,758ad2cda0b0998cf52dd00223dc00969d0803f0,a8a27c84b32e6b732ab5bfea5e83ce158fae2aea,research: make Deno no-check wrapper idempotent,research/post-0.3/** and/or .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/758ad2cda0b0998cf52dd00223dc00969d0803f0
20,96d5123f54ef1258a6de6e10d17f2c1dadb2ec14,758ad2cda0b0998cf52dd00223dc00969d0803f0,research: compile canonical Node-main contracts,research/post-0.3/final/**; research/post-0.3/*node-main*; workflow wiring,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/96d5123f54ef1258a6de6e10d17f2c1dadb2ec14
21,8044dcf960d4974d0edda34f479a89a2861e596d,96d5123f54ef1258a6de6e10d17f2c1dadb2ec14,ci: compile exact final research contracts,.github/workflows/**; research/post-0.3/** (where named by message),path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/8044dcf960d4974d0edda34f479a89a2861e596d
22,f98797748e4aec0283ca6ef4e7498b6cfa40fa05,8044dcf960d4974d0edda34f479a89a2861e596d,research: make compatibility comparator exhaustive,research/post-0.3/*compatibility*; research/post-0.3/*version*; workflow wiring,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/f98797748e4aec0283ca6ef4e7498b6cfa40fa05
23,0733db02e575c9d2345acd7df91743beb3a19543,f98797748e4aec0283ca6ef4e7498b6cfa40fa05,research: preserve NodeMain acquisition error type,research/post-0.3/final/**; research/post-0.3/*node-main*; workflow wiring,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/0733db02e575c9d2345acd7df91743beb3a19543
24,55cb3c90368307b8a6dd0f7d0b37d7161bc6d71f,0733db02e575c9d2345acd7df91743beb3a19543,research: make Node SEA interruption Effect-native,research/post-0.3/** and/or .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/55cb3c90368307b8a6dd0f7d0b37d7161bc6d71f
25,822312b2f0581bec831a957115d21fbdcfb36180,55cb3c90368307b8a6dd0f7d0b37d7161bc6d71f,research: type ignored-stdin Node processes honestly,research/post-0.3/** and/or .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/822312b2f0581bec831a957115d21fbdcfb36180
26,45a9e9185494e9d5944dcb0310c4a9e5caf6657a,822312b2f0581bec831a957115d21fbdcfb36180,ci: export canonical research formatting,.github/workflows/**; research/post-0.3/** (where named by message),path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/45a9e9185494e9d5944dcb0310c4a9e5caf6657a
27,4f718f37dc1182cd7aee8190ee647fba17dd2da4,45a9e9185494e9d5944dcb0310c4a9e5caf6657a,ci: target final TypeScript candidates explicitly,.github/workflows/**; research/post-0.3/** (where named by message),path-family-reconstruction; not a per-commit exact list,What contract/lifecycle evidence narrows the post-0.3 architecture?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/4f718f37dc1182cd7aee8190ee647fba17dd2da4
28,33e377816385f5c97bae79e1cd17d8892d836f52,4f718f37dc1182cd7aee8190ee647fba17dd2da4,research: apply canonical final contract formatting,research/post-0.3/** and/or .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/33e377816385f5c97bae79e1cd17d8892d836f52
29,0828f3de9459c87301b0abe58e643c795c86eba4,33e377816385f5c97bae79e1cd17d8892d836f52,ci: export isolated architecture research source,.github/workflows/**; research/post-0.3/** (where named by message),path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/0828f3de9459c87301b0abe58e643c795c86eba4
30,6b56909018c42f90a67749662013ae0c360fc02f,0828f3de9459c87301b0abe58e643c795c86eba4,research: model operation-specific compatibility honestly,research/post-0.3/*compatibility*; research/post-0.3/*version*; workflow wiring,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,historical evidence; later work may supersede details,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/6b56909018c42f90a67749662013ae0c360fc02f
31,9b0d2f59567a7684b62df932c67b7a96050b605f,6b56909018c42f90a67749662013ae0c360fc02f,research: assert compatibility decisions and override boundaries,research/post-0.3/compatibility.test.ts,exact-from-commit-API,What is the truthful Node-main production/assembly domain and relation?,last fully reproduced structured-receipt boundary,REMOTE-COMPILED,https://github.com/mannyc2/effect-build/commit/9b0d2f59567a7684b62df932c67b7a96050b605f
32,b34660c17fe85c557855601de59f0d8958617261,9b0d2f59567a7684b62df932c67b7a96050b605f,research: define canonical profile contracts,research/post-0.3/** and/or .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/b34660c17fe85c557855601de59f0d8958617261
33,0613cdd7a5bbaac590ce312f5e1033ea2273bf1d,b34660c17fe85c557855601de59f0d8958617261,research: compile unchanged consumers against exact contracts,research/post-0.3/** and/or .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/0613cdd7a5bbaac590ce312f5e1033ea2273bf1d
34,f7eeaf8f0c6960e2f74769ea04e0dd714270c9c2,0613cdd7a5bbaac590ce312f5e1033ea2273bf1d,research: certify exact contracts at both Effect endpoints,research/post-0.3/** and/or .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/f7eeaf8f0c6960e2f74769ea04e0dd714270c9c2
35,057fa6c9f1d147800e896de590654d09c03c144f,f7eeaf8f0c6960e2f74769ea04e0dd714270c9c2,research: receipt the compatibility model conclusions,research/post-0.3/*compatibility*; research/post-0.3/*version*; workflow wiring,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/057fa6c9f1d147800e896de590654d09c03c144f
36,5dbd895741d46dd59cdf15e44396372302045b57,057fa6c9f1d147800e896de590654d09c03c144f,research: certify contracts and compatibility conclusions,research/post-0.3/*compatibility*; research/post-0.3/*version*; workflow wiring,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/5dbd895741d46dd59cdf15e44396372302045b57
37,82f80d49bdbd56b20d3b3db0e2dc8287126ff93d,5dbd895741d46dd59cdf15e44396372302045b57,research: bridge contract certifications into the receipt workflow,research/post-0.3/** and/or .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/82f80d49bdbd56b20d3b3db0e2dc8287126ff93d
38,b576f221297ab0e87d3e86ed82cdf94b1b3e74e5,82f80d49bdbd56b20d3b3db0e2dc8287126ff93d,research: include contract endpoint certification in the receipt set,research/post-0.3/** and/or .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/b576f221297ab0e87d3e86ed82cdf94b1b3e74e5
39,3e0708851b1e13f6e1bfbe326d23c1fd80d72cb6,b576f221297ab0e87d3e86ed82cdf94b1b3e74e5,research: derive contract documentation from declarations,research/post-0.3/** and/or .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/3e0708851b1e13f6e1bfbe326d23c1fd80d72cb6
40,3e9a4293bef30e45438d091760f0181bdf4af1e0,3e0708851b1e13f6e1bfbe326d23c1fd80d72cb6,docs: check in generated executable contract reference,plans/**,path-family-reconstruction; not a per-commit exact list,How should evidence be consolidated into architecture and implementation gates?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/3e9a4293bef30e45438d091760f0181bdf4af1e0
41,787ee7844ff6a8809bc329265543b447a61203ea,3e9a4293bef30e45438d091760f0181bdf4af1e0,research: certify generated contracts with profile refinements,research/post-0.3/** and/or .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/787ee7844ff6a8809bc329265543b447a61203ea
42,2affcf229e52885a4d36a41061c2756341ce0bfc,787ee7844ff6a8809bc329265543b447a61203ea,research: add generated contract conclusion to receipt validation,research/post-0.3/** and/or .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/2affcf229e52885a4d36a41061c2756341ce0bfc
43,501ca7cca327c1e8ea55eaa30e6a3dfc1edc9d8f,2affcf229e52885a4d36a41061c2756341ce0bfc,research: validate the complete declaration and behavior receipt set,research/post-0.3/** and/or .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/501ca7cca327c1e8ea55eaa30e6a3dfc1edc9d8f
44,a190a68efd1cf30aec7d35b31333b696d4e1338f,501ca7cca327c1e8ea55eaa30e6a3dfc1edc9d8f,research: execute adversarial browser applications in headless Chrome,research/post-0.3/*browser*; receipts/expected conclusions; workflow wiring,path-family-reconstruction; not a per-commit exact list,Which browser application topology survives real-browser execution?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/a190a68efd1cf30aec7d35b31333b696d4e1338f
45,5a436c0b8ab0a041f7bed5b1146d3fbcbc500da9,a190a68efd1cf30aec7d35b31333b696d4e1338f,research: certify browser behavior at provider boundaries,research/post-0.3/*browser*; receipts/expected conclusions; workflow wiring,path-family-reconstruction; not a per-commit exact list,Which browser application topology survives real-browser execution?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/5a436c0b8ab0a041f7bed5b1146d3fbcbc500da9
46,b911c83338a7396ade1a0b3810d7482d86b52f78,5a436c0b8ab0a041f7bed5b1146d3fbcbc500da9,research: execute the canonical Node-main matrix,research/post-0.3/final/**; research/post-0.3/*node-main*; workflow wiring,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/b911c83338a7396ade1a0b3810d7482d86b52f78
47,a90ca0376fc3578e18be4dcd94c6cc4da5df16c2,b911c83338a7396ade1a0b3810d7482d86b52f78,research: certify the canonical Node-main assembly domain,research/post-0.3/final/**; research/post-0.3/*node-main*; workflow wiring,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/a90ca0376fc3578e18be4dcd94c6cc4da5df16c2
48,5fdfd5bca49ca0b45578bec0fca63537800e90df,a90ca0376fc3578e18be4dcd94c6cc4da5df16c2,research: harden real-browser application semantics probe,research/post-0.3/*browser*; receipts/expected conclusions; workflow wiring,path-family-reconstruction; not a per-commit exact list,Which browser application topology survives real-browser execution?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/5fdfd5bca49ca0b45578bec0fca63537800e90df
49,f816d7e78fab90ca580dbfc8ab919f11907a3ecd,5fdfd5bca49ca0b45578bec0fca63537800e90df,research: certify packed provider and core protocol graphs,research/post-0.3/** and/or .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/f816d7e78fab90ca580dbfc8ab919f11907a3ecd
50,153f2d719a132ce7c789f5bccb9fce1467fe6ff7,f816d7e78fab90ca580dbfc8ab919f11907a3ecd,research: declare provider-native watch command surfaces,research/post-0.3/*watch*; .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What watch lifecycle and event semantics are actually supported?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/153f2d719a132ce7c789f5bccb9fce1467fe6ff7
51,a9174d5d8839ffcbe0a347d267f83792c4fd8cfd,153f2d719a132ce7c789f5bccb9fce1467fe6ff7,research: execute provider-native watch process lifecycle,research/post-0.3/*watch*; .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What watch lifecycle and event semantics are actually supported?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/a9174d5d8839ffcbe0a347d267f83792c4fd8cfd
52,dcf93cde42a0996644d341576400d11a129a65a9,a9174d5d8839ffcbe0a347d267f83792c4fd8cfd,research: receipt provider-native watch capability,research/post-0.3/*watch*; .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What watch lifecycle and event semantics are actually supported?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/dcf93cde42a0996644d341576400d11a129a65a9
53,b87bac84720beb6ad7ad62e292d96324df3215e2,dcf93cde42a0996644d341576400d11a129a65a9,research: add provider-native watch conclusion to certification,research/post-0.3/*watch*; .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What watch lifecycle and event semantics are actually supported?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/b87bac84720beb6ad7ad62e292d96324df3215e2
54,8b36d675b79aa0baad0e75532e9e47e1623e33f5,b87bac84720beb6ad7ad62e292d96324df3215e2,research: execute Effect and provider lifecycle laws,research/post-0.3/** and/or .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/8b36d675b79aa0baad0e75532e9e47e1623e33f5
55,52395be679f8c877f9d5717cc058e56d89e8b5da,8b36d675b79aa0baad0e75532e9e47e1623e33f5,research: receipt corrected lifecycle laws,research/post-0.3/** and/or .github/workflows/architecture-research.yml,path-family-reconstruction; not a per-commit exact list,What is the truthful Node-main production/assembly domain and relation?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/52395be679f8c877f9d5717cc058e56d89e8b5da
56,2683fb8f96719a5ca3085017214853ee70af9659,52395be679f8c877f9d5717cc058e56d89e8b5da,research: certify Esbuild ownership and Deno offline acquisition,research/post-0.3/*dependency*; workflow wiring,path-family-reconstruction; not a per-commit exact list,Who owns provider dependencies and what works offline?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/2683fb8f96719a5ca3085017214853ee70af9659
57,b9ec04e2f27c4c8923d1a9d9071aff3a4df1bd70,2683fb8f96719a5ca3085017214853ee70af9659,research: receipt dependency ownership and offline behavior,research/post-0.3/*dependency*; workflow wiring,path-family-reconstruction; not a per-commit exact list,Who owns provider dependencies and what works offline?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/b9ec04e2f27c4c8923d1a9d9071aff3a4df1bd70
58,28e3149dc8f33448e03c29124c07966f2ccac47f,b9ec04e2f27c4c8923d1a9d9071aff3a4df1bd70,research: add dependency and offline conclusions to certification,research/post-0.3/*dependency*; workflow wiring,path-family-reconstruction; not a per-commit exact list,Who owns provider dependencies and what works offline?,substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/28e3149dc8f33448e03c29124c07966f2ccac47f
59,dcc6458587135af3c623f7fc0990ae5a19a5a317,28e3149dc8f33448e03c29124c07966f2ccac47f,research: execute Windows lock and cleanup laws,research/post-0.3/*windows*; workflow wiring,path-family-reconstruction; not a per-commit exact list,"How do Windows executable locking, replacement, and cleanup behave?",substantive research after receipt boundary; authority varies by individual run,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/dcc6458587135af3c623f7fc0990ae5a19a5a317
60,49cd5e1be7917bf14e89068afb4fa47cf78488fb,dcc6458587135af3c623f7fc0990ae5a19a5a317,research: add Windows lifecycle conclusion to certification,research/post-0.3/expected-windows-conclusions.json,exact-from-commit-API,"How do Windows executable locking, replacement, and cleanup behave?",latest-substantive-head; expected conclusion not remotely certified at this SHA,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/49cd5e1be7917bf14e89068afb4fa47cf78488fb
61,9354361c94842e622c0750f83ceb63436fe9247e,49cd5e1be7917bf14e89068afb4fa47cf78488fb,research: export exact formatting and typecheck toolchain,.github/workflows/research-toolchain-export.yml,path-family-reconstruction; not a per-commit exact list,"Can the missing canonical closure be transported, reconstructed, checked, and applied?",toolchain-export-only,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/9354361c94842e622c0750f83ceb63436fe9247e
62,5dbfc924a25d1af55d566a96d7a020478d7637f3,9354361c94842e622c0750f83ceb63436fe9247e,research: run exact toolchain export,.github/workflows/research-toolchain-export.yml,path-family-reconstruction; not a per-commit exact list,"Can the missing canonical closure be transported, reconstructed, checked, and applied?",toolchain-export-only,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/5dbfc924a25d1af55d566a96d7a020478d7637f3
63,26dd392bf315fe6315baa8b567d049ec571924a4,5dbfc924a25d1af55d566a96d7a020478d7637f3,research: export parser and semver toolchain,.github/workflows/research-toolchain-export.yml,path-family-reconstruction; not a per-commit exact list,"Can the missing canonical closure be transported, reconstructed, checked, and applied?",toolchain-export-only,REPOSITORY-DOCUMENTED,https://github.com/mannyc2/effect-build/commit/26dd392bf315fe6315baa8b567d049ec571924a4
