claim_id,claim,evidence_class,source_coordinates,actions_run_job_artifact,official_upstream_url,statement_kind,confidence,qualification
WATCH-002,A raw scoped provider-native watch surface is repository-documented after the receipt boundary,UNVERIFIED-CLAIM,49cd5e1be7917bf14e89068afb4fa47cf78488fb:research/post-0.3/watch-contracts.ts:L5-L33 and expected-watch-conclusions.json:L1-L11,,,observation,medium,Requires re-execution before product claim.
OWNERSHIP-001,A nested second continuation did not prevent raw path escape and was rejected as an ownership improvement,FALSIFIED,49cd5e1be7917bf14e89068afb4fa47cf78488fb:plans/POST-0.3-NATIVE-CAPABILITY-ARCHITECTURE.md:L22-L55 plus law probes,,,observation,high,One producer continuation plus closure-owned acquisition has fewer states.
OWNERSHIP-002,Author/Tool is justified only for selection/version/capability/compatibility/no-fallback invariants,PRESCRIPTIVE-RECOMMENDATION,49cd5e1be7917bf14e89068afb4fa47cf78488fb:plans/POST-0.3-NATIVE-CAPABILITY-ARCHITECTURE.md:L351-L378,,,recommendation,high,Process ownership stays with Effect.
OWNERSHIP-003,"Author/BorrowedOutput is justified for containment, overlap, liveness, mutation/digest, and closure authority",PRESCRIPTIVE-RECOMMENDATION,49cd5e1be7917bf14e89068afb4fa47cf78488fb:plans/POST-0.3-NATIVE-CAPABILITY-ARCHITECTURE.md:L379-L397,,,recommendation,high,Adds invariants beyond ordinary Scope/temp resources.
OWNERSHIP-004,"Author/Executable is justified for same-parent staging, inspection, digest, and atomic single-file publication",PRESCRIPTIVE-RECOMMENDATION,49cd5e1be7917bf14e89068afb4fa47cf78488fb:plans/POST-0.3-NATIVE-CAPABILITY-ARCHITECTURE.md:L398-L416,,,recommendation,high,No multi-file transaction claim.
CONTRACT-001,"The pushed canonical NodeMain prototype carries protocol, format, Node target/checker, imports, identity, producer, steps, transport, and scoped acquisition",REPOSITORY-DOCUMENTED,49cd5e1be7917bf14e89068afb4fa47cf78488fb:research/post-0.3/final/contracts.ts:L3-L89,,,observation,high,The recovered specification adds requested JSON/import refinements as recommendations.
CONTRACT-002,Reconstructing a canonical Node main from path and format alone is lossy,RECONSTRUCTED-INFERENCE,reconstruction/CANONICAL-CONTRACT-SPEC.md,,,inference,high,"Loses authenticated identity, imports, target, producer, steps, lifetime, and mutation state."
COMPAT-001,"The compatibility prototype distinguishes tested, provider-policy-supported, untested override, known-incompatible, missing-capability, and relational failure states",REMOTE-EXECUTED,9b0d2f59567a7684b62df932c67b7a96050b605f:research/post-0.3/compatibility.test.ts,"runs 31971764975, 31971767617; receipt artifacts",,observation,high,Pure evaluator law passed at the reproduced boundary.
COMPAT-002,"Unknown-but-capable override must not bypass known incompatibility, missing capability, or relation failures",REMOTE-EXECUTED,9b0d2f59567a7684b62df932c67b7a96050b605f:research/post-0.3/compatibility.test.ts,"runs 31971764975, 31971767617",,observation,high,Negative assertions passed.
COMPAT-003,Boundary-point execution does not by itself prove a continuous SemVer range,RECONSTRUCTED-INFERENCE,reconstruction/VERSION-COMPATIBILITY.md,,,inference,high,Ranges are provider policy plus maintained matrices and holes.
UPSTREAM-001,Current Bun documentation exposes native bundling and standalone executable compile capabilities,OFFICIAL-UPSTREAM-CONTRACT,,,https://bun.com/docs/bundler; https://bun.com/docs/bundler/executables,observation,high,Current contract; exact package support still version-policy-owned.
UPSTREAM-002,Current Deno documentation exposes experimental Deno.bundle and deno bundle surfaces,OFFICIAL-UPSTREAM-CONTRACT,,,https://docs.deno.com/runtime/reference/bundling/; https://docs.deno.com/api/deno/bundle/; https://docs.deno.com/runtime/reference/cli/bundle/,observation,high,Postdates some branch observations.
UPSTREAM-003,"Current Esbuild context exposes rebuild, watch, serve, cancel, and dispose",OFFICIAL-UPSTREAM-CONTRACT,,,https://esbuild.github.io/api/,observation,high,Provider-native breadth must not be narrowed to profiles.
UPSTREAM-004,Current Node 26 SEA documentation supports CJS and ESM main formats and requires matching builder/blob binary version,OFFICIAL-UPSTREAM-CONTRACT,,,https://nodejs.org/download/release/v26.1.0/docs/api/single-executable-applications.html,observation,high,Implementation evidence must still be refreshed.
UPSTREAM-005,"Effect platform services already own filesystem, path, scoped process, streams, Scope, spans, and OpenTelemetry bridging semantics",OFFICIAL-UPSTREAM-CONTRACT,,,https://effect-ts.github.io/effect/platform/FileSystem.ts.html; https://effect-ts.github.io/effect/platform/CommandExecutor.ts.html; https://effect-ts.github.io/effect/opentelemetry/Tracer.ts.html,observation,high,Supports rejecting duplicate wrapper APIs.
BROWSER-001,"A general browser profile requires structural HTML/CSS discovery, nested assets, dynamic chunks, URL rewrite, containment, maps, and real-browser execution",PRESCRIPTIVE-RECOMMENDATION,reconstruction/BROWSER-APPLICATION-ROLE.md,,,recommendation,high,Not implemented or certified remotely.
OBS-001,Effect-native spans/logs/annotations can connect to OpenTelemetry through application-provided exporter Layers,OFFICIAL-UPSTREAM-CONTRACT,,,https://effect-ts.github.io/effect/opentelemetry/Tracer.ts.html,observation,high,Library should remain exporter-neutral.
OBS-002,A public SourceLocator is justified only if it adds authenticated/redacted multi-step identity beyond Path and provider maps,PRESCRIPTIVE-RECOMMENDATION,reconstruction/WATCH-AND-OBSERVABILITY.md,,,recommendation,medium,Otherwise it duplicates existing services.
LOSS-001,"The full closure payload, exact canonical implementation, final certificate, and final unpushed PR prose were not recovered",UNVERIFIED-CLAIM,evidence/recovered-part-00 and gaps/LOST-OR-UNVERIFIED.md,,,observation,high,Not recoverable through accessible reachable refs/artifacts; private/local copies remain possible.
