id,provider,operation_identity,surface,upstream_version,stability,request_type,result_type,configuration_project_environment_plugin_authority,input_topology,output_topology,ownership,cancellation_interruption_watch_rebuild_context,permissions_ambient_authority,runtime_target_platform_architecture_libc_host_semantics,structured_diagnostics_native_metadata,provider_only_distinctions_to_preserve,plausible_finite_portable_role,candidate_shape,evidence_class,evidence_status,source_url,source_coordinate,retrieval_date,applicable_host_version,limitation,confidence,semantic_validity,demonstrated_provider_behavior,stable_public_compatibility,product_release_priority,implementation_status,certification_status,exact_probe_required
D01,Deno,Deno.bundle memory,host API,2.9.5,experimental,BundleOptions write=false,BundleResult outputFiles,Deno host/project/resolution,Deno graph,structured memory files,borrowed,one-shot; cancel UNKNOWN,permission behavior UNKNOWN,bundle platform/format,structured diagnostics,Deno resolver/import maps,Browser output narrow,experimental thin function,UPSTREAM-DIRECT,source-established,https://docs.deno.com/api/deno/~/Deno.bundle,Deno.bundle/BundleOptions/BundleResult,2026-08-17,2.9.5,Permission contradiction.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,permission/cancel/config matrix
D02,Deno,Deno.bundle write,host API,2.9.5,experimental,BundleOptions write/outputDir,BundleResult without outputFiles,host/project/filesystem,entry graph,durable tree,provider-direct,one-shot; atomicity UNKNOWN,permission behavior UNKNOWN,bundle platform/format,structured diagnostics,write changes result topology,HTML graph narrow,function/private staging,UPSTREAM-DIRECT,source-established,https://docs.deno.com/api/deno/~/Deno.bundle,write/outputPath/outputDir,2026-08-17,2.9.5,No atomicity established.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,permission/partial failure/interruption
D03,Deno,deno bundle stdout,selected command,2.9.5,experimental,argv/project,stdout/stderr/exit,selected Deno/config/import map/lock,module graph,stdout stream,borrowed stream,child process,Deno process authority,bundle platform/format,human stderr,stdout transport/project authority,single stream only if finite,selected command,UPSTREAM-DIRECT,source-established,https://docs.deno.com/runtime/reference/bundling/,CLI stdout,2026-08-17,2.9.5,Multi-output differs.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,stream/diagnostic/interruption
D04,Deno,deno bundle outdir/split,selected command,2.9.5,experimental,CLI flags/project,durable tree/streams,selected Deno/config/lock/npm,multi-entry graph,chunks/assets/maps/declarations,process/direct writes,one-shot,process authority,platform/format,human diagnostics,project/output topology,browser output narrow,selected command,UPSTREAM-DIRECT,source-established,https://docs.deno.com/runtime/reference/bundling/,CLI output/splitting,2026-08-17,2.9.5,Experimental.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,project precedence/partial writes
D05,Deno,deno bundle --watch,selected command,2.9.5,experimental,watch flags,long-running process,selected Deno/watcher/project,disk graph,repeated writes/human streams,owned process,signal/rebuild session,process authority,bundle target,human output,no machine protocol in receipt,none,scoped opaque handle,UPSTREAM-DIRECT,source-established,https://docs.deno.com/runtime/reference/bundling/,watch,2026-08-17,2.9.5,Typed events falsified.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,rebuild/failure/signal matrix
D06,Deno,bundle declarations/check,API/command,2.9.5,experimental,declaration/check options,JS+d.ts+diagnostics,Deno type/project graph,source/type graph,provider declaration topology,memory/direct/process,one-shot,Deno authority,TS engine semantics,type diagnostics,unresolved imports possible,none broad,provider-native operation,UPSTREAM-DIRECT,source-established,https://docs.deno.com/runtime/reference/bundling/,declarations/type checking,2026-08-17,2.9.5,Rolled-up role falsified.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,multi-file/self-contained oracle
D07,Deno,deno compile,selected command,2.9.5,documented,CLI/config/main,durable executable,selected Deno/cache/runtime/config/permissions,program graph/includes,Deno runtime executable,durable direct,one-shot plus acquisition,embedded permission policy,target tuple/DENORT relation,human diagnostics,runtime acquisition/identity,DenoExecutable only,selected command,UPSTREAM-DIRECT,source-established,https://docs.deno.com/runtime/reference/cli/compile/,compile reference,2026-08-17,2.9.5,Environment dependent.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,offline/cache/target/permissions
D08,Deno,compile runtime acquisition,command sub-operation,2.9.5,documented,target/DENO_DIR/DENORT_BIN,cached/downloaded runtime,network/cache/custom base,runtime binary,cache mutation + executable,durable,process/network lifecycle,network/read/write,target/base relation,human diagnostics,no host bundle peer,none,private adapter or explicit policy,UPSTREAM-DIRECT,source-established,https://docs.deno.com/runtime/reference/cli/compile/,cross-compile/runtime acquisition,2026-08-17,2.9.5,Offline semantics need proof.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,cold/warm cache/custom base
D09,Deno,compiled runtime Deno.bundle,runtime observation,2.9.3,historical,compiled invocation,TypeError,compiled feature set,single program,exit/streams,runtime process,one-shot,embedded policy,Deno runtime,TypeError,host API not inherited,none,no surface,FALSIFIED,falsified,https://github.com/mannyc2/effect-build/actions/runs/31971767617,compiled-deno-bundle-api,2026-08-17,2.9.3,Version-specific.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,repeat current versions/options
D10,Deno,bundle permission boundary,host API,2.9.3/2.9.5,UNKNOWN,permission combinations,success/error,Deno permission state,local graph,memory/write,host operation,one-shot,UNKNOWN,host runtime,native success/error,cannot inherit generic assumption,none,documented unknown,UNKNOWN,requires-runtime-proof,https://github.com/mannyc2/effect-build/actions/runs/31971767617,host-api-boundaries permissions,2026-08-17,2.9.3/2.9.5,Docs and receipt conflict.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,deny-all/no-prompt/read/write matrix
E01,esbuild,build one-shot,host API,0.28.2,stable,BuildOptions,Promise<BuildResult>,callbacks/plugins/package child/cwd,entryPoints/stdin graph,outputFiles or direct writes,borrowed/direct,one request over child,host process,syntax targets/platform,structured errors/warnings/metafile,rich native fields,NodeMainProgram narrow,thin Effect function,UPSTREAM-DIRECT,source-established,https://esbuild.github.io/api/,Build API/BuildResult,2026-08-17,0.28.2,Package child exists.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,interruption/child cleanup
E02,esbuild,transform,host API,0.28.2,stable,TransformOptions + source,TransformResult,single-source options,one source unit,code/map/warnings,memory,one-shot,host process,syntax target,structured warnings,not graph build,SourceTransform only,thin function,UPSTREAM-DIRECT,source-established,https://esbuild.github.io/api/,Transform API,2026-08-17,0.28.2,No SEA peer.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,large input interruption/diagnostics
E03,esbuild,context creation,host API,0.28.2,stable,BuildOptions,BuildContext,captured plugins/options/native child,module graph,owned handle,incremental engine,Scope/dispose required,host process,captured target/platform,per-operation native diagnostics,real reusable state,ScopedIncrementalBuild,scoped handle,UPSTREAM-DIRECT,source-established,https://esbuild.github.io/api/,Build context,2026-08-17,0.28.2,Single owner/finalizer needed.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,creation interruption/state ownership
E04,esbuild,context.rebuild,scoped handle,0.28.2,stable,captured options,BuildResult,context caches/plugins/filesystem,changed graph,result/direct writes,context-owned,repeatable until dispose,host authority,captured target/platform,structured diagnostics,incremental cache,IncrementalNodeMain narrow,handle method,UPSTREAM-DIRECT,source-established,https://esbuild.github.io/api/,Rebuild,2026-08-17,0.28.2,Concurrency policy open.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,parallel/cancel/post-dispose
E05,esbuild,context.watch,scoped handle,0.28.2,stable,WatchOptions,Promise<void> + side effects,watcher/captured plugins,disk graph,repeated callbacks/writes,context-owned watcher,dispose stops,host authority,captured target/platform,native callbacks,not CLI process semantics,none generic,handle method,UPSTREAM-DIRECT,source-established,https://esbuild.github.io/api/,Watch,2026-08-17,0.28.2,Recovery semantics need proof.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,initial timing/failure/dispose race
E06,esbuild,context.serve,scoped handle,0.28.2,stable,ServeOptions,ServeResult,network listener/context,HTTP + graph,network responses/build output,owned server,stop/dispose/cancel,network/filesystem,host network + build target,request/build diagnostics,provider-only server,none,handle method,UPSTREAM-DIRECT,source-established,https://esbuild.github.io/api/,Serve,2026-08-17,0.28.2,Provider-only.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,port/stop/dispose/request race
E07,esbuild,context.cancel,scoped handle,0.28.2,stable,none,Promise<void>,owned context,active build,cancel completion,context-owned,waits for cancel completion,host authority,N/A,native behavior,cancels work not context,none,handle method,UPSTREAM-DIRECT,source-established,https://esbuild.github.io/api/,Cancel,2026-08-17,0.28.2,Races need proof.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,idle/active/watch/reuse
E08,esbuild,context.dispose,scoped handle,0.28.2,stable,none,Promise<void>,owned context,all context resources,terminal cleanup,finalizer,terminal lifecycle,host authority,N/A,disposal behavior,ownership invariant,none,Scope finalizer,UPSTREAM-DIRECT,source-established,https://esbuild.github.io/api/,Dispose,2026-08-17,0.28.2,Post-dispose behavior open.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,idempotence/concurrency/active work
E09,esbuild,plugins/loaders,host API,0.28.2,stable,Plugin[]/loaders,BuildResult,arbitrary callbacks/pluginData,custom graph,native outputs,callback lifetime,build/context,full host callback authority,platform/target,structured diagnostics,namespaces/filters/callbacks,none,function/context,UPSTREAM-DIRECT,source-established,https://esbuild.github.io/api/,Plugins/Loaders,2026-08-17,0.28.2,Not serializable to CLI.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,callback concurrency/cancel/defects
E10,esbuild,metafile/analyze,host API,0.28.2,stable,metafile/analyze options,Metafile/text,provider graph accounting,build graph,native graph metadata,borrowed,one-shot/context,host,target/platform,structured metadata,import kinds/byte attribution,none,native passthrough,UPSTREAM-DIRECT,source-established,https://esbuild.github.io/api/,Metafile/Analyze,2026-08-17,0.28.2,Do not normalize away schema.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,chunks/assets/externals graph
E11,esbuild,CLI build/watch/serve,selected command,0.28.2,stable,argv/stdin/cwd/env,exit/streams/files/process,selected binary/process,disk/stdin graph,writes/stdout/server,process/session,signals,process authority,target/platform,human diagnostics/metafile,no callback plugins,none,selected command if needed,UPSTREAM-DIRECT,source-established,https://esbuild.github.io/api/,Command-line API,2026-08-17,0.28.2,Not symmetric with context.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,signal/stream/watch lifecycle
E12,esbuild,JS API native child,package implementation,0.28.2,documented,API requests,protocol responses,package-selected native binary,multiple requests,structured results,long-lived child,stdin/work lifetime,host process,host architecture,protocol failures,hidden state != BuildContext,none,private adapter,UPSTREAM-DIRECT,source-established,https://esbuild.github.io/api/,JS API implementation/release note,2026-08-17,0.28.2,Do not double-own.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,host interruption/crash/duplicate versions
S01,Node SEA,direct --build-sea,selected command,26.7.0,active development,SEA config,durable executable,selected builder/base/filesystem,main/assets/base,single executable,durable direct,one-shot child,process filesystem,builder/base version/format,human diagnostics,version-coupled image,NodeMainExecutable refined,selected command,UPSTREAM-DIRECT,source-established,https://github.com/nodejs/node/blob/v26.7.0/doc/api/single-executable-applications.md,--build-sea generation,2026-08-17,26.7.0,Relation needs proof.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,version/OS/arch runtime matrix
S02,Node SEA,CommonJS main,build + runtime,26.7.0,active development,mainFormat=commonjs,runtime executable,SEA loader,single main/assets,executable,durable/runtime process,build then run,build/runtime authority,Node base/version,build/runtime diagnostics,CJS injected-loader restrictions,NodeMainExecutable CJS,native config,UPSTREAM-DIRECT,source-established,https://github.com/nodejs/node/blob/v26.7.0/doc/api/single-executable-applications.md,CommonJS injected main,2026-08-17,26.7.0,Differs ordinary Node.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,require/import/builtin/adversaries
S03,Node SEA,ESM main,build + runtime,26.7.0,active development,mainFormat=module,runtime executable,SEA ESM loader,single ESM main/assets,executable,durable/runtime process,build then run,build/runtime authority,Node base/version,diagnostics,ESM limits/snapshot incompatibility,NodeMainExecutable ESM,native config,UPSTREAM-DIRECT,source-established,https://github.com/nodejs/node/blob/v26.7.0/doc/api/single-executable-applications.md,ESM main limitations,2026-08-17,26.7.0,Not CJS-equivalent.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,import.meta/dynamic/TLA/assets
S04,Node SEA,asset embedding/runtime API,config + runtime API,26.7.0,active development,assets map,sea.getAsset* results,build filesystem/runtime lookup,asset files,embedded bytes,durable + borrowed no-copy view,build then run,build read/runtime lookup,Node runtime/base,missing asset behavior,runtime API/no-copy restriction,none,provider-native capability,UPSTREAM-DIRECT,source-established,https://github.com/nodejs/node/blob/v26.7.0/doc/api/single-executable-applications.md,Assets/getAsset*,2026-08-17,26.7.0,No identical compile peer.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,encoding/missing/no-copy/large
S05,Node SEA,code cache,build config,26.7.0,active development,useCodeCache,host-sensitive executable,builder V8/architecture,main script,cached executable state,durable,build/runtime,builder authority,host/version/arch coupled,warnings/errors,not generic optimization,none,native option,UPSTREAM-DIRECT,source-established,https://github.com/nodejs/node/blob/v26.7.0/doc/api/single-executable-applications.md,Code cache,2026-08-17,26.7.0,Cross-target restricted.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,host/cross matrix/invalidation
S06,Node SEA,startup snapshot,build config,26.7.0,active development,useSnapshot,snapshot executable,builder executes snapshot code,program state,host-sensitive state,durable,build executes code,builder authority,host/version/arch; no ESM,diagnostics,build-time execution,none,native operation,UPSTREAM-DIRECT,source-established,https://github.com/nodejs/node/blob/v26.7.0/doc/api/single-executable-applications.md,Startup snapshot,2026-08-17,26.7.0,Side effects/restrictions matter.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,side effects/ESM/cross/version
S07,Node SEA,execArgv policy,config + runtime,26.7.0,active development,execArgv/extension,runtime argument behavior,config/env/CLI,argument arrays,embedded policy,durable/runtime,runtime-owned,runtime env/CLI,Node runtime,runtime behavior,argument precedence,none,native config,UPSTREAM-DIRECT,source-established,https://github.com/nodejs/node/blob/v26.7.0/doc/api/single-executable-applications.md,Execution arguments,2026-08-17,26.7.0,Security/product policy.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,none/env/cli precedence
S08,Node SEA,legacy blob/injection,selected commands/postprocessor,26.7.0,documented,SEA config + injector,blob then executable,Node/base/external injector,main/assets/base,intermediate blob/executable,durable staged,multi-process,filesystem/process/signing,executable format,multiple diagnostics,mutation/sentinel boundary,none,private or explicit pipeline,UPSTREAM-DIRECT,source-established,https://github.com/nodejs/node/blob/v26.7.0/doc/api/single-executable-applications.md,legacy injection procedure,2026-08-17,26.7.0,External tool varies.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,sentinel/failure/cleanup/provenance
S09,Node SEA,signing/verification,external post-processing,26.7.0,platform-specific,unsigned exe + identity,signed exe/verification,codesign/signtool/keychain/certs,executable,mutated signed artifact,durable trust artifact,external process chain,high privilege,macOS/Windows trust roots,tool diagnostics,trust/provenance,SignedExecutable future only,separate mutation operation,UPSTREAM-DIRECT,source-established,https://github.com/nodejs/node/blob/v26.7.0/doc/api/single-executable-applications.md,platform signing notes,2026-08-17,26.7.0,Node does not own identity.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,sign/verify/tamper/notarize
S10,Node SEA,builder/base relation,selected relation,25.5/26.7,runtime gate,builder + base,may-run executable,two Node executables,main/config/base,executable,durable,build then validation,process authority,exact version/arch relation,build can succeed invalidly,relational invariant,none,preflight/private validation,RECORDED-EXECUTION,historically-observed,https://github.com/mannyc2/effect-build/actions/runs/31971767617,node-sea-relations.json,2026-08-17,25.5/26.7,Exact Linux pairs only.,high,source/receipt bounded,exact historical receipt,not committed,unranked,upstream or research only,exact receipt only,expanded relation matrix
F01,Effect,ChildProcess command,Effect primitive,4.0.0-rc.108,unstable/process,Command,"Effect<Handle,PlatformError,Spawner|Scope>",Context spawner/cwd/env/stdio/signals,argv/streams,handle/exit/streams,scoped process,Scope/kill/finalizer,process authority,host process,typed platform error/streams,already owns process lifecycle,SelectedCommand primitive,use directly/private adapter,UPSTREAM-DIRECT,source-established,https://github.com/Effect-TS/effect/blob/effect%404.0.0-rc.108/packages/effect/src/unstable/process/ChildProcess.ts,Command/CommandOptions,2026-08-17,4.0.0-rc.108,RC unstable module.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,wrapper signal/finalizer tests
F02,Effect,Scope,Effect primitive,4.0.0-rc.108,core,Scope,finalizers/lifetime,scope construction,resource lifetime,finalizer execution,owned lifetime,close on exit/interruption,N/A,host-neutral,Cause,does not define provider state,Scoped handle,use directly,UPSTREAM-DIRECT,source-established,https://github.com/Effect-TS/effect/tree/effect%404.0.0-rc.108/packages/effect/src,Scope.ts,2026-08-17,4.0.0-rc.108,Provider state machine still owned.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,ordering/race tests
F03,Effect,Stream/Sink,Effect primitive,4.0.0-rc.108,core,Stream/Sink bytes,typed stream effects,caller pipelines,byte streams,structured I/O,stream ownership,scoped/interruption,N/A,host-neutral,typed failures,preserves streaming,command stream,use directly,UPSTREAM-DIRECT,source-established,https://github.com/Effect-TS/effect/tree/effect%404.0.0-rc.108/packages/effect/src,Stream.ts,2026-08-17,4.0.0-rc.108,Framing stays provider-specific.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,backpressure/interruption
F04,Effect,FileSystem/Path,Effect services,4.0.0-rc.108,core,service operations,typed results,Layer platform impl,paths/files/trees,durable/borrowed,service-scoped,operation-specific,platform authority,host paths,PlatformError,plumbing not output semantics,none,private/public only if domain,UPSTREAM-DIRECT,source-established,https://github.com/Effect-TS/effect/tree/effect%404.0.0-rc.108/packages/effect/src,FileSystem.ts/Path.ts,2026-08-17,4.0.0-rc.108,Atomicity separately modeled.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,rename/publication per platform
F05,Effect,Context/Layer,Effect primitives,4.0.0-rc.108,core,tag/layer,constructed service,Layer construction/acquisition,selected state,service value,scoped if Layer.scoped,scope-dependent,N/A,host-neutral,construction Cause,service only for real state,provider service where stateful,selective service/Layer,UPSTREAM-DIRECT,source-established,https://github.com/Effect-TS/effect/tree/effect%404.0.0-rc.108/packages/effect/src,Context.ts/Layer.ts,2026-08-17,4.0.0-rc.108,Not every one-shot needs service.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,unavailable tool/finalization
F06,Effect,Cause/interruption,Effect primitive,4.0.0-rc.108,core,Effect,Exit/Cause,fiber runtime,effects,failure/defect/interruption,fiber lifecycle,interruption distinct,N/A,host-neutral,Cause tree,do not map interruption to BuildError,none,use directly + finite provider errors,UPSTREAM-DIRECT,source-established,https://github.com/Effect-TS/effect/tree/effect%404.0.0-rc.108/packages/effect/src,Cause.ts,2026-08-17,4.0.0-rc.108,Native cancel may lag.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,interrupt all provider phases
F07,Effect,logging/tracing,Effect primitives,4.0.0-rc.108,core,annotations,telemetry,logger/tracer services,operation metadata,events/spans,runtime-owned,span lifetime,N/A,host-neutral,structured annotations,augment native diagnostics,none,thin instrumentation,UPSTREAM-DIRECT,source-established,https://github.com/Effect-TS/effect/tree/effect%404.0.0-rc.108/packages/effect/src,Logger.ts/Tracer.ts,2026-08-17,4.0.0-rc.108,Redaction policy wrapper-owned.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,redaction/interruption span
R01,cross-provider,NodeMainProgram,portable role candidate,N/A,proposal,single direct main request,provider result + native metadata,provider constructor authority,single main,scoped/durable refinement,native ownership,implementation-specific,native,Node resolution/runtime refined,finite role errors + native metadata,excludes importable semantics,NodeMainProgram,finite role/adapters,PROPOSAL,proposed,https://github.com/mannyc2/effect-build/actions/runs/31971767617,existing-provider-research node-main,2026-08-17,N/A,Exact fixture only.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,CJS/ESM/direct/import/dynamic/external matrix
R02,cross-provider,BrowserModuleGraphApplication,portable role candidate,N/A,proposal,HTML/module-owned graph,closed output set,provider graph authority,module-owned closure,JS/CSS/HTML/assets,native memory/write,one-shot,native,browser semantics,role validation + native metadata,excludes arbitrary top-level links,Browser graph role,finite role/adapters,PROPOSAL,requires-runtime-proof,https://github.com/mannyc2/effect-build/actions/runs/31971767617,profile-refinement browser roles,2026-08-17,N/A,Deno experimental; broad role falsified.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,closure/publicPath/assets/durability/permissions
R03,cross-provider,RuntimeExecutable,rejected role,N/A,falsified,generic executable,durable file,provider runtime,program graph,executable,durable,one-shot,native,runtime identity differs,native diagnostics,erases runtime,none,withdraw,FALSIFIED,falsified,https://github.com/mannyc2/effect-build/actions/runs/31971767617,runtime-neutral-executable,2026-08-17,N/A,Runtime-named roles possible.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,none for universal rejection
R04,cross-provider,TypedWatchEvents,rejected role,N/A,falsified exact fixtures,watch request,typed events,provider process/context,disk graph,events/writes,owned session,provider-specific,native,native,human streams observed,invents protocol,none,opaque native handles,FALSIFIED,falsified,https://github.com/mannyc2/effect-build/actions/runs/31971767617,portable-command-watch-events,2026-08-17,N/A,esbuild context does not rescue CLI role.,high,source/receipt bounded,not executed in this research,not committed,unranked,upstream or research only,not certified,provider-specific parser only
