"operation_id","semantic_identity","original_disposition","original_selection_status","final_disposition","revision","adjudication_status","pre_freeze_gate","gate_closure","evidence","blocker","targeted_proof_audit_reason","proposed_package","proposed_subpath","proposed_export","proposed_root_namespace"
"CAN-ROL-010","rolldown / cli-bundle-stdout / selected-command / one-shot / {caller-owned-value, none}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","multi-output framing and collection bounds","","effect-build-rolldown","none","none","none"
"CAN-ROL-011","rolldown / cli-bundle-write / selected-command / one-shot / {caller-owned-value, provider-direct-durable}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","partial writes and signal remnants","","effect-build-rolldown","none","none","none"
"CAN-ROL-012","rolldown / cli-watch / selected-command / scoped-process / {long-lived-handle, provider-direct-durable}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","termination; reaping; remnants","","effect-build-rolldown","none","none","none"
"CAN-ROL-013","rolldown / transform-source / in-process-api / one-shot / {caller-owned-value, none}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","runtime contract","","effect-build-rolldown","none","none","none"
"CAN-ROL-014","rolldown / parse-source / in-process-api / one-shot / {caller-owned-value, none}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","runtime contract","","effect-build-rolldown","none","none","none"
"CAN-ROL-015","rolldown / minify-source / in-process-api / one-shot / {caller-owned-value, none}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","runtime contract","","effect-build-rolldown","none","none","none"
"CAN-ROL-016","rolldown / resolve-module / in-process-api / one-shot / {caller-owned-value, none}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","retention and release discovery","","effect-build-rolldown","none","none","none"
"CAN-ROL-017","rolldown / scan-graph / in-process-api / one-shot / {scope-borrowed-value, none}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","cleanup and interruption","","effect-build-rolldown","none","none","none"
"CAN-ROL-018A","rolldown / acquire-dev-engine-memory / in-process-api / scoped-context / {long-lived-handle, none}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","complete ownership and callback backpressure","","effect-build-rolldown","none","none","none"
"CAN-ROL-018B","rolldown / acquire-dev-engine-direct-write / in-process-api / scoped-context / {long-lived-handle, provider-direct-durable}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","complete ownership; backpressure; remnants","","effect-build-rolldown","none","none","none"
"CAN-ROL-020","rolldown / emit-isolated-declaration / in-process-api / one-shot / {caller-owned-value, none}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","declaration correctness contract","","effect-build-rolldown","none","none","none"
"CAN-ROL-021","rolldown / module-runner-transform / in-process-api / one-shot / {caller-owned-value, none}","reject","not-selected-rejected","reject","unchanged","final-from-current-committed-evidence","none-rejection-established","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","none; rejection follows upstream scope","","effect-build-rolldown","none","none","none"
"CAN-ROL-022","rolldown / load-config / in-process-api / one-shot / {caller-owned-value, none}","defer","not-selected-deferred","defer","unchanged","final-from-current-committed-evidence","not-current-freeze-candidate","not-applicable","research/post-0.3/reconciliation/r1/SHIP-DEFER-REJECT.csv","trust boundary and runtime behavior","","effect-build-rolldown","none","none","none"
