provider,operation,lane,host,version_identity,status,evidence_label,source_coordinate,limitation
esbuild,context/rebuild/cancel/dispose,in-process-js-api,ubuntu-24.04,0.28.2,observed-CI-point,RECORDED-EXECUTION,historical receipt + live esbuild job,Exact point
esbuild,serve,CLI/API,Windows,>=0.27.3 <0.28.1,known-bad-hole,UPSTREAM-DIRECT,GHSA-g7r4-m6w7-qqqr,Host/operation-specific; not currently exposed by inspected provider
esbuild,context lifecycle,CLI,any,0.28.2,known-incompatible,UPSTREAM-DIRECT,esbuild API docs,"CLI has no rebuild API; lane mismatch, not version failure"
node,assemble SEA,selected-command,ubuntu-24.04/linux-x64-gnu,builder=25.5.0;base=25.5.0,observed-CI-point,RECORDED-EXECUTION,historical node-sea-relations receipt,Exact equality cell
node,assemble SEA,selected-command,ubuntu-24.04/linux-x64-gnu,builder=26.7.0;base=26.7.0,observed-CI-point,RECORDED-EXECUTION,historical receipt,Exact equality cell; current provider exact acceptance
node,assemble SEA,selected-command,ubuntu-24.04/linux-x64-gnu,builder=26.7.0;base=25.5.0,known-incompatible,RECORDED-EXECUTION,historical relation falsifier,Build produced output but execution failed
node,assemble SEA,selected-command,cross-platform,same version; useSnapshot=true or useCodeCache=true,known-incompatible,UPSTREAM-DIRECT,Node SEA docs,Documented cross-platform incompatibility predicate
effect,declarations + runtime,npm graph / TypeScript / runtime,ubuntu-24.04,4.0.0-beta.104,observed-CI-point,RECORDED-EXECUTION,live exact Effect endpoint job,Exact declaration/runtime consumer endpoint
effect,declarations + runtime,npm graph / TypeScript / runtime,ubuntu-24.04,4.0.0-rc.108,observed-CI-point,RECORDED-EXECUTION,live exact Effect endpoint job,Exact endpoint and workspace development version
provider/core,npm peer,fresh packed consumer,ubuntu-24.04,provider 0.7.0; core 0.4.0; peer >=0.4 <0.5,observed-CI-point,RECORDED-EXECUTION,historical independent-versioning receipt,"Synthetic architecture fixture, not released package commitment"
provider/core,npm peer,fresh packed consumer,ubuntu-24.04,provider 0.7.0; core 0.5.0; peer >=0.4 <0.5,known-incompatible,RECORDED-EXECUTION,historical ERESOLVE fixture,Peer graph failure independent from tool capabilities
portable profile,protocol validation,provider/core adapter,any,provider protocol @1; core requires @2,known-incompatible,PROPOSAL,protocol state machine,Independent from npm version compatibility
all providers,operation inventory reconciliation,all,all,requested breadth archive unavailable,unknown,UNKNOWN,missing required input,Future operation-specific policy remains provisional
bun,bundle / standalone compile,selected-command and host-api,documented targets,current official documentation retrieved 2026-08-17; exact introduction boundary unspecified,upstream-declared-support,UPSTREAM-DIRECT,Bun bundler and executable documentation,Upstream surface only; not effect-build policy and not a version range
deno,Deno.bundle,host-api,Deno runtime,">=2.5 per current docs, with --unstable-bundle",upstream-declared-support,UPSTREAM-DIRECT,Deno bundling documentation,Experimental API; upstream availability is not effect-build support
deno,compile executable,selected-command,documented target matrix,current Deno 2.9 documentation,upstream-declared-support,UPSTREAM-DIRECT,Deno compile documentation,Requires matching denort/acquisition and operation probes
esbuild,context/rebuild/watch/cancel/dispose,in-process-js-api,supported package platform,0.28.2 current release/docs,upstream-declared-support,UPSTREAM-DIRECT,esbuild API and v0.28.2 release,"Upstream API contract, not an inferred effect-build range"
node,assemble SEA with --build-sea,selected-command,Node-supported SEA platforms,feature added 25.5.0; current docs 26.7.0,upstream-declared-support,UPSTREAM-DIRECT,Node SEA v26.7.0 docs,Active development; builder/base equality and target predicates still required
